META; spain/la-liga-segunda/gijon-v-gimnastic; 2018-01-22 12:19:58 GMT+2; 2018-01-28 15:00; e70300-dr003
Gijon; ; ; ; ; 17/20; ; ; ; ; ; ; ; ; ; ; ; ; 10/13; ; ; ; ; ; ; 10/13; 2/9; ; 
Draw; ; ; ; ; 23/10; ; ; ; ; ; ; ; ; ; ; ; ; 39/19; ; ; ; ; ; ; 39/19; 20/21; ; 
Gimnastic; ; ; ; ; 9/2; ; ; ; ; ; ; ; ; ; ; ; ; 41/10; ; ; ; ; ; ; 41/10; 13/10; ; 
META; spain/la-liga-segunda/gijon-v-gimnastic; 2018-01-23 02:19:45 GMT+2; 2018-01-28 15:00; e70300-dr003
Gijon; 4/7; 4/7; 3/5; 8/13; 13/20; ; ; ; 3/5; 6/10; 3/5; 6/10; 6/10; ; 3/5; ; 8/13; 5/9; 8/13; 4/7; 3/5; 8/15; 8/13; 4/7; 4/7; 2/5; 4/7; 
Draw; 13/5; 13/5; 27/10; 11/4; 72/25; ; ; ; 45/17; 27/10; 13/5; 14/5; 11/4; ; 11/4; ; 5/2; 11/4; 5/2; 29/10; 13/5; 11/4; 29/10; 59/20; 14/5; 13/8; 23/10; 
Gimnastic; 11/2; 9/2; 17/4; 4; 26/5; ; ; ; 43/10; 17/4; 9/2; 4; 9/2; ; 9/2; ; 5; 49/10; 5; 50/13; 17/4; 17/4; 19/4; 9/2; 94/19; 23/10; 4; 
META; spain/la-liga-segunda/gijon-v-gimnastic; 2018-01-23 17:26:27 GMT+2; 2018-01-28 15:00; e70300-dr003
Gijon; 4/7; 4/7; 4/7; 8/13; 13/20; ; ; ; 3/5; 4/7; 4/7; 6/10; 6/10; ; 3/5; ; 8/13; 4/7; 8/13; 4/7; 3/5; 8/15; 3/5; 4/7; 10/17; 8/15; 8/15; 4/7
Draw; 13/5; 13/5; 11/4; 11/4; 72/25; ; ; ; 45/17; 11/4; 11/4; 14/5; 11/4; ; 11/4; ; 5/2; 11/4; 5/2; 29/10; 13/5; 11/4; 29/10; 59/20; 11/4; 12/5; 12/5; 14/5
Gimnastic; 11/2; 9/2; 9/2; 4; 26/5; ; ; ; 43/10; 9/2; 9/2; 4; 9/2; ; 9/2; ; 5; 63/13; 5; 50/13; 17/4; 17/4; 5; 9/2; 49/10; 7/2; 9/2; 5
META; spain/la-liga-segunda/gijon-v-gimnastic; 2018-01-24 12:21:28 GMT+2; 2018-01-28 15:00; e70300-dr003
Gijon; 4/7; 4/7; 4/7; 8/13; 61/ 100; ; ; 8/15; 3/5; 4/7; 4/7; 6/10; 4/7; ; 3/5; 4/7; 4/7; 5/9; 4/7; 4/7; 3/5; 8/15; 8/13; 11/20; 4/7; ; 4/9; 8/15; 4/7
Draw; 13/5; 13/5; 11/4; 11/4; 149/ 50; ; ; 13/5; 45/17; 11/4; 11/4; 11/4; 14/5; ; 11/4; 11/4; 13/5; 14/5; 13/5; 29/10; 13/5; 14/5; 29/10; 59/20; 14/5; ; 13/5; 12/5; 3
Gimnastic; 11/2; 9/2; 9/2; 4; 11/2; ; ; 9/2; 43/10; 9/2; 9/2; 9/2; 9/2; ; 9/2; 9/2; 11/2; 94/19; 11/2; 50/13; 17/4; 9/2; 19/4; 19/4; 5; ; 7/2; 21/5; 27/5
