META; spain/la-liga-segunda/lorca-v-osasuna; 2017-12-20 12:21:26 GMT+2; 2017-12-20 19:00; e70300-dr003
Osasuna; 7/4; 13/8; 28/17; 8/5; 24/13; ; 13/8; ; 17/11; 13/8; 17/10; 17/10; 13/8; 33/20; 7/4; 17/10; 24/13; 7/4; 19/10; 28/17; 6/4; 13/8; 7/4; 17/10; 7/4; ; 9/5; 7/4; 19/10
Draw; 19/10; 15/8; 9/5; 15/8; 24/13; ; 15/8; ; 2; 15/8; 19/10; 19/10; 2; 39/20; 7/4; 15/8; 24/13; 24/13; 15/8; 2; 37/19; 9/5; 2; 2; 24/13; ; 19/10; 15/8; 19/10
Lorca; 15/8; 7/4; 7/4; 9/5; 9/5; ; 7/4; ; 2; 17/10; 15/8; 7/4; 7/4; 7/4; 19/10; 9/5; 9/5; 24/13; 2; 17/10; 37/19; 13/8; 9/5; 17/10; 19/10; ; 19/10; 9/5; 19/10
