META; spain/la-liga-segunda/cordoba-v-lorca; 2018-04-03 18:23:10 GMT+3; 2018-04-08 17:00; e70300-dr003
Cordoba; 11/20; 6/10; 6/10; 6/10; 31/50; 4/7; 6/10; 4/7; 4/7; 3/5; 8/15; 4/7; 7/11; 4/7; 3/5; 4/7; 8/15; 4/7
Draw; 13/5; 13/5; 27/10; 11/4; 3; 11/4; 27/10; 11/4; 11/4; 11/4; 27/10; 13/5; 27/10; 27/10; 29/10; 14/5; 27/10; 14/5
Lorca; 11/2; 9/2; 9/2; 4; 53/10; 5; 9/2; 9/2; 9/2; 9/2; 63/13; 11/2; 39/11; 24/5; 5; 19/4; 49/10; 26/5
META; spain/la-liga-segunda/cordoba-v-lorca; 2018-04-04 08:22:07 GMT+3; 2018-04-08 17:00; e70300-dr003
Cordoba; 8/13; 8/15; 6/10; 6/10; 63/100; 11/20; 4/7; 6/10; 4/7; 6/10; 6/10; 11/20; 4/7; 5/9; 4/7; 10/17; 4/7; 3/5; 4/7; 5/9; 2/9; 4/7
Draw; 13/5; 14/5; 11/4; 11/4; 31/10; 3; 11/4; 11/4; 11/4; 11/4; 14/5; 13/5; 14/5; 11/4; 13/5; 27/10; 27/10; 29/10; 29/10; 11/4; 19/10; 3
Lorca; 5; 9/2; 17/4; 4; 9/2; 5; 17/4; 9/2; 9/2; 9/2; 4; 9/2; 47/10; 11/2; 39/10; 24/5; 19/4; 9/2; 19/4; 7/2; 24/5; 
META; spain/la-liga-segunda/cordoba-v-lorca; 2018-04-04 18:23:41 GMT+3; 2018-04-08 17:00; e70300-dr003
Cordoba; 8/15; 8/15; 4/7; 6/10; 59/00; 11/20; 8/15; 4/7; 8/15; 6/10; 4/7; 6/10; 8/15; 4/7; 18/35; 4/7; 10/17; 8/15; 3/5; 4/7; 18/35; 2/5; 8/15; 8/15
Draw; 11/4; 14/5; 14/5; 11/4; 63/20; 29/10; 56/19; 14/5; 3; 11/4; 14/5; 11/4; 11/4; 14/5; 37/13; 13/5; 27/10; 29/10; 3; 29/10; 29/10; 13/5; 13/5; 3
Lorca; 6; 9/2; 17/4; 4; 27/5; 9/2; 5; 17/4; 9/2; 9/2; 9/2; 17/4; 4; 9/2; 49/10; 11/2; 39/10; 24/5; 19/4; 9/2; 94/19; 7/2; 4; 27/5
META; spain/la-liga-segunda/cordoba-v-lorca; 2018-04-05 13:17:03 GMT+3; 2018-04-08 17:00; e70300-dr003
Cordoba; 8/15; 8/15; 4/7; 6/10; 3/5; 40/85; 8/15; 8/15; 4/7; 8/15; 6/10; 4/7; 6/10; 8/15; 4/7; 8/15; 4/7; 10/17; 8/15; 3/5; 8/15; 2/5; 8/15; 8/15; 4/7
Draw; 11/4; 14/5; 14/5; 14/5; 13/4; 3; 56/19; 14/5; 3; 11/4; 14/5; 11/4; 11/4; 14/5; 56/19; 13/5; 27/10; 29/10; 3; 56/19; 19/10; 13/5; 3; ; 
Lorca; 6; 9/2; 17/4; 4; 51/10; 11/2; 9/2; 5; 17/4; 9/2; 9/2; 17/4; 17/4; 4; 9/2; 49/10; 11/2; 39/10; 24/5; 19/4; 94/19; 6/4; 4; 26/5; 26/5
META; spain/la-liga-segunda/cordoba-v-lorca; 2018-04-06 08:22:18 GMT+3; 2018-04-08 17:00; e70300-dr003
Cordoba; 8/13; 8/15; 6/10; 6/10; 63/100; 4/7; 4/7; 8/15; 6/10; 4/7; 6/10; 4/7; 6/10; 11/20; 4/7; 4/7; 3/5; 8/15; 8/15; 3/5; 10/17; 2/5; 4/7; 4/7; 4/7
Draw; 13/5; 14/5; 14/5; 14/5; 16/5; 3; 11/4; 56/19; 14/5; 11/4; 14/5; 14/5; 11/4; 11/4; 14/5; 29/10; 13/5; 3; 29/10; 3; 56/19; 11/5; 13/5; 3; 
Lorca; 5; 9/2; 21/5; 4; 24/5; 9/2; 9/2; 5; 21/5; 9/2; 4; 17/4; 17/4; 15/4; 9/2; 19/4; 11/2; 75/19; 24/5; 19/4; 24/5; 7/2; 4; 28/5; 24/5
META; spain/la-liga-segunda/cordoba-v-lorca; 2018-04-07 12:23:22 GMT+3; 2018-04-08 17:00; e70300-dr003
Cordoba; 8/13; 8/15; 6/10; 63/100; 4/7; 4/7; 8/15; 6/10; 4/7; 6/10; 4/7; 6/10; 11/20; 4/7; 3/5; 8/15; 8/15; 3/5; 4/7; 4/7; 4/7; 4/7; 4/7; 
Draw; 13/5; 14/5; 14/5; 11/4; 16/5; 3; 11/4; 56/19; 14/5; 11/4; 14/5; 14/5; 11/4; 11/4; 14/5; 56/19; 13/5; 3; 29/10; 3; 56/19; 14/5; 13/5; 3
Lorca; 5; 9/2; 21/5; 24/5; 9/2; 9/2; 5; 21/5; 4; 17/4; 17/4; 15/4; 24/5; 11/2; 75/19; 24/5; 19/4; 63/13; 22/5; 4; 28/5; 24/5; ; 
