META; spain/la-liga-segunda/fc-barcelona-b-v-numancia; 2018-03-05 20:22:51 GMT+2; 2018-03-11 15:00; e70300-dr003
Draw; 1/100
FC Barcelona B; 1/50
Numancia; 1/50
META; spain/la-liga-segunda/fc-barcelona-b-v-numancia; 2018-03-06 15:09:04 GMT+2; 2018-03-11 15:00; e70300-dr003
FC Barcelona B; 13/10; 13/10; 29/20; 13/10; 13/10; 13/10; 13/10; 13/10; 14/11; 13/10; 5/4; 13/10; 5/6
Draw; 2; 107/0; 39/19; 2; 21/10; 21/10; 2; 28/13; 39/19; 21/10; 2; 9/5; 
Numancia; 85/40; 21/10; 47/20; 21/10; 21/10; 21/10; 11/5; 21/10; 19/10; 21/10; 9/4; 28/13; 5/4
META; spain/la-liga-segunda/fc-barcelona-b-v-numancia; 2018-03-08 10:19:38 GMT+2; 2018-03-11 15:00; e70300-dr003
FC Barcelona B; 6/4; 29/20; 6/4; 161/100; 11/8; 7/5; 11/8; 7/5; 6/4; 7/5; 6/4; 6/4; 7/5; 7/5; 16/11; 7/5; 7/5; 11/8; 31/20; 6/4; 6/4; 6/4; 6/4; 6/4
Numancia; 2; 19/10; 15/8; 52/25; 19/10; 2; 15/8; 21/10; 15/8; 2; 15/8; 2; 37/19; 21/10; 19/11; 39/19; 2; 39/20; 37/19; 2; 2; ; ; 
Draw; 2; 2; 43/20; 19/10; 2; 15/8; 21/10; 2; 19/10; 2; 21/10; 2; 2; 28/13; 39/19; 21/10; 2; 19/10; 21/10; 21/10; ; ; ; 
META; spain/la-liga-segunda/fc-barcelona-b-v-numancia; 2018-03-08 12:23:15 GMT+2; 2018-03-11 15:00; e70300-dr003
FC Barcelona B; 6/4; 6/4; 161/00; 11/8; 7/5; 11/8; 7/5; 6/4; 7/5; 6/4; 6/4; 7/5; 7/5; 16/11; 7/5; 7/5; 11/8; 31/20; 6/4; 6/4; 6/4; 7/5; 6/4; 6/4
Numancia; 2; 19/10; 15/8; 52/25; 19/10; 2; 15/8; 21/10; 15/8; 2; 15/8; 2; 37/19; 21/10; 19/11; 39/19; 21/10; 39/20; 37/19; 2; 9/5; 2; ; 
Draw; 2; 43/20; 19/10; 2; 15/8; 21/10; 2; 19/10; 2; 21/10; 2; 2; 28/13; 39/19; 2; 39/19; 19/10; 9/5; 21/10; 21/10; ; ; ; 
META; spain/la-liga-segunda/fc-barcelona-b-v-numancia; 2018-03-09 12:22:26 GMT+2; 2018-03-11 15:00; e70300-dr003
FC Barcelona B; 6/4; 6/4; 161/100; 11/8; 7/5; 11/8; 7/5; 6/4; 7/5; 6/4; 6/4; 6/4; 7/5; 16/11; 7/5; 7/5; 11/8; 6/4; 6/4; 7/5; 6/4; 6/4
Numancia; 2; 15/8; 15/8; 52/25; 19/10; 2; 15/8; 21/10; 15/8; 2; 15/8; 19/10; 2; 37/19; 21/10; 19/11; 39/19; 39/20; 2; 9/5; 2; 
Draw; 2; 43/20; 19/10; 2; 15/8; 21/10; 2; 19/10; 2; 21/10; 2; 21/10; 28/13; 39/19; 2; 19/10; 9/5; 21/10; 21/10; ; ; 
META; spain/la-liga-segunda/fc-barcelona-b-v-numancia; 2018-03-10 12:22:56 GMT+2; 2018-03-11 15:00; e70300-dr003
FC Barcelona B; 6/4; 6/4; 6/4; 161/00; 11/8; 7/5; 11/8; 7/5; 6/4; 7/5; 6/4; 6/4; 6/4; 7/5; 16/11; 7/5; 7/5; 11/8; 31/20; 31/20; 6/4; 6/4; 6/4; 6/4; 6/4
Numancia; 2; 19/10; 15/8; 19/10; 52/25; 19/10; 15/8; 15/8; 21/10; 15/8; 2; 15/8; 19/10; 2; 37/19; 21/10; 19/11; 39/19; 2; 37/19; 2; 19/10; 2; ; 
Draw; 2; 19/10; 43/20; 19/10; 2; 15/8; 21/10; 2; 19/10; 2; 21/10; 2; 21/10; 28/13; 39/19; 21/10; 21/10; 39/19; 19/10; 2; 21/10; 21/10; ; ; 
