META; spain/la-liga-segunda/alcorcon-v-albacete; 2017-09-04 20:22:24 GMT+3; 2017-09-04 19:30; e70300-dr003
Alcorcon; 4/5; 4/5; 5/6; 5/6; 5/6; 3/4; 5/6; 8/11; 11/13; 5/6; 5/6; 4/5; 5/6; 3/4; 5/6; 4/5; 4/5; 5/6; 4/5; 17/20; 13/15; 16/19; ; 4/5; 4/5; ; 5/6; 5/6; 5/6
Draw; 9/4; 21/10; 41/20; 2; 11/5; 41/20; 11/5; 21/10; 11/5; 2; 2; 11/5; 11/5; 11/5; 21/10; 21/10; 11/5; 11/5; 11/5; 23/10; 28/13; 11/5; ; 2; 2; ; 9/4; 11/5; 12/5
Albacete; 4; 15/4; 19/5; 4; 4; 15/4; 21/5; 7/2; 18/5; 15/4; 15/4; 15/4; 15/4; 19/5; 4; 4; 17/4; 7/2; 4; 9/2; 57/17; 18/5; ; 7/2; 4; ; 21/5; 4; 21/5
