META; spain/la-liga-segunda/granada-v-alcorcon; 2018-02-19 16:24:05 GMT+2; 2018-02-25 17:00; e70300-dr003
Granada; 8/13; 6/10; ; 13/20; 7/10; ; ; ; 4/7; ; 8/13; 8/13; ; 13/20; 4/6; ; 11/18; 11/17; 3/5; 4/7; 4/7; 13/20; 8/13; 11/18; ; ; ; 
Draw; 9/4; 12/5; ; 23/10; 12/5; ; ; ; 5/2; ; 12/5; 5/2; ; 12/5; 12/5; ; 12/5; 9/4; 13/5; 5/2; 12/5; 13/5; 51/20; 27/11; ; 21/10; ; 
Alcorcon; 6; 5; ; 9/2; 6; ; ; ; 24/5; ; 5; 9/2; ; 19/4; 19/4; ; 19/4; 11/2; 41/10; 19/4; 9/2; 21/4; 5; 63/13; ; ; ; 
META; spain/la-liga-segunda/granada-v-alcorcon; 2018-02-20 12:23:05 GMT+2; 2018-02-25 17:00; e70300-dr003
Granada; 7/10; 4/6; ; 13/20; 19/25; ; ; ; 11/17; ; 4/6; 8/11; ; 3/4; 8/11; ; 4/6; 11/17; 13/17; 11/17; 4/6; 3/4; 7/10; 4/6; ; 4/9; ; 8/11
Draw; 11/5; 23/10; ; 23/10; 62/25; ; ; ; 5/2; ; 23/10; 12/5; ; 9/4; 5/2; ; 40/17; 9/4; 9/4; 27/11; 23/10; 12/5; 12/5; 40/17; ; 15/8; ; 5/2
Alcorcon; 5; 9/2; ; 9/2; 49/10; ; ; ; 9/2; ; 9/2; 4; ; 4; 4; ; 17/4; 11/2; 17/5; 9/2; 19/5; 22/5; 17/4; 43/10; ; 3; ; 9/2
META; spain/la-liga-segunda/granada-v-alcorcon; 2018-02-24 12:21:10 GMT+2; 2018-02-25 17:00; e70300-dr003
Granada; 7/10; 7/10; 8/11; 13/20; 73/100; 4/6; 4/6; 8/13; 7/10; 8/11; 8/11; 8/11; ; 8/11; 8/11; 7/10; 5/7; 13/18; 5/7; 7/10; 4/6; 8/11; 8/11; 5/7; ; 4/6; 4/6; 8/11
Draw; 11/5; ; 23/10; 23/10; 66/25; 12/5; 12/5; 23/10; 5/2; 23/10; 12/5; 23/10; ; 23/10; 5/2; 23/10; 12/5; 9/4; 23/10; 27/11; 9/4; 5/2; 12/5; 27/11; ; 9/4; 12/5; 5/2
Alcorcon; 5; 4; 4; 9/2; 24/5; 4; 4; 4; 41/10; 4; 4; 4; ; 4; 4; 9/2; 17/4; 19/4; 62/17; 4; 19/5; 22/5; 4; 43/10; ; 7/2; 10/3; 22/5
