META; spain/la-liga-segunda/sd-huesca-v-osasuna; 2018-01-22 12:20:03 GMT+2; 2018-01-28 17:00; e70300-dr003
SD Huesca; ; ; ; ; 73/50; ; ; ; ; ; ; ; ; ; ; ; ; 7/5; ; ; ; ; ; ; 7/5; 8/13; ; 
Draw; ; ; ; ; 2; ; ; ; ; ; ; ; ; ; ; ; ; 24/13; ; ; ; ; ; ; 24/13; 10/11; ; 
Osasuna; ; ; ; ; 5/2; ; ; ; ; ; ; ; ; ; ; ; ; 28/13; ; ; ; ; ; ; 28/13; 21/20; ; 
META; spain/la-liga-segunda/sd-huesca-v-osasuna; 2018-01-23 02:19:50 GMT+2; 2018-01-28 17:00; e70300-dr003
SD Huesca; 13/10; 5/4; 5/4; 13/10; 34/25; ; ; ; 13/10; 5/4; 13/10; 13/10; 5/4; ; 5/4; ; 13/10; 5/4; 13/10; 5/4; 13/10; 5/4; 13/10; 13/10; 5/4; 4/5; 10/9; 
Draw; 2; 2; 2; 2; 43/20; ; ; ; 21/10; 2; 2; 2; 21/10; ; 21/10; ; 21/10; 39/19; 21/10; 21/10; 21/10; 15/8; 21/10; 2; 39/19; 6/5; 19/10; 
Osasuna; 12/5; 9/4; 9/4; 21/10; 63/25; ; ; ; 21/10; 9/4; 9/4; 9/4; 11/5; ; 23/10; ; 11/5; 23/10; 11/5; 79/40; 21/10; 11/5; 12/5; 23/10; 23/10; 2/7; 21/10; 
META; spain/la-liga-segunda/sd-huesca-v-osasuna; 2018-01-23 17:26:32 GMT+2; 2018-01-28 17:00; e70300-dr003
SD Huesca; 6/5; 13/10; 6/5; 13/10; 131/ 100; ; ; ; 13/10; 6/5; 5/4; 6/5; 5/4; ; 5/4; ; 13/10; 6/5; 13/10; 6/5; 13/10; 6/5; 5/4; 5/4; 5/4; 8/11; 10/9; 5/4
Draw; 2; 19/10; 2; 2; 52/25; ; ; ; 21/10; 2; 2; 21/10; 21/10; ; 21/10; ; 21/10; 2; 21/10; 28/13; 21/10; 15/8; 85/40; 2; 39/19; 6/5; 19/10; 21/10
Osasuna; 13/5; 11/5; 23/10; 21/10; 68/25; ; ; ; 21/10; 23/10; 23/10; 12/5; 11/5; ; 23/10; ; 11/5; 12/5; 11/5; 39/19; 21/10; 23/10; 5/2; 12/5; 12/5; 2/7; 21/10; 5/2
META; spain/la-liga-segunda/sd-huesca-v-osasuna; 2018-01-24 12:21:33 GMT+2; 2018-01-28 17:00; e70300-dr003
SD Huesca; 6/5; 6/5; 6/5; 13/10; 131/ 100; ; ; 11/10; 13/10; 6/5; 6/5; 6/5; 6/5; ; 6/5; 6/5; 5/4; 6/5; 5/4; 13/11; 13/10; 11/10; 6/5; 6/5; 6/5; ; 4/9; 10/9; 5/4
Draw; 2; 2; 2; 2; 51/25; ; ; 15/8; 21/10; 2; 2; 2; 21/10; ; 2; 2; 21/10; 2; 21/10; 28/13; 21/10; 15/8; 85/40; 2; 2; ; 7/5; 2; 2
Osasuna; 13/5; 23/10; 12/5; 21/10; 14/5; ; ; 23/10; 21/10; 12/5; 12/5; 5/2; 9/4; ; 5/2; 12/5; 23/10; 27/11; 23/10; 39/19; 21/10; 12/5; 13/5; 51/20; 5/2; ; 11/5; 21/10; 11/4
