META; spain/la-liga-segunda/gijon-v-leonesa; 2018-03-05 20:23:00 GMT+2; 2018-03-11 17:00; e70300-dr003
Draw; 1/100
Gijon; 1/50
Leonesa; 1/50
META; spain/la-liga-segunda/gijon-v-leonesa; 2018-03-06 15:09:14 GMT+2; 2018-03-11 17:00; e70300-dr003
Gijon; 4/7; 6/10; 63/00; 3/5; 6/10; 3/5; 13/20; 11/18; 10/17; 3/5; 8/13; 8/13; 4/9
Draw; 13/5; 27/10; 61/20; 37/13; 27/10; 11/4; 11/4; 27/10; 37/13; 14/5; 14/5; 11/4; 19/10
Leonesa; 9/2; 21/5; 51/10; 39/10; 21/5; 9/2; 4; 77/19; 15/4; 19/5; 17/4; 41/10; 19/10
META; spain/la-liga-segunda/gijon-v-leonesa; 2018-03-08 10:19:47 GMT+2; 2018-03-11 17:00; e70300-dr003
Gijon; 8/15; 8/15; 14/25; 4/9; 1/2; 4/9; 8/15; 8/15; 1/2; 1/2; 8/15; 8/15; 8/15; 1/2; 1/2; 11/21; 8/15; 11/20; 1/2; 1/2; 2/5; 1/2; 8/15
Draw; 3; 29/10; 31/10; 3; 3; 29/10; 3; 14/5; 3; 14/5; 56/19; 31/10; 58/19; 3; 3; 14/5; 3; ; ; ; ; ; 
Leonesa; 5; 31/5; 5; 5; 24/5; 5; 11/2; 9/2; 5; 27/5; 21/4; 41/10; 24/5; 11/2; 21/4; 60/11; 9/2; 31/5; 32/5; ; ; ; 
META; spain/la-liga-segunda/gijon-v-leonesa; 2018-03-08 12:23:24 GMT+2; 2018-03-11 17:00; e70300-dr003
Gijon; 8/15; 8/15; 14/25; 4/9; 1/2; 4/9; 8/15; 8/15; 1/2; 1/2; 8/15; 8/15; 8/15; 1/2; 1/2; 11/21; 8/15; 11/20; 1/2; 18/35; 2/5; 1/2; 1/2; 8/15
Draw; 3; 29/10; 31/10; 3; 3; 29/10; 3; 14/5; 3; 14/5; 56/19; 31/10; 58/19; 3; 3; 14/5; 11/4; 3; ; ; ; ; ; 
Leonesa; 5; 31/5; 5; 5; 24/5; 5; 11/2; 9/2; 5; 27/5; 21/4; 41/10; 24/5; 11/2; 21/4; 60/11; 9/2; 22/5; 31/5; 32/5; ; ; ; 
META; spain/la-liga-segunda/gijon-v-leonesa; 2018-03-09 12:22:35 GMT+2; 2018-03-11 17:00; e70300-dr003
Gijon; 8/15; 8/15; 11/20; 4/9; 1/2; 4/9; 8/15; 8/15; 1/2; 8/15; 8/15; 11/20; 8/15; 8/15; 1/2; 8/15; 11/21; 8/15; 1/2; 2/5; 1/2; 1/2; 8/15
Draw; 3; 29/10; 31/10; 3; 3; 29/10; 3; 14/5; 3; 14/5; 3; 14/5; 56/19; 31/10; 58/19; 3; 11/4; 27/10; 3; ; ; ; 
Leonesa; 5; 63/10; 5; 5; 24/5; 5; 5; 9/2; 5; 27/5; 21/4; 41/10; 24/5; 21/4; 9/2; 23/5; 31/5; 32/5; ; ; ; ; 
META; spain/la-liga-segunda/gijon-v-leonesa; 2018-03-10 12:23:06 GMT+2; 2018-03-11 17:00; e70300-dr003
Gijon; 4/9; 4/9; 1/2; 8/15; 51/00; 4/9; 4/9; 2/5; 8/15; 1/2; 1/2; 1/2; 1/2; 1/2; 1/2; 1/2; 1/2; 10/21; 10/21; 8/15; 1/2; 1/2; 18/35; 4/9; 4/9; 4/9; 4/9
Draw; 7/2; 3; 3; 16/5; 16/5; 3; 3; 3; 14/5; 3; 29/10; 3; 56/19; 13/4; 41/13; 3; 16/5; 16/5; 3; 14/5; 3; ; ; ; ; ; 
Leonesa; 11/2; 11/2; 11/2; 9/2; 7; 11/2; 11/2; 11/2; 24/5; 11/2; 11/2; 11/2; 5; 11/2; 11/2; 27/5; 23/4; 9/2; 24/5; 6; 60/11; 32/5; 26/5; 7; ; ; 
