META; spain/la-liga-segunda/lorca-v-gimnastic; 2018-04-23 10:20:38 GMT+3; 2018-04-29 19:00; e70300-dr003
Draw; 1/50
Gimnastic; 1/50
Lorca; 1/50
META; spain/la-liga-segunda/lorca-v-gimnastic; 2018-04-24 08:21:31 GMT+3; 2018-04-29 19:00; e70300-dr003
Gimnastic; 13/8; 17/10; 5/6; 13/8
Draw; 15/8; 2; 20/21; 19/10
Lorca; 7/4; 21/10; 20/21; 2
META; spain/la-liga-segunda/lorca-v-gimnastic; 2018-04-25 08:20:43 GMT+3; 2018-04-29 19:00; e70300-dr003
Gimnastic; 29/20; 29/20; 29/20; 6/4; 79/50; 28/17; 29/20; 6/4; 6/4; 13/10; 6/4; 16/11; 28/17; 13/9; 13/8; 31/20; 16/11; 1; 5/4; 6/4
Lorca; 2; 9/5; 9/5; 9/5; 39/20; 28/17; 9/5; 7/4; 9/5; 7/4; 9/5; 9/5; 17/10; 12/7; 13/8; 15/8; 24/13; 6/5; 13/8; 19/10
Draw; 21/10; 21/10; 2; 21/10; 117/0; 9/4; 2; 11/5; 21/10; 21/10; 21/10; 21/10; 21/10; 21/10; 11/5; 11/5; 21/10; 13/10; 9/5; 23/10
META; spain/la-liga-segunda/lorca-v-gimnastic; 2018-04-25 12:21:28 GMT+3; 2018-04-29 19:00; e70300-dr003
Gimnastic; 29/20; 29/20; 6/4; 6/4; 159/00; 28/17; 6/4; 6/4; 31/20; 13/10; 6/4; 7/5; 28/17; 13/9; 13/8; 31/20; 16/11; 1; 13/10; 6/4; 6/4
Lorca; 2; 9/5; 9/5; 9/5; 49/25; 28/17; 9/5; 7/4; 9/5; 7/4; 9/5; 9/5; 17/10; 12/7; 13/8; 15/8; 24/13; 6/5; 13/8; 19/10; 19/10
Draw; 21/10; 21/10; 2; 21/10; 58/25; 9/4; 2; 11/5; 2; 21/10; 21/10; 28/13; 21/10; 21/10; 11/5; 11/5; 28/13; 13/10; 7/4; 23/10; 23/10
META; spain/la-liga-segunda/lorca-v-gimnastic; 2018-04-26 12:21:22 GMT+3; 2018-04-29 19:00; e70300-dr003
Gimnastic; 29/20; 29/20; 6/4; 6/4; 8/5; 17/11; 6/4; 6/4; 6/4; 6/4; 31/20; 7/5; 6/4; 16/11; 6/4; 13/9; 17/11; 31/20; 6/4; 1; 13/10; 6/4; 6/4
Lorca; 2; 9/5; 7/4; 9/5; 48/25; 7/4; 7/4; 7/4; 9/5; 9/5; 7/4; 17/10; 7/4; 9/5; 24/13; 12/7; 17/10; 19/10; 24/13; 6/5; 8/5; 19/10; 19/10
Draw; 21/10; 21/10; 21/10; 21/10; 47/20; 9/4; 21/10; 11/5; 21/10; 21/10; 41/20; 2; 21/10; 28/13; 21/10; 21/10; 11/5; 11/5; 28/13; 13/10; 7/4; 23/10; 23/10
META; spain/la-liga-segunda/lorca-v-gimnastic; 2018-04-27 08:20:10 GMT+3; 2018-04-29 19:00; e70300-dr003
Gimnastic; 29/20; 29/20; 31/20; 6/4; 79/50; 6/4; 17/11; 31/20; 6/4; 31/20; 6/4; 31/20; 7/5; 6/4; 6/4; 17/11; 13/9; 17/11; 13/8; 17/11; 1; 6/4; 6/4
Lorca; 2; 9/5; 7/4; 9/5; 48/25; 7/4; 7/4; 7/4; 7/4; 7/4; 7/4; 7/4; 17/10; 7/4; 24/13; 24/13; 12/7; 17/10; 9/5; 24/13; 6/5; 19/10; 19/10
Draw; 21/10; 21/10; 21/10; 21/10; 119/0; 2; 9/4; 21/10; 11/5; 21/10; 21/10; 41/20; 2; 21/10; 11/5; 11/5; 21/10; 11/5; 11/5; 11/5; 13/10; 23/10; 23/10
META; spain/la-liga-segunda/lorca-v-gimnastic; 2018-04-28 12:23:23 GMT+3; 2018-04-29 19:00; e70300-dr003
Gimnastic; 29/20; 29/20; 6/4; 8/5; 153/00; 6/4; 17/11; 6/4; 6/4; 31/20; 6/4; 31/20; 7/5; 7/5; 6/4; 17/11; 13/9; 17/11; 8/5; 6/4; 7/5; 13/10; 7/5; 6/4
Lorca; 2; 9/5; 7/4; 17/10; 199/00; 7/4; 7/4; 7/4; 9/5; 7/4; 9/5; 7/4; 17/10; 9/5; 24/13; 24/13; 12/7; 17/10; 9/5; 19/10; 7/4; 8/5; 19/10; 19/10
Draw; 21/10; 21/10; 21/10; 21/10; 119/0; 2; 9/4; 21/10; 21/10; 21/10; 21/10; 41/20; 2; 21/10; 11/5; 11/5; 21/10; 11/5; 11/5; 11/5; 15/8; 9/5; 23/10; 23/10
