META; spain/la-liga-segunda/valladolid-v-rayo-vallecano; 2018-03-01 16:03:37 GMT+2; ; e70300-dr003
Valladolid; 29/20; 7/5; 27/20; 11/8; 157/100; 7/5; 7/5; 7/5; 7/5; 27/20; 7/5; 11/8; 7/5; 11/8; 7/5; 7/5; 7/5; 6/4; 4/3; 11/8; 7/5; 6/4; 7/5; 13/10; 6/4
Rayo Vallecano; 2; 7/4; 7/4; 7/4; 48/25; 17/10; 7/4; 17/10; 39/19; 7/4; 15/8; 9/5; 17/10; 7/4; 15/8; 9/5; 19/10; 9/5; 27/17; 39/19; 15/8; 9/5; 37/19; 7/4; 9/5
Draw; 21/10; 11/5; 23/10; 23/10; 12/5; 21/10; 9/4; 21/10; 21/10; 23/10; 11/5; 23/10; 12/5; 47/20; 9/4; 9/4; 28/13; 11/5; 5/2; 21/10; 5/2; 12/5; 28/13; 21/10; 12/5
META; spain/la-liga-segunda/valladolid-v-rayo-vallecano; 2018-03-02 08:24:39 GMT+2; 2018-03-04 17:00; e70300-dr003
Valladolid; 29/20; 27/20; 11/8; 38/25; 13/10; 11/8; 13/10; 7/5; 27/20; 11/8; 11/8; 11/8; 27/20; 7/5; 7/5; 7/5; 6/4; 4/3; 11/8; 29/20; 29/20; 7/5; 6/5; 7/5; 
Rayo Vallecano; 2; 9/5; 7/4; 52/25; 7/4; 15/8; 7/4; 39/19; 9/5; 15/8; 9/5; 9/5; 9/5; 15/8; 15/8; 37/19; 9/5; 28/17; 39/19; 9/5; 19/10; 2; 13/8; ; 
Draw; 21/10; 9/4; 23/10; 23/10; 57/25; 11/5; 2; 11/5; 21/10; 23/10; 11/5; 23/10; 23/10; 47/20; 9/4; 11/5; 11/5; 9/4; 5/2; 21/10; 5/2; 47/20; 11/5; 19/10; 11/5
META; spain/la-liga-segunda/valladolid-v-rayo-vallecano; 2018-03-02 14:03:56 GMT+2; 2018-03-04 17:00; e70300-dr003
Valladolid; 29/20; 27/20; 11/8; 38/25; 13/10; 11/8; 13/10; 7/5; 27/20; 11/8; 11/8; 11/8; 27/20; 7/5; 7/5; 7/5; 6/4; 23/17; 11/8; 29/20; 29/20; 7/5; 6/5; 5/4; 7/5; 
Rayo Vallecano; 2; 9/5; 7/4; 52/25; 7/4; 15/8; 7/4; 39/19; 9/5; 15/8; 9/5; 15/8; 9/5; 15/8; 15/8; 37/19; 9/5; 28/17; 39/19; 15/8; 19/10; 2; 13/8; 9/5; 2; 
Draw; 21/10; 11/5; 23/10; 23/10; 57/25; 11/5; 2; 11/5; 21/10; 23/10; 11/5; 23/10; 11/5; 47/20; 9/4; 11/5; 11/5; 9/4; 12/5; 21/10; 12/5; 47/20; 11/5; 19/10; 21/10; 11/5
META; spain/la-liga-segunda/valladolid-v-rayo-vallecano; 2018-03-03 12:22:21 GMT+2; 2018-03-04 17:00; e70300-dr003
Valladolid; 29/20; 13/10; 11/8; 38/25; 13/10; 11/8; 13/10; 7/5; 13/10; 11/8; 11/8; 13/10; 7/5; 11/8; 7/5; 6/4; 23/17; 11/8; 7/5; 29/20; 7/5; 7/5; 13/10; 7/5; 
Rayo Vallecano; 2; 9/5; 7/4; 52/25; 7/4; 15/8; 7/4; 39/19; 9/5; 19/10; 9/5; 9/5; 9/5; 2; 15/8; 37/19; 9/5; 28/17; 39/19; 19/10; 19/10; 2; 15/8; 9/5; 2
Draw; 21/10; 11/5; 12/5; 23/10; 57/25; 11/5; 2; 11/5; 21/10; 12/5; 23/10; 23/10; 12/5; 21/10; 9/4; 11/5; 9/4; 40/17; 21/10; 12/5; 47/20; 11/5; 21/10; 11/5; 9/4
