META; spain/la-liga-segunda/sevilla-b-v-zaragoza; 2017-10-18 12:07:49 GMT+3; 2017-10-21 19:30; e70300-dr003
Zaragoza; 6/4; 13/10; 5/4; ; 6/4; 13/10; 7/5; 6/5; ; ; 7/5; ; 7/5; 7/5; ; 7/5; 6/4; 8/5; 179/100; ; ; 7/5; ; 6/4; ; ; 5/6; ; 
Draw; 2; 2; 21/10; ; 21/10; 39/20; 2; 15/8; ; ; 2; ; 2; 2; ; 2; ; 21/10; 52/25; ; ; 2; ; 21/10; ; ; 6/5; ; 
Sevilla B; 17/10; 21/10; 21/10; ; 2; 39/20; 2; 21/10; ; ; 2; ; 2; 2; ; 2; 19/10; 9/5; 48/25; ; ; 7/4; ; 15/8; ; ; 5/4; ; 
