META; spain/la-liga-segunda/valladolid-v-gijon; 2018-04-07 12:23:54 GMT+3; 2018-04-15 15:00; e70300-dr003
Draw; 1/50
Gijon; 1/50
Valladolid; 1/50
META; spain/la-liga-segunda/valladolid-v-gijon; 2018-04-10 08:22:53 GMT+3; 2018-04-15 15:00; e70300-dr003
Draw; 1/100; 17/10
Gijon; 1/33; 7/4
Valladolid; 1/33; 7/4
META; spain/la-liga-segunda/valladolid-v-gijon; 2018-04-11 12:59:33 GMT+3; 2018-04-15 15:00; e70300-dr003
Valladolid; 6/4; 17/10; 31/20; 17/11; 6/4; 6/4; 6/4; 6/4; 17/11; 17/11; 29/20; 17/11; 7/5; 13/8
Gijon; 9/5; 2; 15/8; 9/5; 15/8; 9/5; 9/5; 9/5; 9/5; 9/5; 2; 9/5; 7/4; 19/10
Draw; 2; 21/10; 2; 2; 2; 2; 2; 9/5; 2; ; ; ; ; 
META; spain/la-liga-segunda/valladolid-v-gijon; 2018-04-11 20:23:42 GMT+3; 2018-04-15 15:00; e70300-dr003
Valladolid; 29/20; 7/5; 29/20; 29/20; 79/50; 29/20; 7/5; 8/5; 7/5; 7/5; 29/20; 7/5; 7/5; 7/5; 7/5; 16/11; 6/4; 15/11; 8/5; 6/4; 16/11; 27/20; 27/20; 6/4
Gijon; 21/10; 9/5; 7/4; 7/4; 48/25; 9/5; 15/8; 24/13; 9/5; 15/8; 19/10; 9/5; 9/5; 15/8; 15/8; 24/13; 37/19; 28/17; 9/5; 19/10; 24/13; 13/8; 7/4; 19/10
Draw; 2; 85/40; 11/5; 9/4; 119/0; 11/5; 2; 39/19; 11/5; 21/10; 2; 11/5; 11/5; 9/4; 21/10; 28/13; 2; 23/10; 2; 9/4; 11/5; 19/10; 2; 23/10
META; spain/la-liga-segunda/valladolid-v-gijon; 2018-04-12 10:50:44 GMT+3; 2018-04-15 15:00; e70300-dr003
Valladolid; 29/20; 7/5; 7/5; 29/20; 79/50; 29/20; 7/5; 8/5; 7/5; 7/5; 29/20; 7/5; 7/5; 7/5; 7/5; 16/11; 6/4; 15/11; 8/5; 6/4; 16/11; 27/20; 27/20; 7/5
Gijon; 21/10; 9/5; 9/5; 7/4; 48/25; 9/5; 15/8; 24/13; 9/5; 15/8; 7/4; 9/5; 37/20; 15/8; 9/5; 24/13; 37/19; 28/17; 9/5; 19/10; 24/13; 13/8; 7/4; 19/10
Draw; 2; 85/40; 21/10; 9/4; 119/0; 11/5; 2; 39/19; 21/10; 21/10; 23/10; 11/5; 43/20; 9/4; 21/10; 28/13; 2; 23/10; 2; 23/10; 28/13; 19/10; 2; 9/4
META; spain/la-liga-segunda/valladolid-v-gijon; 2018-04-13 08:21:22 GMT+3; 2018-04-15 15:00; e70300-dr003
Valladolid; 11/8; 11/8; 7/5; 29/20; 6/4; 7/5; 11/8; 16/11; 7/5; 7/5; 29/20; 7/5; 7/5; 13/10; 7/5; 7/5; 6/4; 15/11; 10/7; 29/20; 7/5; 5/4; 7/5
Gijon; 9/4; 15/8; 9/5; 7/4; 51/25; 19/10; 15/8; 19/10; 9/5; 19/10; 15/8; 15/8; 37/20; 7/4; 19/10; 37/19; 37/19; 28/17; 24/13; 2; 7/4; 2; 
Draw; 2; 85/40; 21/10; 9/4; 119/50; 11/5; 2; 9/4; 21/10; 21/10; 21/10; 11/5; 11/5; 21/10; 21/10; 11/5; 21/10; 23/10; 11/5; 23/10; 11/5; 19/10; 9/4
META; spain/la-liga-segunda/valladolid-v-gijon; 2018-04-13 16:22:09 GMT+3; 2018-04-15 15:00; e70300-dr003
Valladolid; 11/8; 11/8; 11/8; 29/20; 6/4; 7/5; 11/8; 16/11; 11/8; 11/8; 29/20; 7/5; 7/5; 13/10; 11/8; 6/4; 4/3; 10/7; 7/5; 7/5; 5/4; 27/20; 7/5; 
Gijon; 9/4; 15/8; 15/8; 7/4; 51/25; 19/10; 15/8; 19/10; 15/8; 19/10; 15/8; 15/8; 15/8; 7/4; 19/10; 39/19; 37/19; 17/10; 24/13; 2; 39/19; 7/4; 9/5; 2
Draw; 2; 85/40; 21/10; 9/4; 119/0; 11/5; 2; 9/4; 21/10; 11/5; 21/10; 11/5; 11/5; 21/10; 21/10; 21/10; 23/10; 11/5; 23/10; 28/13; 19/10; 2; 23/10; 
META; spain/la-liga-segunda/valladolid-v-gijon; 2018-04-14 12:24:12 GMT+3; 2018-04-15 15:00; e70300-dr003
Valladolid; 11/8; 11/8; 27/20; 11/8; 73/50; 7/5; 11/8; 16/11; 27/20; 11/8; 11/8; 7/5; 27/20; 13/10; 11/8; 7/5; 6/4; 4/3; 10/7; 11/8; 7/5; 7/5; 13/10; 7/5; 7/5
Gijon; 9/4; 15/8; 19/10; 15/8; 52/25; 19/10; 15/8; 19/10; 19/10; 2; 15/8; 39/20; 7/4; 2; 39/19; 37/19; 22/13; 24/13; 21/10; 39/19; 7/4; 9/5; 2; ; 
Draw; 2; 85/40; 11/5; 11/5; 12/5; 11/5; 2; 9/4; 11/5; 11/5; 21/10; 11/5; 11/5; 21/10; 21/10; 28/13; 21/10; 40/17; 11/5; 28/13; 19/10; 2; 23/10; 12/5; 
