META; spain/la-liga-segunda/reus-deportiu-v-cadiz; 2018-04-07 12:23:35 GMT+3; 2018-04-14 15:00; e70300-dr003
Cadiz; 1/50
Draw; 1/50
Reus Deportiu; 1/50
META; spain/la-liga-segunda/reus-deportiu-v-cadiz; 2018-04-10 08:22:36 GMT+3; 2018-04-14 15:00; e70300-dr003
Reus Deportiu; 1/33; 8/5
Draw; 1/100; 9/5
Cadiz; 1/33; 9/5
META; spain/la-liga-segunda/reus-deportiu-v-cadiz; 2018-04-11 12:59:15 GMT+3; 2018-04-14 15:00; e70300-dr003
Draw; 15/8; 46/25; 15/8; 7/4; 9/5; 9/5; 9/5; 15/8; 9/5; 7/4; 9/5; 9/5; 9/5; 15/8; 24/13; 7/4; 9/5
Reus Deportiu; 17/10; 48/25; 7/4; 7/4; 7/4; 7/4; 7/4; 7/4; 17/10; 7/4; 7/4; 7/4; 7/4; 9/5; 7/4; 13/8; 15/8
Cadiz; 17/10; 101/50; 7/4; 7/4; 9/5; 9/5; 9/5; 17/10; 9/5; 19/10; 9/5; 9/5; 9/5; 19/10; 9/5; 13/8; 19/10
META; spain/la-liga-segunda/reus-deportiu-v-cadiz; 2018-04-11 20:23:23 GMT+3; 2018-04-14 15:00; e70300-dr003
Reus Deportiu; 7/4; 13/8; 33/20; 19/10; 9/5; 7/4; 13/8; 9/5; 33/20; 17/10; 17/10; 13/8; 17/10; 13/8; 17/10; 17/10; 24/13; 11/7; 7/4; 7/4; 7/4; 13/8; 6/4; 7/4
Draw; 2; 7/4; 17/10; 8/5; 191/00; 7/4; 7/4; 24/13; 17/10; 7/4; 17/10; 9/5; 17/10; 9/5; 7/4; 9/5; 9/5; 29/16; 9/5; 7/4; 24/13; 13/8; 13/8; 15/8
Cadiz; 7/4; 15/8; 19/10; 9/5; 52/25; 19/10; 15/8; 24/13; 19/10; 15/8; 2; 15/8; 39/20; 2; 15/8; 37/19; 9/5; 20/11; 9/5; 21/10; 37/19; 7/4; 15/8; 2
META; spain/la-liga-segunda/reus-deportiu-v-cadiz; 2018-04-12 10:50:26 GMT+3; 2018-04-14 15:00; e70300-dr003
Reus Deportiu; 7/4; 13/8; 33/20; 19/10; 9/5; 7/4; 13/8; 9/5; 33/20; 17/10; 17/10; 13/8; 33/20; 13/8; 17/10; 17/10; 7/4; 11/7; 7/4; 7/4; 17/10; 13/8; 6/4; 7/4; 7/4
Draw; 2; 7/4; 17/10; 8/5; 191/00; 7/4; 7/4; 24/13; 17/10; 7/4; 17/10; 9/5; 17/10; 9/5; 7/4; 9/5; 9/5; 29/16; 9/5; 7/4; 24/13; 13/8; 13/8; 15/8; 15/8
Cadiz; 7/4; 15/8; 19/10; 9/5; 52/25; 19/10; 15/8; 24/13; 19/10; 15/8; 2; 15/8; 39/20; 2; 15/8; 37/19; 19/10; 20/11; 9/5; 21/10; 37/19; 7/4; 15/8; 2; 
META; spain/la-liga-segunda/reus-deportiu-v-cadiz; 2018-04-13 08:21:04 GMT+3; 2018-04-14 15:00; e70300-dr003
Reus Deportiu; 7/4; 13/8; 13/8; 13/8; 177/100; 13/8; 13/8; 9/5; 13/8; 13/8; 17/10; 8/5; 13/8; 8/5; 17/10; 17/10; 7/4; 32/21; 7/4; 7/4; 17/10; 6/4; 7/4
Draw; 2; 7/4; 17/10; 13/8; 48/25; 9/5; 7/4; 24/13; 17/10; 9/5; 17/10; 9/5; 17/10; 13/8; 7/4; 9/5; 9/5; 29/16; 9/5; 7/4; 24/13; 13/8; 15/8
Cadiz; 7/4; 19/10; 2; 21/10; 21/10; 2; 15/8; 24/13; 2; 19/10; 2; 2; 9/5; 19/10; 37/19; 37/19; 15/8; 9/5; 85/40; 2; 19/10; 2; 
META; spain/la-liga-segunda/reus-deportiu-v-cadiz; 2018-04-13 16:21:50 GMT+3; 2018-04-14 15:00; e70300-dr003
Reus Deportiu; 8/5; 6/4; 31/20; 13/8; 167/00; 13/8; 6/4; 8/5; 31/20; 8/5; 8/5; 6/4; 31/20; 7/5; 6/4; 17/11; 7/4; 6/4; 17/11; 17/10; 8/5; 6/4; 7/5; 13/8; 13/8
Draw; 2; 7/4; 17/10; 13/8; 39/20; 9/5; 7/4; 24/13; 17/10; 9/5; 17/10; 9/5; 17/10; 17/10; 9/5; 24/13; 9/5; 29/16; 9/5; 7/4; 19/10; 17/10; 13/8; 19/10; 19/10
Cadiz; 15/8; 2; 21/10; 11/5; 2; 21/10; 2; 21/10; 2; 41/20; 2; 39/19; 37/19; 19/10; 39/19; 11/5; 39/19; 19/10; 2; 21/10; 21/10; ; ; ; 
META; spain/la-liga-segunda/reus-deportiu-v-cadiz; 2018-04-14 12:23:51 GMT+3; 2018-04-14 15:00; e70300-dr003
Reus Deportiu; 6/4; 13/8; 31/20; 13/8; 42/25; 8/5; 6/4; 8/5; 31/20; 6/4; 31/20; 8/5; 8/5; 7/5; 6/4; 17/11; 6/4; 23/15; 17/11; 13/8; 8/5; 13/8; 17/10; 13/8; 17/10
Draw; 9/5; 17/10; 17/10; 13/8; 97/50; 7/4; 7/4; 24/13; 17/10; 7/4; 7/4; 7/4; 17/10; 17/10; 7/4; 9/5; 9/5; 24/13; 9/5; 9/5; 24/13; 9/5; 15/8; 19/10; 9/5
Cadiz; 11/5; 2; 21/10; 21/10; 11/5; 11/5; 2; 21/10; 21/10; 21/10; 21/10; 2; 41/20; 2; 21/10; 21/10; 23/10; 133/7; 39/19; 11/5; 28/13; 21/10; 9/4; 21/10; 9/4
