META; spain/la-liga-segunda/rs-gimnastica-v-rayo-vallecano; 2018-06-02 12:11:22 GMT+3; 2018-06-02 19:30; e70300-dr003
RS Gimnastica; 4/9; 2/5; 4/9; 4/9; 9/20; 4/9; 2/5; 3/7; 1/2; 4/9; 4/9; 4/9; 40/85; 9/20; 4/9; 5/12; 5/12; 3/7; 3/7; 9/20; 5/12; 2/5; 4/9; 4/9; 4/9; 4/9
Draw; 7/2; 10/3; 16/5; 10/3; 73/20; 7/2; 10/3; 33/10; 3; 10/3; 3; 10/3; 31/10; 100/0; 3; 18/5; 18/5; 17/5; 16/5; 7/2; 62/17; 7/2; 7/2; 7/2; 7/2; 7/2
Rayo Vallecano; 11/2; 11/2; 11/2; 11/2; 29/5; 11/2; 11/2; 21/4; 19/4; 11/2; 11/2; 11/2; 5; 11/2; 5; 25/4; 27/5; 5; 6; 6; 32/5; 31/5; 31/5; ; ; 
