META; spain/la-liga-segunda/sevilla-b-v-granada; 2018-04-07 12:24:01 GMT+3; 2018-04-15 17:00; e70300-dr003
Draw; 1/33
Granada; 1/33
Sevilla B; 1/33
META; spain/la-liga-segunda/sevilla-b-v-granada; 2018-04-10 08:22:59 GMT+3; 2018-04-15 17:00; e70300-dr003
Granada; 1/33; 10/9
Sevilla B; 1/33; 21/10
Draw; 1/100; 23/10
META; spain/la-liga-segunda/sevilla-b-v-granada; 2018-04-11 12:59:39 GMT+3; 2018-04-15 17:00; e70300-dr003
Granada; 10/11; 1; 10/11; 1; 10/11; 20/23; 10/11; 10/11; 19/20; 1; 5/6; 20/21; 
Draw; 9/4; 12/5; 23/10; 11/5; 9/4; 5/2; 9/4; 23/10; 11/5; 11/5; 11/5; 2; 23/10
Sevilla B; 3; 33/10; 31/10; 11/4; 3; 14/5; 3; 11/4; 27/10; 14/5; 14/5; 3; 
META; spain/la-liga-segunda/sevilla-b-v-granada; 2018-04-11 20:23:48 GMT+3; 2018-04-15 17:00; e70300-dr003
Granada; 19/20; 19/20; 19/20; 11/10; 101/00; 19/20; 9/10; 19/20; 20/21; 1; 1; 19/20; 19/20; 1; 8/9; 19/20; 5/6; 1; ; ; 
Draw; 11/5; 9/4; 23/10; 23/10; 131/0; 23/10; 23/10; 23/10; 23/10; 9/4; 12/5; 23/10; 12/5; 23/10; 40/17; 9/4; 12/5; 23/10; 12/5; 2; 13/5
Sevilla B; 16/5; 11/4; 27/10; 23/10; 74/25; 29/10; 16/5; 13/5; 11/4; 11/4; 5/2; 13/5; 13/5; 13/5; 14/5; 14/5; 9/4; 31/10; 14/5; 13/5; 14/5
META; spain/la-liga-segunda/sevilla-b-v-granada; 2018-04-12 10:50:50 GMT+3; 2018-04-15 17:00; e70300-dr003
Granada; 19/20; 10/11; 19/20; 1; 10/11; 10/11; 9/10; 19/20; 10/11; 20/21; 1; 1; 19/20; 19/20; 1; 22/23; 8/9; 19/20; 5/6; 1; ; 
Draw; 11/5; 23/10; 23/10; 12/5; 131/0; 12/5; 12/5; 23/10; 23/10; 23/10; 23/10; 12/5; 23/10; 12/5; 23/10; 40/17; 9/4; 12/5; 23/10; 12/5; 21/10; 13/5
Sevilla B; 16/5; 11/4; 13/5; 5/2; 3; 29/10; 11/4; 16/5; 13/5; 3; 11/4; 13/5; 13/5; 13/5; 14/5; 14/5; 14/5; 40/17; 31/10; 14/5; 13/5; 14/5
META; spain/la-liga-segunda/sevilla-b-v-granada; 2018-04-13 08:21:28 GMT+3; 2018-04-15 17:00; e70300-dr003
Granada; 19/20; 10/11; 19/20; 1; 10/11; 10/11; 9/10; 19/20; 10/11; 20/21; 1; 21/20; 19/20; 19/20; 1; 22/23; 8/9; 1; 5/6; 1; ; 
Draw; 11/5; 23/10; 23/10; 12/5; 131/50; 12/5; 12/5; 23/10; 23/10; 23/10; 23/10; 12/5; 23/10; 5/2; 23/10; 12/5; 9/4; 12/5; 23/10; 27/11; 21/10; 11/5
Sevilla B; 16/5; 11/4; 13/5; 5/2; 3; 29/10; 11/4; 16/5; 13/5; 3; 11/4; 13/5; 13/5; 11/4; 14/5; 37/13; 29/10; 40/17; 31/10; 37/13; 13/5; 12/5
META; spain/la-liga-segunda/sevilla-b-v-granada; 2018-04-13 16:22:16 GMT+3; 2018-04-15 17:00; e70300-dr003
Granada; 19/20; 10/11; 19/20; 1; 97/00; 10/11; 10/11; 9/10; 19/20; 10/11; 20/21; 1; 21/20; 19/20; 1; 22/23; 8/9; 1; 5/6; 20/21; ; 
Draw; 11/5; 23/10; 23/10; 12/5; 53/20; 12/5; 12/5; 23/10; 23/10; 12/5; 23/10; 12/5; 23/10; 5/2; 23/10; 23/10; 9/4; 12/5; 23/10; 40/17; 21/10; 13/5
Sevilla B; 16/5; 11/4; 13/5; 5/2; 31/10; 29/10; 11/4; 16/5; 13/5; 11/4; 11/4; 13/5; 13/5; 11/4; 14/5; 11/4; 29/10; 40/17; 31/10; 14/5; 13/5; 14/5
META; spain/la-liga-segunda/sevilla-b-v-granada; 2018-04-14 12:24:18 GMT+3; 2018-04-15 17:00; e70300-dr003
Granada; 19/20; 10/11; 19/20; 1; 97/00; 10/11; 10/11; 9/10; 19/20; 10/11; 20/21; 19/20; 19/20; 21/20; 19/20; 1; 22/23; 8/9; 1; 5/6; 20/21; 20/21; 
Draw; 11/5; 23/10; 23/10; 23/10; 53/20; 12/5; 12/5; 23/10; 23/10; 23/10; 23/10; 12/5; 23/10; 5/2; 23/10; 40/17; 9/4; 12/5; 23/10; 40/17; 21/10; 5/2; 13/5
Sevilla B; 16/5; 11/4; 27/10; 13/5; 31/10; 29/10; 11/4; 16/5; 27/10; 3; 11/4; 13/5; 27/10; 11/4; 14/5; 29/10; 29/10; 40/17; 31/10; 29/10; 27/10; 14/5; 14/5
