META; spain/la-liga-segunda/reus-deportiu-v-almeria; 2018-03-19 08:19:38 GMT+2; 2018-03-24 19:00; e70300-dr003
Almeria; 1/50; 7/4
Draw; 1/50; 7/4
Reus Deportiu; 1/50; 7/4
META; spain/la-liga-segunda/reus-deportiu-v-almeria; 2018-03-20 08:21:26 GMT+2; 2018-03-24 19:00; e70300-dr003
Reus Deportiu; 5/4; 6/5; 11/10; 6/5; 6/5; 6/5; 6/5; 5/4; 6/5; 6/5; 13/10; 5/4; 4/5; 6/5
Draw; 19/10; 2; 15/8; 2; 2; 21/10; 15/8; 2; 2; 23/20; 15/8; ; ; 
Almeria; 23/10; 12/5; 23/10; 23/10; 12/5; 12/5; 23/10; 23/10; 12/5; 23/10; 5/2; 12/5; 13/8; 9/4
META; spain/la-liga-segunda/reus-deportiu-v-almeria; 2018-03-21 14:22:05 GMT+2; 2018-03-24 19:00; e70300-dr003
Reus Deportiu; 21/20; 11/10; 11/10; 6/5; 11/10; 1; 21/20; 21/20; 11/10; 11/10; 21/20; 6/5; 11/10; 21/20; 21/20; 13/12; 24/23; 11/10; 11/10; 11/10; 10/11; 10/9; 23/20; 23/20
Draw; 2; 19/10; 15/8; 103/0; 15/8; 15/8; 21/10; 2; 2; 39/20; 2; 19/10; 37/19; 2; 39/19; 2; 39/20; 37/19; 9/5; 19/10; 2; ; ; 
Almeria; 31/10; 11/4; 11/4; 31/10; 11/4; 11/4; 56/19; 11/4; 11/4; 13/5; 29/10; 3; 14/5; 29/10; 3; 5/2; 29/10; 31/10; 59/20; 56/19; 14/5; 9/4; 3; 
META; spain/la-liga-segunda/reus-deportiu-v-almeria; 2018-03-22 12:40:45 GMT+2; 2018-03-24 19:00; e70300-dr003
Reus Deportiu; 21/20; 21/20; 11/10; 29/25; 1; 21/20; 21/20; 11/10; 11/10; 21/20; 6/5; 21/20; 21/20; 21/20; 13/12; 24/23; 11/10; 21/20; 21/20; 10/11; 21/20; 10/9; 10/9
Draw; 2; 15/8; 52/25; 2; 15/8; 21/10; 2; 19/10; 21/10; 39/20; 2; 2; 2; 39/19; 21/10; 39/20; 2; 15/8; 2; 2; ; ; 
Almeria; 31/10; 14/5; 11/4; 16/5; 11/4; 11/4; 56/19; 11/4; 14/5; 13/5; 29/10; 3; 14/5; 31/10; 3; 5/2; 29/10; 3; 16/5; 31/10; 3; 23/10; 3
META; spain/la-liga-segunda/reus-deportiu-v-almeria; 2018-03-23 14:47:39 GMT+2; 2018-03-24 19:00; e70300-dr003
Reus Deportiu; 21/20; 21/20; 11/10; 57/50; 1; 1; 21/20; 21/20; 11/10; 11/10; 11/10; 11/10; 21/20; 21/20; 21/20; 13/12; 24/23; 11/10; 11/10; 21/20; 21/20; 21/20; 11/10; 11/10
Draw; 2; 15/8; 103/0; 15/8; 15/8; 15/8; 21/10; 19/10; 9/5; 2; 19/10; 2; 19/10; 2; 21/10; 2; 39/19; 2; 21/10; 39/19; 19/10; 19/10; 2; 
Almeria; 31/10; 14/5; 11/4; 33/10; 14/5; 3; 11/4; 56/19; 3; 13/5; 14/5; 100/0; 3; 3; 5/2; 29/10; 16/5; 3; 58/19; 14/5; 3; 10/3; 10/3; 
