META; spain/la-liga-segunda/rayo-vallecano-v-lorca; 2018-01-22 12:19:43 GMT+2; 2018-01-27 17:00; e70300-dr003
Rayo Vallecano; ; 4/11; ; ; 37/ 100; ; ; ; ; ; 4/11; ; ; ; ; ; ; 3/8; ; ; ; ; ; 2/5; 3/8; 2/11; ; 
Draw; ; 16/5; ; ; 37/10; ; ; ; ; ; 10/3; ; ; ; ; ; ; 62/17; ; ; ; ; ; 7/2; 37/10; 8/11; ; 
Lorca; ; 7; ; ; 11; ; ; ; ; ; 8; ; ; ; ; ; ; 25/4; ; ; ; ; ; 13/2; 13/2; 7/5; ; 
META; spain/la-liga-segunda/rayo-vallecano-v-lorca; 2018-01-23 02:19:30 GMT+2; 2018-01-27 17:00; e70300-dr003
Rayo Vallecano; 2/5; 2/5; 2/5; 2/5; 4/9; ; ; ; 2/5; 2/5; 2/5; 2/5; 2/5; ; 4/9; 2/5; 2/5; 3/8; 2/5; 7/17; 2/5; 2/5; 4/9; 21/50; 3/8; 2/9; 4/11; 
Draw; 7/2; 16/5; 13/4; 10/3; 37/10; ; ; ; 7/2; 13/4; 10/3; 10/3; 16/5; ; 7/2; 10/3; 7/2; 7/2; 7/2; 17/5; 17/5; 3; 7/2; 10/3; 39/11; 3; 14/5; 
Lorca; 13/2; 13/2; 6; 6; 73/10; ; ; ; 23/4; 6; 13/2; 6; 6; ; 11/2; 13/2; 13/2; 13/2; 13/2; 5; 11/2; 21/4; 7; 13/2; 27/4; 23/5; 6; 
META; spain/la-liga-segunda/rayo-vallecano-v-lorca; 2018-01-23 17:26:11 GMT+2; 2018-01-27 17:00; e70300-dr003
Rayo Vallecano; 2/5; 2/5; 2/5; 2/5; 41/ 100; ; ; ; 2/5; 2/5; 2/5; 2/5; 2/5; ; 4/9; 2/5; 2/5; 4/11; 2/5; 3/8; 2/5; 2/5; 2/5; 21/50; 7/19; 2/11; 4/11; 2/5
Draw; 7/2; 16/5; 13/4; 10/3; 77/20; ; ; ; 7/2; 13/4; 10/3; 10/3; 10/3; ; 7/2; 10/3; 7/2; 18/5; 7/2; 7/2; 17/5; 3; 7/2; 10/3; 18/5; 3; 3; 7/2
Lorca; 13/2; 13/2; 13/2; 6; 8; ; ; ; 23/4; 13/2; 13/2; 6; 13/2; ; 11/2; 13/2; 13/2; 7; 13/2; 27/5; 11/2; 11/2; 8; 13/2; 7; 11/2; 31/5; 37/5
META; spain/la-liga-segunda/rayo-vallecano-v-lorca; 2018-01-24 12:21:13 GMT+2; 2018-01-27 17:00; e70300-dr003
Rayo Vallecano; 2/5; 2/5; 2/5; 2/5; 21/50; 4/11; 4/11; 4/11; 2/5; 2/5; 2/5; 2/5; 2/5; ; 4/9; 2/5; 2/5; 3/8; 2/5; 3/8; 2/5; 2/5; 2/5; 21/50; 3/8; ; 2/9; 4/11; 2/5
Draw; 7/2; 16/5; 13/4; 10/3; 19/5; 10/3; 10/3; 16/5; 7/2; 13/4; 10/3; 10/3; 10/3; ; 7/2; 10/3; 7/2; 62/17; 7/2; 7/2; 17/5; 3; 18/5; 10/3; 62/17; ; 2; 3; 7/2
Lorca; 13/2; 13/2; 13/2; 6; 39/5; 13/2; 13/2; 6; 23/4; 13/2; 13/2; 6; 13/2; ; 11/2; 13/2; 13/2; 29/4; 13/2; 27/5; 11/2; 11/2; 15/2; 13/2; 7; ; 26/5; 31/5; 37/5
