META; spain/la-liga-segunda/albacete-v-cordoba; 2017-08-25 20:21:46 GMT+3; 2017-08-25 19:00; e70300-dr003
Albacete; 6/4; 6/4; 31/20; 6/4; 8/5; 7/5; 13/8; 7/5; 17/11; ; 31/20; 31/20; 31/20; 6/4; 8/5; 17/11; 17/11; 6/4; 17/11; 17/10; 11/7; 6/4; 6/4; 7/5; 6/4; ; 13/8; 8/5; 13/8
Cordoba; 9/5; 9/5; 9/5; 15/8; 19/10; 7/4; 15/8; 9/5; 2; ; 7/4; 7/4; 37/20; 15/8; 19/10; 9/5; 19/10; 19/10; 19/10; 197/100; 12/7; 37/19; 9/5; 7/4; 7/4; ; 19/10; 15/8; 19/10
Draw; 11/5; 2; 2; 21/10; 2; 39/20; 21/10; 15/8; 2; ; 2; 21/10; 21/10; 2; 19/10; 39/19; 21/10; 19/10; 21/10; 107/50; 21/10; 37/19; 21/10; 2; 2; ; 2; 2; 21/10
