META; spain/la-liga-segunda/reus-deportiu-v-oviedo; 2018-01-22 12:19:46 GMT+2; 2018-01-27 17:00; e70300-dr003
Oviedo; ; 17/10; ; ; 17/10; ; ; ; ; ; 13/8; ; ; ; ; ; ; 7/4; ; ; ; ; ; 7/4; 7/4; 5/6; ; 
Draw; ; 17/10; ; ; 2; ; ; ; ; ; 9/5; ; ; ; ; ; ; 24/13; ; ; ; ; ; 19/10; 19/10; 6/5; ; 
Reus Deportiu; ; 15/8; ; ; 21/10; ; ; ; ; ; 19/10; ; ; ; ; ; ; 7/4; ; ; ; ; ; 7/4; 7/4; 20/21; ; 
META; spain/la-liga-segunda/reus-deportiu-v-oviedo; 2018-01-23 02:19:32 GMT+2; 2018-01-27 17:00; e70300-dr003
Oviedo; 6/4; 6/4; 6/4; 17/10; 87/50; ; ; ; 28/17; 6/4; 8/5; 13/8; ; ; 13/8; 8/5; 28/17; 17/11; 28/17; 16/11; 28/17; 6/4; 8/5; 8/5; 8/5; 4/6; 7/5; 
Draw; ; 15/8; 28/15; 9/5; 97/50; ; ; ; 19/10; 15/8; 15/8; 9/5; ; ; 9/5; 15/8; 37/19; 19/10; 37/19; 2; 19/10; 9/5; 2; 15/8; 19/10; 11/10; 9/5; 
Reus Deportiu; 2; 15/8; 19/10; 7/4; 85/40; ; ; ; 9/5; 19/10; 19/10; 19/10; ; ; 2; 19/10; 9/5; 37/19; 9/5; 9/5; 9/5; 9/5; 2; 39/20; 37/19; 8/11; 9/5; 
META; spain/la-liga-segunda/reus-deportiu-v-oviedo; 2018-01-23 17:26:13 GMT+2; 2018-01-27 17:00; e70300-dr003
Oviedo; 13/10; 29/20; 23/17; 6/4; 147/ 100; 7/5; ; ; 23/17; 27/20; 11/8; 11/8; ; ; 7/5; 11/8; 6/4; 23/17; 6/4; 23/17; 23/17; 13/10; 7/5; 7/5; 23/17; 2/5; 13/10; 7/5
Draw; ; 15/8; 28/15; 9/5; 99/50; 15/8; ; ; 37/19; 15/8; 19/10; 15/8; ; ; 19/10; 15/8; 19/10; 19/10; 19/10; 31/16; 37/19; 9/5; 19/10; 15/8; 37/19; 9/5; 9/5; 2
Reus Deportiu; 23/10; 2; 11/5; 2; 5/2; 21/10; ; ; 11/5; 11/5; 11/5; 9/4; ; ; 11/5; 11/5; 21/10; 9/4; 21/10; 133/ 67; 11/5; 85/40; 12/5; 9/4; 23/10; 3/10; 2; 12/5
META; spain/la-liga-segunda/reus-deportiu-v-oviedo; 2018-01-24 12:21:15 GMT+2; 2018-01-27 17:00; e70300-dr003
Oviedo; 7/5; 11/8; 16/11; 6/4; 39/25; 7/5; 7/5; 13/10; 23/17; 29/20; 7/5; 29/20; ; ; 6/4; 7/5; 23/17; 16/11; 23/17; 11/8; 23/17; 7/5; 6/4; 6/4; 16/11; ; 13/10; 11/8; 6/4
Draw; ; 15/8; 28/15; 9/5; 197/ 100; 15/8; 15/8; 9/5; 37/19; 15/8; 19/10; 15/8; ; ; 15/8; 15/8; 24/13; 37/19; 24/13; 31/16; 37/19; 7/4; 19/10; 15/8; 37/19; ; 7/4; 7/4; 2
Reus Deportiu; 11/5; 21/10; 21/10; 2; 47/20; 21/10; 2; 2; 11/5; 21/10; 21/10; 21/10; ; ; 21/10; 21/10; 12/5; 11/5; 12/5; 37/19; 11/5; 2; 23/10; 21/10; 11/5; ; 19/10; 19/10; 9/4
