META; spain/la-liga-segunda/gimnastic-v-tenerife; 2018-03-01 16:03:28 GMT+2; ; e70300-dr003
Tenerife; 6/4; 6/4; 29/20; 29/20; 41/25; 29/20; 6/4; 7/5; 17/10; 29/20; 6/4; 29/20; 6/4; 6/4; 6/4; 6/4; 6/4; 17/10; 39/29; 28/17; 31/20; 6/4; 17/11; 7/5; 6/4
Gimnastic; 2; 7/4; 9/5; 17/10; 97/50; 17/10; 7/4; 17/10; 17/10; 9/5; 9/5; 9/5; 9/5; 9/5; 15/8; 9/5; 24/13; 9/5; 31/18; 28/17; 19/10; 37/20; 24/13; 7/4; 19/10
Draw; 2; 21/10; 2; 11/5; 113/50; 2; 2; 28/13; 2; 21/10; 11/5; 21/10; 41/20; 21/10; 21/10; 39/19; 37/19; 9/4; 28/13; 11/5; 21/10; 39/19; 19/10; 9/4; 
META; spain/la-liga-segunda/gimnastic-v-tenerife; 2018-03-02 08:24:30 GMT+2; 2018-03-04 15:00; e70300-dr003
Tenerife; 6/4; 6/4; 6/4; 29/20; 41/25; 29/20; 6/4; 7/5; 17/10; 6/4; 6/4; 29/20; 6/4; 6/4; 6/4; 6/4; 17/11; 6/4; 39/29; 28/17; 31/20; 6/4; 17/11; 1; 6/4
Gimnastic; 2; 7/4; 9/5; 17/10; 97/50; 17/10; 7/4; 17/10; 17/10; 9/5; 9/5; 9/5; 9/5; 37/20; 15/8; 9/5; 19/10; 19/10; 31/18; 28/17; 19/10; 37/20; 19/10; 23/20; 19/10
Draw; 2; 21/10; 2; 11/5; 113/50; 2; 2; 28/13; 2; 21/10; 11/5; 21/10; 41/20; 21/10; 21/10; 11/5; 9/4; 28/13; 11/5; 21/10; 21/10; 13/10; 9/4; ; 
META; spain/la-liga-segunda/gimnastic-v-tenerife; 2018-03-02 14:03:47 GMT+2; 2018-03-04 15:00; e70300-dr003
Tenerife; 6/4; 6/4; 6/4; 29/20; 41/25; 29/20; 6/4; 7/5; 17/10; 6/4; 6/4; 29/20; 6/4; 6/4; 6/4; 6/4; 6/4; 6/4; 39/29; 28/17; 31/20; 6/4; 17/11; 1; 7/5; 6/4
Gimnastic; 2; 7/4; 9/5; 17/10; 97/50; 17/10; 7/4; 17/10; 17/10; 9/5; 9/5; 9/5; 9/5; 37/20; 15/8; 9/5; 19/10; 19/10; 31/18; 28/17; 19/10; 37/20; 19/10; 5/4; 7/4; 19/10
Draw; 2; 21/10; 2; 11/5; 113/50; 2; 2; 28/13; 2; 21/10; 11/5; 21/10; 41/20; 21/10; 21/10; 28/13; 11/5; 9/4; 28/13; 11/5; 21/10; 28/13; 27/20; 19/10; 9/4; 
META; spain/la-liga-segunda/gimnastic-v-tenerife; 2018-03-03 12:22:12 GMT+2; 2018-03-04 15:00; e70300-dr003
Tenerife; 6/4; 6/4; 6/4; 29/20; 33/20; 29/20; 6/4; 7/5; 17/10; 6/4; 6/4; 29/20; 6/4; 6/4; 6/4; 6/4; 6/4; 6/4; 39/29; 28/17; 31/20; 6/4; 17/11; 7/5; 7/5; 6/4
Gimnastic; 2; 7/4; 9/5; 17/10; 97/50; 17/10; 7/4; 17/10; 17/10; 9/5; 9/5; 9/5; 9/5; 37/20; 15/8; 9/5; 24/13; 19/10; 31/18; 28/17; 19/10; 37/20; 19/10; 9/5; 7/4; 19/10
Draw; 2; 21/10; 2; 11/5; 56/25; 2; 2; 28/13; 2; 21/10; 11/5; 21/10; 41/20; 21/10; 21/10; 28/13; 11/5; 9/4; 28/13; 11/5; 11/5; 28/13; 19/10; 2; 11/5; 
