META; spain/la-liga-segunda/rayo-vallecano-v-zaragoza; 2018-04-07 12:23:58 GMT+3; 2018-04-15 17:00; e70300-dr003
Draw; 1/50
Rayo Vallecano; 1/50
Zaragoza; 1/50
META; spain/la-liga-segunda/rayo-vallecano-v-zaragoza; 2018-04-10 08:22:57 GMT+3; 2018-04-15 17:00; e70300-dr003
Rayo Vallecano; 1/33; 9/10
Zaragoza; 1/33; 12/5
Draw; 1/100; 13/5
META; spain/la-liga-segunda/rayo-vallecano-v-zaragoza; 2018-04-11 12:59:36 GMT+3; 2018-04-15 17:00; e70300-dr003
Rayo Vallecano; 10/11; 1; 10/11; 9/10; 10/11; 10/11; 10/11; 10/11; 10/11; 9/10; 10/11; 5/6; 10/11
Draw; 85/40; 23/10; 23/10; 23/10; 9/4; 11/5; 21/10; 11/5; 9/4; 23/10; 9/4; 2; 9/4
Zaragoza; 16/5; 7/2; 31/10; 56/19; 3; 16/5; 3; 56/19; 3; 14/5; 10/3; ; 
META; spain/la-liga-segunda/rayo-vallecano-v-zaragoza; 2018-04-11 20:23:45 GMT+3; 2018-04-15 17:00; e70300-dr003
Rayo Vallecano; 7/10; 3/4; 3/4; 5/6; 4/5; 3/4; 4/5; 3/4; 8/11; 3/4; 4/5; 3/4; 3/4; 4/5; 14/19; 13/18; 11/14; 4/5; 4/5; 14/19; 4/6; 8/11; 8/11
Draw; 23/10; 12/5; 12/5; 5/2; 69/25; 5/2; 27/11; 12/5; 5/2; 12/5; 5/2; 49/20; 13/5; 12/5; 5/2; 12/5; 27/11; 27/11; 13/5; 28/11; 9/4; 12/5; 13/5
Zaragoza; 5; 10/3; 7/2; 3; 39/10; 18/5; 17/5; 17/5; 7/2; 7/2; 10/3; 7/2; 7/2; 7/2; 37/10; 17/4; 56/19; 57/17; 18/5; 15/4; 3; 21/5; 
META; spain/la-liga-segunda/rayo-vallecano-v-zaragoza; 2018-04-12 10:50:47 GMT+3; 2018-04-15 17:00; e70300-dr003
Rayo Vallecano; 4/5; 3/4; 3/4; 5/6; 4/5; 8/11; 8/11; 4/5; 3/4; 8/11; 3/4; 3/4; 3/4; 3/4; 4/5; 14/19; 13/18; 13/17; 4/5; 3/4; 10/13; 8/11; 8/11; 8/11
Draw; 5/2; 12/5; 12/5; 5/2; 69/25; 5/2; 12/5; 27/11; 12/5; 5/2; 12/5; 5/2; 49/20; 13/5; 5/2; 28/11; 12/5; 27/11; 27/11; 13/5; 28/11; 23/10; 12/5; 13/5
Zaragoza; 7/2; 7/2; 17/5; 3; 39/10; 15/4; 7/2; 17/5; 17/5; 7/2; 7/2; 10/3; 7/2; 7/2; 10/3; 39/11; 17/4; 31/10; 57/17; 19/5; 18/5; 7/2; 3; 21/5
META; spain/la-liga-segunda/rayo-vallecano-v-zaragoza; 2018-04-13 08:21:25 GMT+3; 2018-04-15 17:00; e70300-dr003
Rayo Vallecano; 4/6; 7/10; 7/10; 8/11; 8/11; 8/11; 4/6; 7/10; 7/10; 4/6; 7/10; 8/11; 7/10; 13/20; 7/10; 9/13; 13/18; 13/18; 13/19; 7/10; 9/13; 4/6; 4/6
Draw; 13/5; 12/5; 13/5; 13/5; 72/25; 13/5; 5/2; 11/4; 13/5; 13/5; 13/5; 13/5; 13/5; 12/5; 13/5; 27/10; 5/2; 13/5; 11/4; 27/10; 11/4; 5/2; 14/5
Zaragoza; 17/4; 15/4; 18/5; 7/2; 43/10; 15/4; 4; 37/10; 18/5; 4; 15/4; 7/2; 37/10; 7/2; 15/4; 77/19; 17/4; 31/10; 37/10; 21/5; 41/10; 7/2; 21/5
META; spain/la-liga-segunda/rayo-vallecano-v-zaragoza; 2018-04-13 16:22:12 GMT+3; 2018-04-15 17:00; e70300-dr003
Rayo Vallecano; 4/6; 7/10; 7/10; 8/11; 73/00; 7/10; 4/6; 7/10; 7/10; 4/6; 7/10; 8/11; 7/10; 13/20; 7/10; 5/7; 13/18; 13/18; 13/19; 7/10; 5/7; 8/13; 4/6; 4/6
Draw; 13/5; 5/2; 5/2; 13/5; 143/0; 13/5; 5/2; 11/4; 5/2; 13/5; 5/2; 13/5; 5/2; 12/5; 13/5; 45/17; 5/2; 13/5; 11/4; 14/5; 45/17; 12/5; 5/2; 14/5
Zaragoza; 17/4; 15/4; 18/5; 7/2; 43/10; 4; 37/10; 18/5; 4; 7/2; 37/10; 7/2; 15/4; 39/10; 17/4; 31/10; 37/10; 4; 75/19; 7/2; 3; 21/5; ; 
META; spain/la-liga-segunda/rayo-vallecano-v-zaragoza; 2018-04-14 12:24:15 GMT+3; 2018-04-15 17:00; e70300-dr003
Rayo Vallecano; 4/6; 7/10; 7/10; 8/11; 73/00; 7/10; 4/6; 7/10; 7/10; 4/6; 7/10; 8/11; 7/10; 13/20; 7/10; 5/7; 13/18; 13/18; 13/19; 5/7; 8/13; 4/6; 4/6; 
Draw; 13/5; 5/2; 5/2; 13/5; 143/0; 11/4; 5/2; 11/4; 5/2; 13/5; 13/5; 13/5; 13/5; 12/5; 13/5; 45/17; 5/2; 13/5; 11/4; 11/4; 27/10; 5/2; 5/2; 14/5
Zaragoza; 17/4; 15/4; 18/5; 7/2; 43/10; 15/4; 4; 37/10; 18/5; 4; 15/4; 7/2; 37/10; 7/2; 15/4; 39/10; 17/4; 31/10; 37/10; 21/5; 75/19; 7/2; 3; 21/5
