META; spain/la-liga-segunda/oviedo-v-sd-huesca; 2018-06-02 12:11:19 GMT+3; 2018-06-02 19:30; e70300-dr003
Oviedo; 4/7; 8/13; 13/20; 16/25; 8/13; 11/17; 1/2; 8/13; 8/13; 13/20; 13/20; 8/13; 8/13; 8/13; 11/17; 8/13; 13/20; 8/13; 8/13; 4/6; 4/6; 8/13; 4/6
Draw; 16/5; 11/4; 11/4; 17/5; 3; 14/5; 3; 13/5; 11/4; 3; 14/5; 3; 29/10; 27/10; 45/17; 3; 58/19; 3; 3; 3; ; ; 
SD Huesca; 4; 19/5; 19/5; 73/20; 7/2; 39/10; 5; 7/2; 19/5; 15/4; 7/2; 4; 17/4; 39/10; 19/5; 21/5; 77/19; 15/4; 4; 21/5; 4; 21/5; 
