META; spain/la-liga-segunda/sd-huesca-v-oviedo; 2017-12-26 12:55:15 GMT+2; 2018-01-07 17:00; e70300-dr003
SD Huesca; 17/20; ; 19/20; ; ; ; ; ; 4/5; ; ; 20/23; ; ; 10/11; ; 9/10; 13/15; 9/10; 66/67; 4/5; ; 19/20; 10/11; 13/15; ; ; 5/6; 
Draw; 9/4; ; 11/5; ; ; ; ; ; 9/4; ; ; 12/5; ; ; 9/4; ; 23/10; 9/4; 23/10; 23/10; 9/4; ; 23/10; 47/20; 9/4; ; ; 11/5; 
Oviedo; 18/5; ; 14/5; ; ; ; ; ; 17/5; ; ; 3; ; ; 16/5; ; 16/5; 31/10; 16/5; 12/5; 17/5; ; 33/10; 3; 31/10; ; ; 13/5; 
META; spain/la-liga-segunda/sd-huesca-v-oviedo; 2017-12-31 12:21:22 GMT+2; 2018-01-07 17:00; e70300-dr003
SD Huesca; 10/11; 5/6; 19/20; 10/11; 51/50; ; ; ; 9/10; ; ; 20/23; ; ; 19/20; ; 19/20; 10/11; 19/20; 66/67; 9/10; 9/10; 1; 10/11; 10/11; ; ; 10/11; 
Draw; 9/4; 23/10; 11/5; 23/10; 23/10; ; ; ; 11/5; ; ; 12/5; ; ; 9/4; ; 9/4; 11/5; 9/4; 23/10; 11/5; 11/5; 23/10; 47/20; 9/4; ; ; 21/10; 
Oviedo; 10/3; 3; 14/5; 14/5; 17/5; ; ; ; 33/10; ; ; 3; ; ; 3; ; 3; 58/19; 3; 12/5; 13/4; 14/5; 31/10; 3; 58/19; ; ; 12/5; 
META; spain/la-liga-segunda/sd-huesca-v-oviedo; 2018-01-07 12:18:48 GMT+2; 2018-01-07 17:00; e70300-dr003
SD Huesca; 23/20; 23/20; 6/5; 23/20; 129/100; ; 6/5; ; 6/5; 6/5; 6/5; 23/20; ; 6/5; 6/5; 6/5; 15/13; 6/5; 15/13; 5/4; 13/11; 11/10; 13/10; 6/5; 6/5; ; 5/4; 13/10; 1
Draw; 21/10; 2; 21/10; 2; 109/50; ; 2; ; 39/19; 21/10; 21/10; 9/4; ; 21/10; 21/10; 2; 21/10; 21/10; 21/10; 21/10; 39/19; 2; 85/40; 21/10; 21/10; ; ; 2; 9/4
Oviedo; 27/10; 12/5; 11/5; 12/5; 66/25; ; 12/5; ; 5/2; 11/5; 5/2; 9/4; ; 9/4; 12/5; 12/5; 27/10; 5/2; 27/10; 11/5; 27/11; 23/10; 12/5; 5/2; 5/2; ; 27/10; 13/5; 10/3
