META; spain/la-liga-segunda/fc-barcelona-b-v-alcorcon; 2018-02-05 12:50:06 GMT+2; 2018-02-10 17:00; e70300-dr003
FC Barcelona B; ; ; ; ; ; ; ; ; ; 5/4; ; ; ; ; ; ; ; ; 6/5; ; ; ; 6/5; ; ; ; ; 
Draw; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 9/4; ; ; 21/10; ; ; ; ; ; 
Alcorcon; ; ; ; ; ; ; ; ; ; 11/5; ; ; ; ; ; ; ; ; 79/40; ; ; ; 47/20; ; ; ; ; 
META; spain/la-liga-segunda/fc-barcelona-b-v-alcorcon; 2018-02-07 14:19:20 GMT+2; 2018-02-10 17:00; e70300-dr003
FC Barcelona B; 5/4; 6/5; 5/4; 23/20; 27/20; 6/5; 6/5; 11/10; 5/4; 5/4; 5/4; 5/4; ; 5/4; 5/4; 5/4; 5/4; 15/13; 16/13; 16/13; 6/5; 13/10; 5/4; 5/4; ; 23/20; 5/4; 13/10
Draw; 2; 21/10; 2; 21/10; 111/ 50; 21/10; 2; 2; 39/19; 2; 2; 21/10; ; 41/20; 21/10; 2; 39/19; 21/10; 39/19; 39/19; 2; 21/10; 21/10; 21/10; ; 19/10; 15/8; 21/10
Alcorcon; 5/2; 9/4; 11/5; 23/10; 123/ 50; 23/10; 9/4; 11/5; 12/5; 11/5; 23/10; 9/4; ; 9/4; 23/10; 23/10; 40/17; 13/5; 39/19; 40/17; 11/5; 12/5; 23/10; 40/17; ; 2; 21/10; 12/5
