META; spain/la-liga-segunda/almeria-v-osasuna; 2018-02-05 12:50:09 GMT+2; 2018-02-10 19:00; e70300-dr003
Almeria; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 52/35; ; ; 7/4; ; ; ; ; ; 
Osasuna; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 13/8; ; ; ; ; 37/19; ; ; ; 
Draw; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 19/10; ; 28/13; ; ; 19/10; ; ; ; ; ; 
META; spain/la-liga-segunda/almeria-v-osasuna; 2018-02-07 14:19:23 GMT+2; 2018-02-10 19:00; e70300-dr003
Osasuna; 17/10; 6/4; 17/11; 17/10; 171/ 100; 8/5; 13/8; 6/4; 8/5; 31/20; 8/5; 8/5; 8/5; 8/5; 13/8; 8/5; 8/5; 9/5; 52/35; 17/11; 6/4; 17/10; 8/5; 28/17; ; 6/4; 6/4; 17/10
Almeria; 15/8; 7/4; 9/5; 17/10; 101/ 50; 7/4; 7/4; 17/10; 19/10; 9/5; 15/8; 15/8; 9/5; 37/20; 9/5; 9/5; 19/10; 7/4; 16/9; 24/13; 9/5; 2; 19/10; 19/10; ; 9/5; 17/10; 19/10
Draw; 19/10; 2; 19/10; 19/10; 52/25; 2; 15/8; 15/8; 2; 19/10; 19/10; 15/8; 2; 19/10; 2; 19/10; 37/19; 19/10; 37/19; 37/19; 9/5; 19/10; 39/20; 2; ; 9/5; 9/5; 2
