META; spain/la-liga-segunda/rayo-vallecano-v-reus-deportiu; 2018-03-12 10:30:54 GMT+2; 2018-03-17 18:00; e70300-dr003
Draw; 1/100
Rayo Vallecano; 1/33
Reus Deportiu; 1/33
META; spain/la-liga-segunda/rayo-vallecano-v-reus-deportiu; 2018-03-12 20:22:56 GMT+2; 2018-03-17 18:00; e70300-dr003
Draw; 1/100
Rayo Vallecano; 1/50
Reus Deportiu; 1/50
META; spain/la-liga-segunda/rayo-vallecano-v-reus-deportiu; 2018-03-13 12:25:53 GMT+2; 2018-03-17 18:00; e70300-dr003
Draw; 1/100
Rayo Vallecano; 1/33
Reus Deportiu; 1/33
META; spain/la-liga-segunda/rayo-vallecano-v-reus-deportiu; 2018-03-13 20:23:44 GMT+2; 2018-03-18 15:00; e70300-dr003
Rayo Vallecano; 2/5; 4/9; 4/9; 4/9; 1/2; 4/9; 4/9; 9/20; 4/9; 3/7; 4/9; 4/9; 1/2; 9/20; 3/7; 1/33; 4/9
Draw; 16/5; 3; 16/5; 16/5; 7/2; 16/5; 3; 16/5; 3; 10/3; 16/5; 11/4; 17/5; 58/19; 1/3; 10/3; 
Reus Deportiu; 15/2; 6; 11/2; 63/10; 6; 13/2; 6; 6; 49/10; 6; 13/2; 6; 1/3; 6; ; ; 
META; spain/la-liga-segunda/rayo-vallecano-v-reus-deportiu; 2018-03-14 20:22:29 GMT+2; 2018-03-18 15:00; e70300-dr003
Rayo Vallecano; 4/9; 4/9; 4/9; 4/9; 53/00; 2/5; 4/9; 2/5; 1/2; 4/9; 4/9; 4/9; 4/9; 40/85; 1/2; 4/9; 7/15; 5/12; 4/9; 1/2; 9/20; 12/25; 7/15; 4/9; 4/9; 1/2
Draw; 16/5; 3; 16/5; 17/5; 3; 3; 14/5; 3; 3; 16/5; 29/10; 3; 3; 10/3; 16/5; 11/4; 17/5; 16/5; 31/10; 14/5; 3; 10/3; ; ; ; 
Reus Deportiu; 13/2; 6; 11/2; 59/10; 11/2; 6; 11/2; 6; 6; 11/2; 11/2; 11/2; 6; 76/13; 25/4; 49/10; 6; 13/2; 6; 59/10; 24/5; 24/5; 28/5; ; ; 
META; spain/la-liga-segunda/rayo-vallecano-v-reus-deportiu; 2018-03-15 13:15:20 GMT+2; 2018-03-18 15:00; e70300-dr003
Rayo Vallecano; 4/9; 4/9; 4/9; 4/9; 8/15; 2/5; 4/9; 2/5; 1/2; 4/9; 4/9; 4/9; 4/9; 40/85; 1/2; 4/9; 10/21; 5/12; 4/9; 1/2; 9/20; 12/25; 10/21; 4/9; 4/9; 1/2
Draw; 16/5; 3; 16/5; 17/5; 3; 3; 14/5; 3; 3; 16/5; 29/10; 3; 3; 10/3; 16/5; 11/4; 10/3; 16/5; 58/19; 14/5; 3; 10/3; ; ; ; 
Reus Deportiu; 13/2; 6; 11/2; 11/2; 29/5; 11/2; 6; 11/2; 6; 11/2; 6; 13/2; 11/2; 11/2; 11/2; 6; 76/13; 25/4; 49/10; 6; 13/2; 6; 59/10; 24/5; 24/5; 28/5
META; spain/la-liga-segunda/rayo-vallecano-v-reus-deportiu; 2018-03-15 20:22:36 GMT+2; 2018-03-18 15:00; e70300-dr003
Rayo Vallecano; 4/9; 4/9; 4/9; 4/9; 8/15; 2/5; 4/9; 2/5; 1/2; 4/9; 4/9; 4/9; 40/85; 1/2; 4/9; 10/21; 5/11; 5/11; 1/2; 9/20; 12/25; 17/35; 4/9; 4/9; 1/2
