META; spain/la-liga-segunda/lugo-v-ud-almeria; 2018-06-02 12:11:13 GMT+3; 2018-06-02 19:30; e70300-dr003
UD Almeria; 3/5; 8/15; 4/7; 1/2; 11/20; 4/7; 8/15; 3/5; 4/7; 4/7; 6/10; 6/10; 3/5; 8/15; 4/7; 3/5; 8/13; 4/7; 3/5; 4/7; 4/7; 4/7; 4/7; 4/7
Draw; 3; 14/5; 14/5; 3; 61/20; 29/10; 3; 11/4; 29/10; 11/4; 11/4; 14/5; 14/5; 11/4; 56/19; 29/10; 56/19; 45/17; 3; 14/5; 3; 3; ; 
Lugo; 17/4; 9/2; 17/4; 5; 24/5; 9/2; 9/2; 9/2; 9/2; 9/2; 9/2; 17/4; 9/2; 4; 47/10; 19/4; 37/10; 22/5; 19/4; 19/4; 9/2; 24/5; 5; 
