META; spain/la-liga-segunda/fc-barcelona-b-v-granada; 2018-01-22 12:19:41 GMT+2; 2018-01-27 15:00; e70300-dr003
Granada; ; 29/20; ; ; 149/ 100; ; ; ; ; ; 6/4; ; ; ; ; ; ; 17/11; ; ; ; ; ; 6/4; 17/11; 8/11; ; 
FC Barcelona B; ; 9/5; ; ; 11/5; ; ; ; ; ; 19/10; ; ; ; ; ; ; 7/4; ; ; ; ; ; 9/5; 9/5; 20/21; ; 
Draw; ; 21/10; ; ; 11/5; ; ; ; ; ; 2; ; ; ; ; ; ; 21/10; ; ; ; ; ; 11/5; 21/10; 13/8; ; 
META; spain/la-liga-segunda/fc-barcelona-b-v-granada; 2018-01-23 02:19:28 GMT+2; 2018-01-27 15:00; e70300-dr003
Granada; 27/20; 7/5; 7/5; 13/8; 157/ 100; ; ; ; 16/11; 7/5; 7/5; 29/20; 7/5; ; 6/4; 7/5; 6/4; 7/5; 6/4; 39/29; 16/11; 7/5; 29/20; 7/5; 16/11; 1/20; 11/8; 
FC Barcelona B; 19/10; 9/5; 9/5; 6/4; 2; ; ; ; 24/13; 9/5; 15/8; 15/8; 9/5; ; 15/8; 9/5; 9/5; 24/13; 9/5; 12/7; 24/13; 9/5; 2; 15/8; 19/10; 8/15; 9/5; 
Draw; 12/5; 85/40; 21/10; 9/4; 23/10; ; ; ; 21/10; 21/10; 11/5; 21/10; 11/5; ; 21/10; 11/5; 11/5; 28/13; 11/5; 23/10; 21/10; 2; 23/10; 9/4; 11/5; 2; 19/10; 
META; spain/la-liga-segunda/fc-barcelona-b-v-granada; 2018-01-23 17:26:09 GMT+2; 2018-01-27 15:00; e70300-dr003
Granada; 7/5; 7/5; 6/4; 11/8; 41/25; 7/5; ; ; 6/4; 6/4; 6/4; 29/20; 6/4; ; 6/4; 6/4; 6/4; 17/11; 6/4; 26/19; 6/4; 7/5; 8/5; 29/20; 17/11; 5/4; 7/5; 13/8
FC Barcelona B; 15/8; 9/5; 17/10; 9/5; 48/25; 9/5; ; ; 7/4; 17/10; 7/4; 17/10; 7/4; ; 15/8; 7/4; 9/5; 9/5; 9/5; 18/11; 7/4; 7/4; 7/4; 9/5; 9/5; 27/20; 13/8; 15/8
Draw; 12/5; 85/40; 21/10; 11/5; 57/25; 11/5; ; ; 21/10; 21/10; 11/5; 23/10; 11/5; ; 21/10; 11/5; 11/5; 11/5; 11/5; 40/17; 21/10; 2; 23/10; 9/4; 11/5; 2; 15/8; 9/4
META; spain/la-liga-segunda/fc-barcelona-b-v-granada; 2018-01-24 12:21:10 GMT+2; 2018-01-27 15:00; e70300-dr003
Granada; 13/10; 11/8; 13/10; 11/8; 141/ 100; 13/10; 5/4; 13/10; 13/10; 13/10; 13/10; 13/10; 11/8; ; 13/10; 13/10; 16/11; 13/10; 16/11; 5/4; 13/10; 13/10; 11/8; 11/8; 23/17; ; 6/5; 5/4; 11/8
FC Barcelona B; 2; 19/10; 2; 9/5; 9/4; 19/10; 2; 15/8; 39/19; 2; 2; 2; 2; ; 21/10; 2; 19/10; 21/10; 19/10; 9/5; 39/19; 15/8; 21/10; 21/10; 21/10; ; 9/5; 19/10; 11/5
Draw; 12/5; 85/40; 21/10; 11/5; 23/10; 11/5; 9/4; 21/10; 21/10; 21/10; 11/5; 11/5; 11/5; ; 11/5; 11/5; 11/5; 11/5; 11/5; 23/10; 21/10; 2; 9/4; 21/10; 11/5; ; 2; 15/8; 9/4
