META; spain/la-liga-segunda/gimnastic-v-fc-barcelona-b; 2017-10-27 12:23:21 GMT+3; 2017-11-01 17:00; e70300-dr003
FC Barcelona B; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/50; ; 
Gimnastic; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/50; ; 
Draw; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 2/9; ; 
META; spain/la-liga-segunda/gimnastic-v-fc-barcelona-b; 2017-11-01 13:25:15 GMT+2; 2017-11-01 17:00; e70300-dr003
Gimnastic; 5/4; 5/4; 5/4; 5/4; 61/50; 5/4; 5/4; 6/5; 6/5; 5/4; 13/10; 13/10; 13/10; 13/10; 13/10; 5/4; 13/10; 13/10; 141/100; 9/7; 13/11; 5/4; 11/8; 13/10; 13/10; ; 13/10; 13/10; 
FC Barcelona B; 11/5; 21/10; 2; 21/10; 39/20; 21/10; 2; 2; 9/4; 2; 11/5; 21/10; 2; 39/20; 21/10; 2; 21/10; 21/10; 109/50; 19/10; 9/4; 15/8; 85/40; 2; 21/10; ; 21/10; 21/10; 
Draw; 9/4; 85/40; 11/5; 11/5; 21/10; 11/5; 9/4; 21/10; 9/4; 11/5; 9/4; 11/5; 9/4; 9/4; 11/5; 11/5; 9/4; 9/4; 119/50; 40/17; 9/4; 11/5; 23/10; 23/10; 23/10; ; 11/5; ; 
