META; spain/la-liga-segunda/leonesa-v-reus-deportiu; 2018-03-01 16:03:16 GMT+2; ; e70300-dr003
Leonesa; 11/10; 11/10; 23/20; 23/20; 59/50; 21/20; 11/10; 1; 15/13; 23/20; 23/20; 11/10; 23/20; 23/20; 11/10; 11/10; 15/13; 15/13; 9/8; 8/7; 23/20; 15/13; 10/9; 23/20
Draw; 2; 2; 19/10; 54/25; 19/10; 2; 28/13; 2; 2; 21/10; 41/20; 11/5; 2; 39/19; 2; 21/10; 28/13; 21/10; 39/19; 19/10; 21/10; ; ; 
Reus Deportiu; 3; 13/5; 5/2; 13/5; 149/50; 13/5; 5/2; 13/5; 5/2; 5/2; 13/5; 12/5; 5/2; 13/5; 13/5; 45/17; 27/10; 9/4; 27/11; 14/5; 45/17; 9/4; 14/5; 
META; spain/la-liga-segunda/leonesa-v-reus-deportiu; 2018-03-02 08:24:19 GMT+2; 2018-03-03 17:00; e70300-dr003
Leonesa; 11/10; 11/10; 23/20; 23/20; 123/100; 11/10; 11/10; 1; 15/13; 23/20; 23/20; 11/10; 23/20; 23/20; 23/20; 11/10; 15/13; 15/13; 9/8; 8/7; 23/20; 6/5; 6/5; 6/5; 6/5
Draw; 2; 2; 19/10; 111/50; 2; 2; 28/13; 2; 21/10; 21/10; 41/20; 21/10; 2; 39/19; 21/10; 21/10; 28/13; 11/5; 21/10; 21/10; 19/10; 11/5; ; ; 
Reus Deportiu; 3; 13/5; 5/2; 13/5; 69/25; 13/5; 5/2; 5/2; 5/2; 5/2; 5/2; 12/5; 5/2; 5/2; 13/5; 13/5; 27/10; 9/4; 27/11; 27/10; 13/5; 45/17; 23/10; 13/5; 
META; spain/la-liga-segunda/leonesa-v-reus-deportiu; 2018-03-02 14:03:35 GMT+2; 2018-03-03 17:00; e70300-dr003
Leonesa; 11/10; 11/10; 23/20; 23/20; 123/100; 11/10; 11/10; 1; 15/13; 23/20; 23/20; 11/10; 23/20; 23/20; 23/20; 11/10; 15/13; 15/13; 9/8; 8/7; 23/20; 6/5; 6/5; 6/5; 6/5
Draw; 2; 2; 19/10; 111/50; 2; 2; 28/13; 2; 21/10; 21/10; 41/20; 21/10; 2; 21/10; 21/10; 21/10; 28/13; 11/5; 21/10; 28/13; 2; 11/5; ; ; 
Reus Deportiu; 3; 13/5; 5/2; 13/5; 69/25; 13/5; 5/2; 5/2; 5/2; 5/2; 5/2; 12/5; 5/2; 5/2; 13/5; 28/11; 27/10; 9/4; 27/11; 27/10; 13/5; 28/11; 12/5; 13/5; 
META; spain/la-liga-segunda/leonesa-v-reus-deportiu; 2018-03-03 12:22:00 GMT+2; 2018-03-03 17:00; e70300-dr003
Leonesa; 11/10; 11/10; 23/20; 23/20; 117/100; 11/10; 11/10; 1; 15/13; 23/20; 11/10; 11/10; 23/20; 11/10; 23/20; 11/10; 11/10; 15/13; 7/6; 8/7; 23/20; 11/10; 10/9; 23/20
Draw; 2; 2; 19/10; 56/25; 2; 2; 28/13; 2; 21/10; 21/10; 21/10; 41/20; 21/10; 2; 28/13; 21/10; 28/13; 28/13; 11/5; 11/5; 2; 9/4; ; 
Reus Deportiu; 3; 5/2; 5/2; 13/5; 29/10; 13/5; 5/2; 5/2; 5/2; 5/2; 13/5; 5/2; 12/5; 13/5; 5/2; 13/5; 45/17; 27/10; 23/10; 27/11; 27/10; 45/17; 13/5; 27/10
