META; spain/la-liga-segunda/zaragoza-v-cordoba; 2018-01-22 12:19:53 GMT+2; 2018-01-27 20:00; e70300-dr003
Zaragoza; ; 5/6; ; ; 9/10; ; ; ; ; ; 5/6; ; ; ; ; 17/20; ; 1; ; ; ; ; ; 10/11; 1; 1/50; ; 
Draw; ; 85/40; ; ; 23/10; ; ; ; ; ; 21/10; ; ; ; ; 21/10; ; 28/13; ; ; ; ; ; 23/10; 28/13; 1/3; ; 
Cordoba; ; 7/2; ; ; 41/10; ; ; ; ; ; 7/2; ; ; ; ; 7/2; ; 37/13; ; ; ; ; ; 16/5; 29/10; 1/3; ; 
META; spain/la-liga-segunda/zaragoza-v-cordoba; 2018-01-23 02:19:40 GMT+2; 2018-01-27 20:00; e70300-dr003
Zaragoza; 21/20; 1; 21/20; 21/20; 28/25; ; 1; ; 1; 21/20; 1; 1; 21/20; ; 21/20; 1; 1; 1; 1; 21/20; 1; 1; 21/20; 21/20; 1; 10/11; 10/11; 
Draw; 9/4; 23/10; 9/4; 11/5; 23/10; ; 9/4; ; 9/4; 9/4; 9/4; 23/10; 12/5; ; 9/4; 9/4; 12/5; 9/4; 12/5; 23/10; 9/4; 11/5; 12/5; 23/10; 9/4; 2; 9/4; 
Cordoba; 11/4; 5/2; 5/2; 12/5; 3; ; 5/2; ; 11/4; 5/2; 13/5; 13/5; 12/5; ; 13/5; 13/5; 13/5; 27/10; 13/5; 11/5; 27/10; 12/5; 11/4; 13/5; 27/10; 9/4; 11/5; 
META; spain/la-liga-segunda/zaragoza-v-cordoba; 2018-01-23 17:26:22 GMT+2; 2018-01-27 20:00; e70300-dr003
Zaragoza; 1; 1; 1; 21/20; 107/ 100; 19/20; 10/11; ; 1; 1; 1; 1; 21/20; ; 19/20; 1; 1; 1; 1; 30/29; 1; 10/11; 1; 1; 1; 5/6; 20/21; 1
Draw; 23/10; 11/5; 9/4; 11/5; 57/25; 9/4; 9/4; ; 9/4; 9/4; 9/4; 9/4; 23/10; ; 9/4; 9/4; 12/5; 23/10; 12/5; 23/10; 9/4; 11/5; 12/5; 23/10; 23/10; 2; 9/4; 23/10
Cordoba; 14/5; 13/5; 13/5; 12/5; 16/5; 11/4; 11/4; ; 11/4; 13/5; 11/4; 11/4; 5/2; ; 3; 13/5; 13/5; 37/13; 13/5; 9/4; 27/10; 13/5; 29/10; 14/5; 29/10; 5/2; 11/5; 3
META; spain/la-liga-segunda/zaragoza-v-cordoba; 2018-01-24 12:21:23 GMT+2; 2018-01-27 20:00; e70300-dr003
Zaragoza; 10/11; 19/20; 19/20; 10/11; 1; 10/11; 10/11; 5/6; 1; 19/20; 20/21; 10/11; 19/20; ; 19/20; 10/11; 1; 19/20; 1; 13/14; 1; 9/10; 37/40; 10/11; 19/20; ; 5/6; 5/6; 20/21
Draw; 12/5; 11/5; 23/10; 23/10; 47/20; 23/10; 9/4; 11/5; 9/4; 23/10; 23/10; 23/10; 12/5; ; 9/4; 23/10; 12/5; 40/17; 12/5; 40/17; 9/4; 9/4; 5/2; 47/20; 40/17; ; 2; 23/10; 23/10
Cordoba; 3; 11/4; 11/4; 11/4; 17/5; 14/5; 11/4; 11/4; 11/4; 11/4; 11/4; 14/5; 13/5; ; 3; 14/5; 13/5; 58/19; 13/5; 5/2; 27/10; 14/5; 31/10; 3; 58/19; ; 5/2; 23/10; 3
