META; spain/la-liga-segunda/sevilla-b-v-lorca; 2017-12-26 12:54:58 GMT+2; 2018-01-07 11:00; e70300-dr003
Sevilla B; 11/10; ; 6/5; ; ; ; ; ; 15/13; ; ; 23/20; ; ; 6/5; ; 6/5; 15/13; 6/5; 8/7; 15/13; ; ; 6/5; 15/13; ; ; 23/20; 
Draw; 21/10; ; 2; ; ; ; ; ; 2; ; ; 2; ; ; 2; ; 21/10; 37/19; 21/10; 11/5; 2; ; ; 2; 2; ; ; 19/10; 
Lorca; 11/4; ; 23/10; ; ; ; ; ; 5/2; ; ; 5/2; ; ; 5/2; ; 12/5; 28/11; 12/5; 28/13; 5/2; ; ; 51/20; 28/11; ; ; 2; 
META; spain/la-liga-segunda/sevilla-b-v-lorca; 2017-12-31 12:21:14 GMT+2; 2018-01-07 11:00; e70300-dr003
Sevilla B; 11/10; 11/10; 6/5; 23/20; 5/4; ; ; ; 6/5; ; ; 23/20; 6/5; ; 6/5; ; 6/5; 15/13; 6/5; 7/6; 13/11; 11/10; ; 6/5; 15/13; ; ; 23/20; 
Draw; 21/10; 2; 2; 21/10; 21/10; ; ; ; 2; ; ; 2; 21/10; ; 2; ; 2; 37/19; 2; 28/13; 37/19; 15/8; ; 2; 37/19; ; ; 19/10; 
Lorca; 11/4; 5/2; 12/5; 23/10; 143/ 50; ; ; ; 13/5; ; ; 5/2; 23/10; ; 5/2; ; 5/2; 28/11; 5/2; 21/10; 28/11; 12/5; ; 51/20; 28/11; ; ; 2; 
META; spain/la-liga-segunda/sevilla-b-v-lorca; 2018-01-07 12:18:40 GMT+2; 2018-01-07 11:00; e70300-dr003
Sevilla B; 13/10; 6/5; 13/10; 5/4; 71/50; ; 5/4; ; 6/5; 13/10; 13/10; 5/4; 13/10; 13/10; 13/10; 5/4; 6/5; 13/10; 6/5; 17/13; 13/11; 5/4; ; 13/10; 13/10; ; 13/10; 27/20; 5/4
Draw; 2; 19/10; 19/10; 2; 197/100; ; 15/8; ; 2; 2; 2; 2; 2; 2; 19/10; 19/10; 21/10; 2; 21/10; 39/19; 37/19; 15/8; ; 2; 37/19; ; 19/10; 2; 2
Lorca; 12/5; 12/5; 11/5; 11/5; 131/50; ; 12/5; ; 13/5; 11/5; 12/5; 9/4; 11/5; 11/5; 12/5; 12/5; 5/2; 12/5; 5/2; 28/13; 28/11; 11/5; ; 5/2; 27/11; ; 13/5; 5/2; 14/5
