META; spain/la-liga-segunda/lorca-v-tenerife; 2017-10-18 12:07:46 GMT+3; 2017-10-21 19:00; e70300-dr003
Tenerife; 13/10; 13/10; 7/5; ; 13/10; 13/10; 11/8; 13/10; ; ; 13/10; ; 5/4; 11/8; ; 11/8; ; ; 31/20; ; ; 6/5; 5/4; 5/4; ; ; 5/6; ; 
Draw; 2; 2; 2; ; 21/10; 41/20; 2; 15/8; ; ; 2; ; 21/10; 2; ; 2; ; ; 52/25; ; ; 2; 21/10; 21/10; ; ; 19/10; ; 
Lorca; 15/8; 21/10; 19/10; ; 9/4; 15/8; 2; 2; ; ; 11/5; ; 11/5; 21/10; ; 21/10; ; ; 56/25; ; ; 2; 5/2; 9/4; ; ; 5/4; ; 
