META; spain/la-liga-segunda/albacete-v-gimnastic; 2018-02-05 12:50:11 GMT+2; 2018-02-11 11:00; e70300-dr003
Albacete; ; 21/20; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 13/12; ; ; ; ; ; ; ; ; 
Draw; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 21/10; ; ; 2; ; ; ; ; ; 
Gimnastic; ; 11/4; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 12/5; ; ; 3; ; 29/10; ; ; ; 
META; spain/la-liga-segunda/albacete-v-gimnastic; 2018-02-07 14:19:25 GMT+2; 2018-02-11 11:00; e70300-dr003
Albacete; 10/11; 19/20; 10/11; 1; 99/ 100; 10/11; 10/11; 5/6; 19/20; 10/11; 10/11; 20/21; ; 19/20; 21/20; 10/11; 19/20; 1; 19/20; 15/16; 9/10; 37/40; 10/11; 19/20; ; 4/6; 9/10; 
Draw; 2; 2; 21/10; 21/10; 47/20; 21/10; 9/4; 2; 11/5; 21/10; 11/5; 11/5; 11/5; 21/10; 21/10; 21/10; 11/5; 21/10; 21/10; 28/13; 2; 9/4; 11/5; 9/4; ; 2; 9/4; 
Gimnastic; 15/4; 16/5; 3; 11/4; 69/20; 16/5; 3; 3; 16/5; 3; 3; 3; 14/5; 31/10; 14/5; 3; 16/5; 3; 11/4; 31/10; 3; 17/5; 10/3; 13/4; ; 13/5; 5/2; 
