META; spain/la-liga-segunda/reus-deportiu-v-lorca; 2018-02-05 12:50:18 GMT+2; 2018-02-11 17:00; e70300-dr003
Reus Deportiu; ; 10/11; 13/15; ; ; ; ; ; ; 20/23; ; ; ; ; ; ; 4/5; ; ; ; ; 19/20; ; ; ; ; ; 
Draw; ; 21/10; ; ; ; ; ; ; ; ; 11/5; ; ; ; ; ; 9/4; ; ; ; ; ; ; ; ; ; ; 
Lorca; ; 16/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 7/2; ; ; ; ; ; 
META; spain/la-liga-segunda/reus-deportiu-v-lorca; 2018-02-07 14:19:33 GMT+2; 2018-02-11 17:00; e70300-dr003
Reus Deportiu; 10/11; 19/20; 10/11; 1; 97/ 100; ; ; 10/11; 1; 10/11; 20/21; 10/11; 19/20; 19/20; 19/20; 19/20; 10/11; 19/20; 13/14; 1; 5/6; 37/40; 10/11; 10/11; ; 4/6; 5/6; 20/21
Draw; 11/5; 2; 2; 19/10; 107/ 50; ; ; 15/8; 2; 2; 2; 2; 21/10; 2; 2; 2; 2; 2; 2; 37/19; 15/8; 11/5; 2; 39/19; ; 15/8; 2; 2
Lorca; 10/3; 16/5; 13/4; 3; 4; ; ; 3; 33/10; 13/4; 10/3; 10/3; 16/5; 16/5; 7/2; 10/3; 7/2; 17/5; 3; 13/4; 100/ 30; 18/5; 15/4; 7/2; ; 14/5; 14/5; 7/2
