META; spain/la-liga-segunda/cadiz-v-lugo; 2018-01-22 12:19:51 GMT+2; 2018-01-27 19:30; e70300-dr003
Cadiz; ; 19/20; ; ; 26/25; ; ; ; ; ; 20/21; ; ; ; ; ; ; 1; ; ; ; ; ; 19/20; 1; 8/15; ; 
Draw; ; 21/10; ; ; 11/5; ; ; ; ; ; 2; ; ; ; ; ; ; 39/19; ; ; ; ; ; 21/10; 21/10; 27/20; ; 
Lugo; ; 3; ; ; 7/2; ; ; ; ; ; 10/3; ; ; ; ; ; ; 31/10; ; ; ; ; ; 10/3; 41/13; 7/5; ; 
META; spain/la-liga-segunda/cadiz-v-lugo; 2018-01-23 02:19:37 GMT+2; 2018-01-27 19:30; e70300-dr003
Cadiz; 4/5; 5/6; 13/15; 5/6; 93/ 100; ; ; ; 4/5; 20/23; 5/6; 20/23; 10/11; ; 10/11; 5/6; 11/13; 5/6; 11/13; 6/7; 4/5; 4/5; 20/23; 17/20; 5/6; 8/11; 5/6; 
Draw; 12/5; 2; 2; 2; 111/ 50; ; ; ; 21/10; 2; 21/10; 2; 21/10; ; 2; 21/10; 21/10; 21/10; 21/10; 21/10; 21/10; 2; 11/5; 2; 21/10; 6/4; 2; 
Lugo; 15/4; 15/4; 7/2; 15/4; 41/10; ; ; ; 39/10; 7/2; 7/2; 15/4; 10/3; ; 15/4; 15/4; 15/4; 19/5; 15/4; 41/13; 19/5; 7/2; 4; 4; 50/13; 7/2; 14/5; 
META; spain/la-liga-segunda/cadiz-v-lugo; 2018-01-23 17:26:19 GMT+2; 2018-01-27 19:30; e70300-dr003
Cadiz; 4/5; 5/6; 13/15; 5/6; 97/ 100; ; ; ; 4/5; 20/23; 5/6; 20/23; 10/11; ; 10/11; 17/20; 11/13; 5/6; 11/13; 6/7; 4/5; 4/5; 20/23; 17/20; 13/15; 8/11; 5/6; 10/11
Draw; 12/5; 2; 21/10; 2; 111/ 50; ; ; ; 21/10; 21/10; 21/10; 2; 11/5; ; 2; 21/10; 21/10; 28/13; 21/10; 21/10; 21/10; 2; 11/5; 21/10; 28/13; 8/5; 21/10; 21/10
Lugo; 15/4; 15/4; 17/5; 15/4; 19/5; ; ; ; 39/10; 17/5; 7/2; 7/2; 10/3; ; 15/4; 7/2; 15/4; 62/17; 15/4; 41/13; 19/5; 7/2; 4; 15/4; 37/10; 7/2; 14/5; 7/2
META; spain/la-liga-segunda/cadiz-v-lugo; 2018-01-24 12:21:20 GMT+2; 2018-01-27 19:30; e70300-dr003
Cadiz; 4/5; 4/5; 5/6; 5/6; 21/25; 3/4; 4/5; 8/11; 4/5; 5/6; 4/5; 20/23; 17/20; ; 17/20; 5/6; 5/6; 4/5; 5/6; 6/7; 4/5; 8/11; 17/20; 4/5; 4/5; ; 4/6; 4/5; 4/5
Draw; 12/5; 85/40; 21/10; 2; 58/25; 11/5; 2; 21/10; 83/41; 21/10; 21/10; 2; 11/5; ; 21/10; 21/10; 11/5; 11/5; 11/5; 21/10; 2; 2; 9/4; 11/5; 11/5; ; 2; 21/10; 9/4
Lugo; 15/4; 15/4; 18/5; 15/4; 9/2; 15/4; 4; 7/2; 41/10; 18/5; 4; 15/4; 10/3; ; 15/4; 15/4; 15/4; 41/10; 15/4; 41/13; 4; 7/2; 4; 4; 41/10; ; 7/2; 3; 22/5
