META; spain/la-liga-segunda/lugo-v-lorca; 2018-04-16 20:43:59 GMT+3; 2018-04-22 17:00; e70300-dr003
Lugo; 1/50; 4/5
Draw; 1/100; 13/5
Lorca; 1/50; 13/5
META; spain/la-liga-segunda/lugo-v-lorca; 2018-04-17 20:46:27 GMT+3; 2018-04-22 17:00; e70300-dr003
Lugo; 3/5; 6/10; 8/13; 4/6; 4/7; 3/5; 8/13; 8/13; 8/13; 10/17; 6/11; 19/29; 4/7; 13/20; 10/17; 1/9; 8/15; 8/13; 8/13
Draw; 11/4; 13/5; 13/5; 59/20; 13/5; 13/5; 11/4; 13/5; 14/5; 27/10; 14/5; 45/17; 28/11; 14/5; 27/10; 2/9; 12/5; 14/5; 14/5
Lorca; 19/4; 9/2; 9/2; 24/5; 24/5; 9/2; 4; 17/4; 17/4; 49/11; 5; 7/2; 19/4; 9/2; 49/11; 1/33; 10/3; 24/5; 24/5
META; spain/la-liga-segunda/lugo-v-lorca; 2018-04-19 08:21:34 GMT+3; 2018-04-22 17:00; e70300-dr003
Lugo; 4/6; 4/6; 4/6; 8/13; 7/10; 8/13; 4/6; 11/17; 4/6; 4/6; 4/6; 7/10; 4/6; 13/20; 4/6; 11/17; 4/6; 7/10; 11/17; 7/10; 4/6; 1/50; 4/6; 4/6
Draw; 11/4; 5/2; 13/5; 13/5; 143/50; 13/5; 5/2; 28/11; 13/5; 13/5; 13/5; 13/5; 13/5; 12/5; 13/5; 45/17; 13/5; 13/5; 5/2; 11/4; 27/10; 4/11; 14/5; 14/5
Lorca; 4; 19/5; 9/2; 23/5; 4; 9/2; 19/5; 4; 15/4; 4; 7/2; 4; 54/13; 17/4; 33/10; 9/2; 21/5; 21/5; 4/11; 22/5; 9/2; ; ; 
META; spain/la-liga-segunda/lugo-v-lorca; 2018-04-20 10:30:58 GMT+3; 2018-04-22 17:00; e70300-dr003
Lugo; 4/6; 8/13; 4/6; 8/13; 71/00; 8/13; 8/13; 11/17; 4/6; 4/6; 4/6; 4/6; 4/6; 13/20; 4/6; 4/6; 4/6; 4/6; 11/17; 4/6; 1/50; 4/7; 4/6; 4/6
Draw; 13/5; 13/5; 13/5; 13/5; 143/0; 13/5; 11/4; 28/11; 13/5; 13/5; 13/5; 13/5; 13/5; 12/5; 13/5; 27/10; 27/10; 13/5; 5/2; 14/5; 5/4; 11/5; 14/5; 14/5
Lorca; 17/4; 19/5; 9/2; 9/2; 4; 9/2; 19/5; 4; 15/4; 15/4; 4; 7/2; 4; 17/4; 17/4; 38/11; 9/2; 17/4; 4/11; 3; 22/5; 9/2; ; 
META; spain/la-liga-segunda/lugo-v-lorca; 2018-04-21 14:23:09 GMT+3; 2018-04-22 17:00; e70300-dr003
Lugo; 4/6; 4/6; 4/6; 8/13; 71/00; 8/13; 4/6; 11/17; 4/6; 4/6; 4/6; 7/10; 4/6; 13/20; 4/6; 4/6; 4/6; 9/13; 11/17; 4/6; 1/12; 4/7; 4/6; 4/6
Draw; 13/5; 5/2; 13/5; 13/5; 143/0; 13/5; 5/2; 28/11; 13/5; 13/5; 13/5; 13/5; 13/5; 12/5; 13/5; 27/10; 27/10; 13/5; 5/2; 14/5; 27/20; 11/5; 14/5; 14/5
Lorca; 17/4; 19/5; 9/2; 9/2; 4; 9/2; 19/5; 4; 15/4; 15/4; 19/5; 7/2; 4; 17/4; 17/4; 57/17; 9/2; 17/4; 4/9; 3; 22/5; 9/2; ; 
