META; english/non-league/national-league/solihull-moors-v-boreham-wood; 2017-12-16 22:22:07 GMT+2; 2017-12-23 15:00; Nothing; Xlenovo
Boreham Wood; 19/20; 21/20; 1; ; ; 19/20; 20/21; ; 11/10; 1; 1; 20/21; ; ; 1; 19/20; ; 19/20; ; 39/40; 11/10; 1; 1; 1; 19/20; ; ; ; 
Draw; 5/2; 12/5; 9/4; ; ; 9/4; 23/10; ; 9/4; 9/4; 23/10; 9/4; ; ; 5/2; 9/4; ; 9/4; ; 12/5; 9/4; 12/5; 5/2; 47/20; 23/10; ; ; ; 
Solihull Moors; 14/5; 13/5; 13/5; ; ; 13/5; 13/5; ; 40/17; 13/5; 13/5; 5/2; ; ; 5/2; 13/5; ; 28/11; ; 23/10; 40/17; 13/5; 27/10; 27/10; 13/5; ; ; ; 
META; english/non-league/national-league/solihull-moors-v-boreham-wood; 2017-12-18 18:23:53 GMT+2; 2017-12-23 15:00; Nothing; Xlenovo
Boreham Wood; 19/20; 1; 1; 1; ; 19/20; 1; ; 1; 1; 1; 20/21; ; ; 1; 19/20; ; 1; 109/ 100; 68/67; 1; 1; 1; 1; 1; ; ; 20/21; 
Draw; 5/2; 12/5; 9/4; 23/10; ; 9/4; 23/10; ; 9/4; 9/4; 23/10; 23/10; ; ; 5/2; 9/4; ; 23/10; 63/25; 40/17; 9/4; 12/5; 5/2; 47/20; 23/10; ; ; 2; 
Solihull Moors; 14/5; 11/4; 13/5; 5/2; ; 13/5; 13/5; ; 13/5; 13/5; 13/5; 12/5; ; ; 5/2; 5/2; ; 13/5; 14/5; 23/10; 13/5; 13/5; 27/10; 27/10; 13/5; ; ; 12/5; 
META; english/non-league/national-league/solihull-moors-v-boreham-wood; 2017-12-18 22:23:54 GMT+2; 2017-12-23 15:00; Nothing; Xlenovo
Boreham Wood; 19/20; 1; 1; 1; 9/10; 19/20; 1; ; 1; 1; 1; 20/21; ; ; 1; 19/20; 9/10; 1; 109/ 100; 68/67; 1; 1; 1; 1; 1; ; 20/21; 20/21; 
Draw; 5/2; 12/5; 9/4; 23/10; 23/10; 9/4; 23/10; ; 9/4; 9/4; 23/10; 23/10; ; ; 5/2; 9/4; 23/10; 23/10; 63/25; 40/17; 9/4; 12/5; 5/2; 47/20; 23/10; ; 21/10; 2; 
Solihull Moors; 14/5; 13/5; 13/5; 5/2; 13/5; 13/5; 13/5; ; 13/5; 13/5; 13/5; 12/5; ; ; 5/2; 5/2; 13/5; 13/5; 14/5; 23/10; 13/5; 13/5; 27/10; 27/10; 13/5; ; 23/10; 12/5; 
META; english/non-league/national-league/solihull-moors-v-boreham-wood; 2017-12-19 02:23:56 GMT+2; 2017-12-23 15:00; Nothing; Xlenovo
Boreham Wood; 19/20; 1; 1; 1; 9/10; 19/20; 1; ; 1; 1; 1; 20/21; ; ; 1; 19/20; 9/10; 1; 109/ 100; 68/67; 1; 1; 1; 1; 1; ; 1; 20/21; 
Draw; 5/2; 12/5; 9/4; 23/10; 23/10; 9/4; 23/10; ; 9/4; 9/4; 23/10; 23/10; ; ; 5/2; 23/10; 23/10; 23/10; 63/25; 40/17; 9/4; 12/5; 5/2; 47/20; 40/17; ; 23/10; 2; 
Solihull Moors; 14/5; 13/5; 13/5; 5/2; 13/5; 13/5; 13/5; ; 13/5; 13/5; 13/5; 12/5; ; ; 5/2; 5/2; 13/5; 13/5; 14/5; 23/10; 13/5; 13/5; 27/10; 27/10; 13/5; ; 5/2; 12/5; 
META; english/non-league/national-league/solihull-moors-v-boreham-wood; 2017-12-19 10:23:55 GMT+2; 2017-12-23 15:00; Nothing; Xlenovo
Boreham Wood; 19/20; 1; 1; 1; 9/10; 19/20; 1; ; 1; 1; 1; 20/21; ; ; 1; 19/20; 9/10; 1; 109/ 100; 68/67; 1; 1; 1; 1; 1; ; 1; 20/21; 
Draw; 5/2; 12/5; 9/4; 23/10; 23/10; 9/4; 23/10; ; 9/4; 9/4; 23/10; 23/10; ; ; 5/2; 23/10; 23/10; 23/10; 63/25; 40/17; 9/4; 12/5; 12/5; 47/20; 40/17; ; 23/10; 2; 
Solihull Moors; 14/5; 13/5; 13/5; 5/2; 13/5; 13/5; 13/5; ; 13/5; 13/5; 13/5; 12/5; ; ; 5/2; 5/2; 13/5; 13/5; 14/5; 23/10; 13/5; 13/5; 27/10; 27/10; 13/5; ; 5/2; 12/5; 
META; english/non-league/national-league/solihull-moors-v-boreham-wood; 2017-12-19 14:24:12 GMT+2; 2017-12-23 15:00; Nothing; Xlenovo
Boreham Wood; 19/20; 1; 1; 1; 9/10; 19/20; 1; ; 1; 1; 1; 20/21; ; ; 1; 19/20; 9/10; 1; 109/ 100; 68/67; 1; 1; 1; 1; 1; ; 1; 20/21; 
Draw; 5/2; 12/5; 9/4; 23/10; 23/10; 9/4; 23/10; ; 9/4; 9/4; 23/10; 23/10; ; ; 5/2; 9/4; 23/10; 23/10; 63/25; 40/17; 9/4; 12/5; 12/5; 47/20; 23/10; ; 23/10; 2; 
Solihull Moors; 14/5; 13/5; 13/5; 5/2; 13/5; 13/5; 13/5; ; 13/5; 13/5; 13/5; 12/5; ; ; 5/2; 5/2; 13/5; 13/5; 14/5; 23/10; 13/5; 13/5; 27/10; 27/10; 13/5; ; 5/2; 12/5; 
META; english/non-league/national-league/solihull-moors-v-boreham-wood; 2017-12-19 18:24:03 GMT+2; 2017-12-23 15:00; Nothing; Xlenovo
Boreham Wood; 19/20; 1; 1; 1; 9/10; 19/20; 1; ; 1; 1; 1; 20/21; ; 1; 1; 19/20; 9/10; 1; 109/ 100; 68/67; 1; 1; 1; 1; 1; ; 1; 20/21; 
Draw; 5/2; 12/5; 9/4; 23/10; 23/10; 9/4; 23/10; ; 9/4; 9/4; 23/10; 23/10; ; 9/4; 5/2; 9/4; 23/10; 23/10; 63/25; 40/17; 9/4; 12/5; 12/5; 47/20; 23/10; ; 23/10; 2; 
Solihull Moors; 14/5; 13/5; 13/5; 5/2; 13/5; 13/5; 13/5; ; 13/5; 13/5; 13/5; 12/5; ; 5/2; 5/2; 5/2; 13/5; 13/5; 14/5; 23/10; 13/5; 13/5; 27/10; 27/10; 13/5; ; 13/5; 12/5; 
META; english/non-league/national-league/solihull-moors-v-boreham-wood; 2017-12-19 22:24:10 GMT+2; 2017-12-23 15:00; Nothing; Xlenovo
Boreham Wood; 19/20; 1; 1; 1; 9/10; 19/20; 1; ; 1; 1; 1; 20/21; ; 1; 1; 19/20; 9/10; 1; 109/ 100; 68/67; 1; 1; 1; 1; 1; ; 1; 20/21; 
Draw; 5/2; 12/5; 9/4; 23/10; 23/10; 9/4; 23/10; ; 9/4; 9/4; 23/10; 23/10; ; 9/4; 5/2; 9/4; 23/10; 23/10; 63/25; 40/17; 9/4; 12/5; 5/2; 47/20; 23/10; ; 23/10; 2; 
Solihull Moors; 14/5; 13/5; 13/5; 5/2; 13/5; 13/5; 13/5; ; 13/5; 13/5; 13/5; 12/5; ; 5/2; 5/2; 5/2; 13/5; 13/5; 14/5; 23/10; 13/5; 13/5; 27/10; 27/10; 13/5; ; 13/5; 12/5; 
META; english/non-league/national-league/solihull-moors-v-boreham-wood; 2017-12-20 02:23:56 GMT+2; 2017-12-23 15:00; Nothing; Xlenovo
Boreham Wood; 19/20; 1; 1; 1; 9/10; 19/20; 1; ; 1; 1; 1; 20/21; ; 1; 1; 19/20; 9/10; 1; 109/ 100; 68/67; 1; 1; 1; 1; 1; ; 1; 20/21; 
Draw; 5/2; 12/5; 9/4; 23/10; 23/10; 9/4; 23/10; ; 9/4; 9/4; 23/10; 23/10; ; 9/4; 5/2; 23/10; 23/10; 23/10; 63/25; 40/17; 9/4; 12/5; 5/2; 47/20; 40/17; ; 23/10; 2; 
Solihull Moors; 14/5; 13/5; 13/5; 5/2; 13/5; 13/5; 13/5; ; 13/5; 13/5; 13/5; 12/5; ; 5/2; 5/2; 5/2; 13/5; 13/5; 14/5; 23/10; 13/5; 13/5; 27/10; 27/10; 13/5; ; 13/5; 12/5; 
META; english/non-league/national-league/solihull-moors-v-boreham-wood; 2017-12-20 10:23:53 GMT+2; 2017-12-23 15:00; Nothing; Xlenovo
Boreham Wood; 19/20; 1; 1; 1; 9/10; 10/11; 1; ; 1; 1; 1; 1; ; 1; 1; 19/20; 9/10; 1; 109/ 100; ; 1; 1; 1; 1; 1; ; 1; 20/21; 
Draw; 5/2; 12/5; 9/4; 23/10; 23/10; 12/5; 23/10; ; 9/4; 9/4; 23/10; 21/10; ; 9/4; 5/2; 9/4; 23/10; 23/10; 63/25; ; 9/4; 12/5; 5/2; 47/20; 40/17; ; 23/10; 2; 
Solihull Moors; 14/5; 13/5; 13/5; 5/2; 13/5; 13/5; 13/5; ; 13/5; 13/5; 13/5; 5/2; ; 13/5; 5/2; 5/2; 13/5; 13/5; 14/5; ; 13/5; 13/5; 27/10; 27/10; 13/5; ; 13/5; 12/5; 
META; english/non-league/national-league/solihull-moors-v-boreham-wood; 2017-12-20 14:24:07 GMT+2; 2017-12-23 15:00; Nothing; Xlenovo
Boreham Wood; 21/20; 1; 21/20; 1; 9/10; 19/20; 1; ; 1; 21/20; 1; 1; ; 1; 11/10; 1; 9/10; 1; 23/20; 68/67; 1; 21/20; 21/20; 21/20; 21/20; ; 20/21; 1; 
Draw; 12/5; 12/5; 9/4; 23/10; 23/10; 9/4; 23/10; ; 9/4; 9/4; 23/10; 11/5; ; 9/4; 23/10; 9/4; 23/10; 23/10; 62/25; 40/17; 9/4; 12/5; 12/5; 47/20; 23/10; ; 11/5; 2; 
Solihull Moors; 5/2; 13/5; 12/5; 5/2; 13/5; 13/5; 5/2; ; 13/5; 12/5; 13/5; 12/5; ; 5/2; 12/5; 12/5; 13/5; 27/11; 53/20; 23/10; 13/5; 13/5; 13/5; 13/5; 27/11; ; 12/5; 23/10; 
META; english/non-league/national-league/solihull-moors-v-boreham-wood; 2017-12-20 18:24:29 GMT+2; 2017-12-23 15:00; Nothing; Xlenovo
Boreham Wood; 21/20; 1; 21/20; 1; 9/10; 19/20; 21/20; ; 1; 21/20; 21/20; 1; ; 21/20; 11/10; 1; 9/10; 21/20; 57/50; 13/12; 1; 21/20; 11/10; 21/20; 21/20; ; 20/21; 1; 
Draw; 12/5; 12/5; 9/4; 23/10; 23/10; 9/4; 23/10; ; 9/4; 9/4; 23/10; 9/4; ; 11/5; 23/10; 9/4; 23/10; 23/10; 62/25; 40/17; 9/4; 12/5; 12/5; 47/20; 40/17; ; 11/5; 2; 
Solihull Moors; 5/2; 13/5; 12/5; 5/2; 13/5; 13/5; 5/2; ; 13/5; 12/5; 5/2; 9/4; ; 12/5; 12/5; 12/5; 13/5; 5/2; 67/25; 21/10; 13/5; 13/5; 5/2; 13/5; 5/2; ; 12/5; 23/10; 
META; english/non-league/national-league/solihull-moors-v-boreham-wood; 2017-12-20 22:24:34 GMT+2; 2017-12-23 15:00; Nothing; Xlenovo
Boreham Wood; 21/20; 21/20; 21/20; 1; 9/10; 19/20; 21/20; ; 1; 21/20; 21/20; 1; ; 21/20; 11/10; 1; 9/10; 21/20; 57/50; 13/12; 1; 21/20; 11/10; 21/20; 21/20; ; 1; 1; 
