META; english/non-league/national-league/eastleigh-v-afc-fylde; 2017-09-10 18:24:49 GMT+3; 2017-09-16 15:00; Nothing; Xlenovo
Eastleigh; ; ; ; ; 17/20; ; 9/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 10/11; ; ; ; 
Draw; ; ; ; ; 12/5; ; 12/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 12/5; ; ; ; 
AFC Fylde; ; ; ; ; 3; ; 16/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 3; ; ; ; 
META; english/non-league/national-league/eastleigh-v-afc-fylde; 2017-09-10 22:24:47 GMT+3; 2017-09-16 15:00; Nothing; Xlenovo
Eastleigh; 10/11; ; ; ; 17/20; ; 9/10; ; ; ; ; 4/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; 12/5; ; ; ; 5/2; ; 5/2; ; ; ; ; 5/2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
AFC Fylde; 3; ; ; ; 29/10; ; 31/10; ; ; ; ; 13/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/non-league/national-league/eastleigh-v-afc-fylde; 2017-09-11 02:24:42 GMT+3; 2017-09-16 15:00; Nothing; Xlenovo
Eastleigh; 10/11; ; ; ; 17/20; ; 9/10; ; ; ; ; 4/5; ; ; ; 11/13; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; 12/5; ; ; ; 5/2; ; 5/2; ; ; ; ; 5/2; ; ; ; 5/2; ; ; ; ; ; ; ; ; ; ; ; ; 
AFC Fylde; 3; ; ; ; 29/10; ; 31/10; ; ; ; ; 13/5; ; ; ; 14/5; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/non-league/national-league/eastleigh-v-afc-fylde; 2017-09-11 10:24:39 GMT+3; 2017-09-16 15:00; Nothing; Xlenovo
Eastleigh; 10/11; ; ; ; 17/20; ; 9/10; ; ; ; ; 4/5; ; ; ; 11/13; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; 12/5; ; ; ; 5/2; ; 5/2; ; ; ; ; 5/2; ; ; ; 5/2; ; ; ; ; ; ; ; ; ; ; ; ; 
AFC Fylde; 3; ; ; ; 29/10; ; 31/10; ; ; ; ; 13/5; ; ; ; 14/5; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/non-league/national-league/eastleigh-v-afc-fylde; 2017-09-11 14:24:46 GMT+3; 2017-09-16 15:00; Nothing; Xlenovo
Eastleigh; 10/11; ; ; ; 10/11; ; 9/10; ; 9/10; ; ; 20/23; ; ; ; 11/13; ; 9/10; 13/15; ; ; 9/10; ; ; 10/11; ; ; ; 
Draw; 12/5; ; ; ; 5/2; ; 5/2; ; 23/10; ; ; 23/10; ; ; ; 12/5; ; 23/10; 23/10; ; ; 23/10; ; ; 12/5; ; ; ; 
AFC Fylde; 3; ; ; ; 14/5; ; 3; ; 37/13; ; ; 11/4; ; ; ; 14/5; ; 37/13; 37/13; ; ; 37/13; ; ; 3; ; ; ; 
META; english/non-league/national-league/eastleigh-v-afc-fylde; 2017-09-11 18:25:11 GMT+3; 2017-09-16 15:00; Nothing; Xlenovo
Eastleigh; 10/11; ; ; ; 10/11; ; 9/10; ; 9/10; ; ; 20/23; 10/11; ; ; 11/13; ; 9/10; 13/15; ; ; 9/10; ; ; ; ; ; ; 
