META; english/non-league/national-league/maidstone-v-maidenhead-utd; 2017-07-31 14:22:18 GMT+3; 2017-08-05 15:00; Nothing; Xlenovo
Maidstone; 1; 1; 19/20; 19/20; 1; ; 1; ; ; ; ; 10/11; 19/20; ; 1; 1; ; ; 19/20; 11/10; ; ; ; 1; 1; ; ; ; 
Draw; 12/5; 12/5; 47/20; 23/10; 23/10; ; 12/5; ; ; ; ; 23/10; 47/20; ; 12/5; 12/5; ; ; 23/10; 13/5; ; ; ; 12/5; 12/5; ; ; ; 
Maidenhead Utd; 11/4; 5/2; 27/10; 5/2; 13/5; ; 11/4; ; ; ; ; 5/2; 11/4; ; 5/2; 27/10; ; ; 13/5; 67/25; ; ; ; 11/4; 11/4; ; ; ; 
META; english/non-league/national-league/maidstone-v-maidenhead-utd; 2017-07-31 18:22:08 GMT+3; 2017-08-05 15:00; Nothing; Xlenovo
Maidstone; 1; 1; 19/20; 19/20; 20/21; ; 1; ; ; ; ; 10/11; 19/20; ; 1; 1; 19/20; ; 19/20; 11/10; ; ; ; 1; 1; ; ; ; 
Draw; 12/5; 12/5; 47/20; 23/10; 23/10; ; 12/5; ; ; ; ; 23/10; 47/20; ; 12/5; 12/5; 9/4; ; 23/10; 13/5; ; ; ; 12/5; 12/5; ; ; ; 
Maidenhead Utd; 11/4; 5/2; 27/10; 5/2; 11/4; ; 11/4; ; ; ; ; 5/2; 11/4; ; 5/2; 27/10; 5/2; ; 45/17; 67/25; ; ; ; 11/4; 11/4; ; ; ; 
META; english/non-league/national-league/maidstone-v-maidenhead-utd; 2017-07-31 22:22:14 GMT+3; 2017-08-05 15:00; Nothing; Xlenovo
Maidstone; 1; 1; 19/20; 19/20; 20/21; ; 1; ; ; ; ; 10/11; 19/20; ; 1; 1; 19/20; ; 19/20; 11/10; ; ; ; 1; 1; ; ; ; 
Draw; 12/5; 12/5; 47/20; 23/10; 23/10; ; 12/5; ; ; ; ; 23/10; 47/20; ; 12/5; 12/5; 9/4; ; 23/10; 13/5; ; ; ; 12/5; 12/5; ; ; ; 
Maidenhead Utd; 11/4; 5/2; 27/10; 5/2; 11/4; ; 11/4; ; ; ; ; 5/2; 11/4; ; 5/2; 27/10; 5/2; ; 45/17; 67/25; ; ; ; 11/4; 11/4; ; ; ; 
META; english/non-league/national-league/maidstone-v-maidenhead-utd; 2017-08-01 02:22:05 GMT+3; 2017-08-05 15:00; Nothing; Xlenovo
Maidstone; 1; 1; 19/20; 19/20; 20/21; ; 1; ; ; ; ; 10/11; 19/20; ; 1; 1; 19/20; ; 19/20; 11/10; ; ; ; 1; 1; ; ; ; 
Draw; 12/5; 12/5; 47/20; 23/10; 23/10; ; 12/5; ; ; ; ; 23/10; 47/20; ; 12/5; 12/5; 9/4; ; 23/10; 13/5; ; ; ; 12/5; 12/5; ; ; ; 
Maidenhead Utd; 11/4; 5/2; 27/10; 5/2; 11/4; ; 11/4; ; ; ; ; 5/2; 11/4; ; 5/2; 13/5; 5/2; ; 45/17; 67/25; ; ; ; 11/4; 11/4; ; ; ; 
META; english/non-league/national-league/maidstone-v-maidenhead-utd; 2017-08-01 10:22:09 GMT+3; 2017-08-05 15:00; Nothing; Xlenovo
Maidstone; 1; 1; 19/20; 19/20; 19/20; ; 1; 10/11; 19/20; ; ; 10/11; 19/20; ; 1; 1; 19/20; 20/21; 19/20; 11/10; ; 19/20; ; 1; 1; ; ; ; 
