META; english/non-league/national-league/afc-fylde-v-torquay; 2017-11-11 22:22:37 GMT+2; 2017-11-18 15:00; Nothing; Xlenovo
AFC Fylde; ; 10/11; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; ; 12/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Torquay; ; 14/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/non-league/national-league/afc-fylde-v-torquay; 2017-11-12 02:22:52 GMT+2; 2017-11-18 15:00; Nothing; Xlenovo
AFC Fylde; ; 10/11; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; ; 12/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Torquay; ; 14/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/non-league/national-league/afc-fylde-v-torquay; 2017-11-12 10:22:49 GMT+2; 2017-11-18 15:00; Nothing; Xlenovo
AFC Fylde; ; 10/11; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; ; 12/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Torquay; ; 14/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/non-league/national-league/afc-fylde-v-torquay; 2017-11-12 14:22:53 GMT+2; 2017-11-18 15:00; Nothing; Xlenovo
AFC Fylde; 17/20; 10/11; ; ; ; ; 17/20; ; ; ; 5/6; ; ; ; ; ; ; 4/5; ; ; ; ; 17/20; ; 4/5; ; ; ; 
Draw; 5/2; 12/5; ; ; ; ; 12/5; ; ; ; 12/5; ; ; ; ; ; ; 40/17; ; ; ; ; 5/2; ; 12/5; ; ; ; 
Torquay; 16/5; 14/5; ; ; ; ; 3; ; ; ; 16/5; ; ; ; ; ; ; 58/19; ; ; ; ; 33/10; ; 58/19; ; ; ; 
META; english/non-league/national-league/afc-fylde-v-torquay; 2017-11-12 18:22:44 GMT+2; 2017-11-18 15:00; Nothing; Xlenovo
AFC Fylde; 1; 10/11; 1; ; ; ; 20/21; 5/6; ; 1; 20/21; 20/21; ; ; ; ; ; 1; ; ; ; ; 21/20; ; 1; ; ; ; 
Draw; 5/2; 12/5; 5/2; ; ; ; 12/5; 12/5; ; 5/2; 5/2; 9/4; ; ; ; ; ; 23/10; ; ; ; ; 5/2; ; 40/17; ; ; ; 
Torquay; 13/5; 14/5; 23/10; ; ; ; 5/2; 13/5; ; 23/10; 5/2; 12/5; ; ; ; ; ; 12/5; ; ; ; ; 5/2; ; 12/5; ; ; ; 
META; english/non-league/national-league/afc-fylde-v-torquay; 2017-11-12 22:22:39 GMT+2; 2017-11-18 15:00; Nothing; Xlenovo
AFC Fylde; 1; 10/11; 1; ; ; ; 1; 10/11; ; 1; 20/21; 20/21; ; ; ; 19/20; ; 19/20; ; 42/41; ; ; 1; ; 19/20; ; ; ; 
Draw; 5/2; 12/5; 5/2; ; ; ; 12/5; 5/2; ; 5/2; 13/5; 5/2; ; ; ; 5/2; ; 27/11; ; 14/5; ; ; 27/10; ; 27/11; ; ; ; 
Torquay; 13/5; 14/5; 23/10; ; ; ; 12/5; 12/5; ; 23/10; 12/5; 9/4; ; ; ; 12/5; ; 40/17; ; 9/4; ; ; 12/5; ; 12/5; ; ; ; 
META; english/non-league/national-league/afc-fylde-v-torquay; 2017-11-13 02:22:28 GMT+2; 2017-11-18 15:00; Nothing; Xlenovo
