META; english/non-league/national-league/halifax-v-guiseley; 2017-08-20 02:21:44 GMT+3; 2017-08-26 12:30; Nothing; Xlenovo
Halifax; ; 8/11; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; ; 5/2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Guiseley; ; 10/3; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/non-league/national-league/halifax-v-guiseley; 2017-08-20 10:21:48 GMT+3; 2017-08-26 12:30; Nothing; Xlenovo
Halifax; ; 8/11; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; ; 5/2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Guiseley; ; 10/3; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/non-league/national-league/halifax-v-guiseley; 2017-08-20 14:21:56 GMT+3; 2017-08-26 12:30; Nothing; Xlenovo
Halifax; 8/11; 8/11; ; ; 8/11; 4/6; 8/11; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 13/18; ; ; 8/11; ; ; ; 
Draw; 13/5; 5/2; ; ; 13/5; 5/2; 13/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 5/2; ; ; 11/4; ; ; ; 
Guiseley; 15/4; 10/3; ; ; 18/5; 16/5; 4; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 7/2; ; ; 7/2; ; ; ; 
META; english/non-league/national-league/halifax-v-guiseley; 2017-08-20 18:22:36 GMT+3; 2017-08-26 12:30; Nothing; Xlenovo
Halifax; 8/11; 8/11; ; ; 8/11; 4/6; 3/4; ; 13/18; ; ; 7/10; 8/11; ; ; ; ; ; 9/13; ; ; 13/18; ; 8/11; 8/11; ; ; ; 
Draw; 13/5; 5/2; ; ; 13/5; 5/2; 13/5; ; 5/2; ; ; 5/2; 13/5; ; ; ; ; ; 5/2; ; ; 5/2; ; 13/5; 11/4; ; ; ; 
Guiseley; 15/4; 10/3; ; ; 18/5; 16/5; 19/5; ; 7/2; ; ; 16/5; 15/4; ; ; ; ; ; 39/11; ; ; 7/2; ; 19/5; 7/2; ; ; ; 
META; english/non-league/national-league/halifax-v-guiseley; 2017-08-20 22:21:56 GMT+3; 2017-08-26 12:30; Nothing; Xlenovo
Halifax; 8/11; 8/11; ; ; 8/11; 4/6; 8/11; ; 13/18; ; ; 7/10; 8/11; ; ; ; ; ; 9/13; ; ; 13/18; ; 8/11; 8/11; ; ; ; 
Draw; 13/5; 5/2; ; ; 13/5; 5/2; 13/5; ; 5/2; ; ; 5/2; 13/5; ; ; ; ; ; 5/2; ; ; 5/2; ; 13/5; 11/4; ; ; ; 
Guiseley; 15/4; 10/3; ; ; 18/5; 16/5; 4; ; 7/2; ; ; 16/5; 15/4; ; ; ; ; ; 39/11; ; ; 7/2; ; 19/5; 7/2; ; ; ; 
