META; english/non-league/national-league/maidstone-v-afc-fylde; 2018-04-08 14:25:00 GMT+3; 2018-04-14 15:00; Nothing; Xlenovo
AFC Fylde; 7/5; 7/5; 7/5; 8/11
Maidstone; 9/5; 9/5; 15/8; 5/6
Draw; 12/5; 23/10; 12/5; 10/9
META; english/non-league/national-league/maidstone-v-afc-fylde; 2018-04-08 18:24:33 GMT+3; 2018-04-14 15:00; Nothing; Xlenovo
AFC Fylde; 7/5; 11/8; 7/5; 7/5; 8/11; 7/5
Maidstone; 9/5; 7/4; 9/5; 15/8; 5/6; 17/10
Draw; 12/5; 23/10; 23/10; 12/5; 10/9; 11/5
META; english/non-league/national-league/maidstone-v-afc-fylde; 2018-04-08 22:24:41 GMT+3; 2018-04-14 15:00; Nothing; Xlenovo
AFC Fylde; 7/5; 11/8; 7/5; 13/10; 7/5; 8/11; 7/5
Maidstone; 9/5; 7/4; 9/5; 7/4; 15/8; 5/6; 17/10
Draw; 12/5; 23/10; 23/10; 9/4; 12/5; 10/9; 11/5
META; english/non-league/national-league/maidstone-v-afc-fylde; 2018-04-09 02:24:38 GMT+3; 2018-04-14 15:00; Nothing; Xlenovo
AFC Fylde; 7/5; 11/8; 7/5; 13/10; 7/5; 8/11; 7/5
Maidstone; 9/5; 7/4; 9/5; 7/4; 15/8; 5/6; 17/10
Draw; 12/5; 23/10; 23/10; 9/4; 12/5; 10/9; 11/5
META; english/non-league/national-league/maidstone-v-afc-fylde; 2018-04-09 10:24:35 GMT+3; 2018-04-14 15:00; Nothing; Xlenovo
AFC Fylde; 7/5; 11/8; 11/8; 7/5; 11/8; 11/8; 23/17; 23/17; 11/8; 29/20; 23/17; 6/5; 3/10
Maidstone; 9/5; 7/4; 17/10; 9/5; 17/10; 17/10; 17/10; 7/4; 17/10; 15/8; 17/10; 6/4; 4/11
Draw; 12/5; 23/10; 40/17; 23/10; 11/5; 9/4; 23/10; 23/10; 40/17; 23/10; 40/17; 2; 9/5
META; english/non-league/national-league/maidstone-v-afc-fylde; 2018-04-09 14:24:54 GMT+3; 2018-04-14 15:00; Nothing; Xlenovo
AFC Fylde; 7/5; 11/8; 11/8; 7/5; 11/8; 11/8; 23/17; 23/17; 11/8; 29/20; 23/17; 21/20; 7/5
Maidstone; 9/5; 7/4; 17/10; 9/5; 17/10; 17/10; 17/10; 7/4; 17/10; 15/8; 17/10; 13/8; 17/10
Draw; 12/5; 23/10; 40/17; 23/10; 11/5; 9/4; 23/10; 23/10; 40/17; 23/10; 40/17; 17/10; 11/5
META; english/non-league/national-league/maidstone-v-afc-fylde; 2018-04-09 18:24:46 GMT+3; 2018-04-14 15:00; Nothing; Xlenovo
AFC Fylde; 7/5; 11/8; 11/8; 7/5; 11/8; 11/8; 23/17; 23/17; 11/8; 29/20; 23/17; 20/21; 7/5
Maidstone; 9/5; 7/4; 17/10; 7/4; 9/5; 7/4; 17/10; 7/4; 17/10; 15/8; 17/10; 13/10; 17/10
Draw; 12/5; 23/10; 40/17; 23/10; 21/10; 11/5; 23/10; 23/10; 40/17; 23/10; 40/17; 9/4; 11/5
META; english/non-league/national-league/maidstone-v-afc-fylde; 2018-04-09 22:24:46 GMT+3; 2018-04-14 15:00; Nothing; Xlenovo
AFC Fylde; 7/5; 11/8; 11/8; 7/5; 11/8; 11/8; 23/17; 23/17; 11/8; 7/5; 23/17; 20/21
Maidstone; 9/5; 7/4; 17/10; 9/5; 9/5; 7/4; 17/10; 7/4; 17/10; 15/8; 17/10; 13/10
Draw; 12/5; 23/10; 40/17; 23/10; 21/10; 11/5; 23/10; 23/10; 40/17; 12/5; 40/17; 13/8
META; english/non-league/national-league/maidstone-v-afc-fylde; 2018-04-10 02:24:28 GMT+3; 2018-04-14 15:00; Nothing; Xlenovo
AFC Fylde; 7/5; 13/10; 11/8; 11/8; 7/5; 11/8; 11/8; 23/17; 23/17; 11/8; 7/5; 23/17; 20/21
