META; english/non-league/national-league/afc-fylde-v-gateshead; 2017-09-30 22:21:43 GMT+3; 2017-10-03 19:45; Nothing; Xlenovo
AFC Fylde; 11/10; ; ; ; 11/10; ; 11/10; ; ; ; ; ; ; ; ; 11/10; ; ; 11/10; ; ; ; ; 11/10; 11/10; ; 8/13; ; 
Gateshead; 9/4; ; ; ; 9/4; ; 12/5; ; ; ; ; ; ; ; ; 21/10; ; ; 9/4; ; ; ; ; 11/5; 9/4; ; 5/4; ; 
Draw; 5/2; ; ; ; 12/5; ; 5/2; ; ; ; ; ; ; ; ; 12/5; ; ; 5/2; ; ; ; ; 5/2; 51/20; ; 21/10; ; 
META; english/non-league/national-league/afc-fylde-v-gateshead; 2017-10-01 02:22:34 GMT+3; 2017-10-03 19:45; Nothing; Xlenovo
AFC Fylde; 11/10; 11/10; ; ; 21/20; ; 11/10; 1; ; ; ; ; ; ; ; 21/20; ; ; 11/10; ; ; ; ; 11/10; 11/10; ; 5/6; ; 
Gateshead; 9/4; 23/10; ; ; 9/4; ; 12/5; 21/10; ; ; ; ; ; ; ; 11/5; ; ; 9/4; ; ; ; ; 11/5; 9/4; ; 9/5; ; 
Draw; 5/2; 23/10; ; ; 5/2; ; 5/2; 5/2; ; ; ; ; ; ; ; 12/5; ; ; 5/2; ; ; ; ; 12/5; 51/20; ; 21/10; ; 
META; english/non-league/national-league/afc-fylde-v-gateshead; 2017-10-01 10:22:32 GMT+3; 2017-10-03 19:45; Nothing; Xlenovo
AFC Fylde; 11/10; 11/10; ; ; 11/10; ; 11/10; 1; ; ; 1; ; ; ; ; 21/20; ; ; 11/10; ; ; ; ; 11/10; 11/10; ; 4/7; ; 
Gateshead; 9/4; 23/10; ; ; 11/5; ; 12/5; 21/10; ; ; 11/5; ; ; ; ; 11/5; ; ; 9/4; ; ; ; ; 11/5; 9/4; ; 9/5; ; 
Draw; 5/2; 23/10; ; ; 5/2; ; 5/2; 5/2; ; ; 12/5; ; ; ; ; 12/5; ; ; 5/2; ; ; ; ; 12/5; 51/20; ; 21/10; ; 
META; english/non-league/national-league/afc-fylde-v-gateshead; 2017-10-01 14:22:41 GMT+3; 2017-10-03 19:45; Nothing; Xlenovo
AFC Fylde; 19/20; 11/10; 1; 23/20; 21/20; 43/40; 21/20; 1; 11/10; 1; 1; ; ; 21/20; ; 21/20; 21/20; ; 1; 127/100; ; 11/10; ; 21/20; 1; ; 10/11; ; 
Gateshead; 13/5; 23/10; 12/5; 9/5; 23/10; 21/10; 12/5; 21/10; 11/5; 12/5; 9/4; ; ; 11/5; ; 9/4; 21/10; ; 12/5; 117/50; ; 11/5; ; 23/10; 49/20; ; 19/10; ; 
Draw; 13/5; 23/10; 12/5; 23/10; 12/5; 23/10; 13/5; 5/2; 12/5; 12/5; 23/10; ; ; 12/5; ; 12/5; 23/10; ; 5/2; 5/2; ; 12/5; ; 12/5; 51/20; ; 21/10; ; 
META; english/non-league/national-league/afc-fylde-v-gateshead; 2017-10-01 18:22:05 GMT+3; 2017-10-03 19:45; Nothing; Xlenovo
AFC Fylde; 19/20; 1; 1; 23/20; 21/20; 39/40; 21/20; 1; 11/10; 1; 20/21; 1; ; 1; 1; 21/20; 19/20; ; 1; 29/25; 68/67; 11/10; ; 21/20; 1; ; 10/11; ; 
Gateshead; 13/5; 13/5; 23/10; 9/5; 23/10; 9/4; 12/5; 11/5; 11/5; 23/10; 23/10; 23/10; ; 23/10; 12/5; 23/10; 9/4; ; 12/5; 129/50; 21/10; 11/5; ; 12/5; 49/20; ; 2; ; 
Draw; 13/5; 13/5; 12/5; 23/10; 5/2; 12/5; 13/5; 23/10; 12/5; 12/5; 12/5; 49/20; ; 12/5; 13/5; 12/5; 12/5; ; 5/2; 63/25; 28/11; 12/5; ; 12/5; 51/20; ; 21/10; ; 
META; english/non-league/national-league/afc-fylde-v-gateshead; 2017-10-01 22:21:54 GMT+3; 2017-10-03 19:45; Nothing; Xlenovo
AFC Fylde; 19/20; 1; 1; 23/20; 21/20; 19/20; 1; 10/11; 11/10; 1; 20/21; 1; ; 20/21; 1; 1; 19/20; ; 1; 109/100; 68/67; 11/10; ; 1; 1; ; 20/21; ; 
Draw; 13/5; 13/5; 5/2; 23/10; 12/5; 12/5; 13/5; 12/5; 12/5; 5/2; 9/4; 49/20; ; 5/2; 5/2; 12/5; 12/5; ; 27/11; 13/5; 28/11; 12/5; ; 12/5; 51/20; ; 9/4; ; 
Gateshead; 13/5; 13/5; 12/5; 9/5; 12/5; 23/10; 5/2; 23/10; 11/5; 12/5; 12/5; 9/4; ; 23/10; 5/2; 12/5; 23/10; ; 27/11; 68/25; 21/10; 11/5; ; 12/5; 49/20; ; 23/10; ; 
META; english/non-league/national-league/afc-fylde-v-gateshead; 2017-10-02 02:21:45 GMT+3; 2017-10-03 19:45; Nothing; Xlenovo
AFC Fylde; 19/20; 1; 1; 1; 1; 19/20; 1; 10/11; 11/10; 1; 20/21; 1; ; 20/21; 1; 1; 19/20; ; 1; 109/100; 68/67; 11/10; ; 1; 1; ; 20/21; ; 
Draw; 13/5; 13/5; 5/2; 5/2; 5/2; 12/5; 13/5; 12/5; 12/5; 5/2; 9/4; 49/20; ; 12/5; 5/2; 12/5; 12/5; ; 27/11; 13/5; 28/11; 12/5; ; 12/5; 51/20; ; 9/4; ; 
Gateshead; 13/5; 5/2; 23/10; 23/10; 12/5; 23/10; 5/2; 23/10; 11/5; 23/10; 12/5; 9/4; ; 12/5; 5/2; 12/5; 23/10; ; 27/11; 68/25; 21/10; 11/5; ; 12/5; 49/20; ; 23/10; ; 
META; english/non-league/national-league/afc-fylde-v-gateshead; 2017-10-02 10:22:13 GMT+3; 2017-10-03 19:45; Nothing; Xlenovo
AFC Fylde; 19/20; 1; 19/20; 1; 1; 19/20; 1; 10/11; 11/10; 19/20; 20/21; 1; ; 20/21; 1; 19/20; 19/20; ; 1; 26/25; 68/67; 11/10; ; 1; 1; ; 20/21; ; 
Gateshead; 13/5; 5/2; 12/5; 23/10; 12/5; 23/10; 5/2; 23/10; 11/5; 12/5; 12/5; 9/4; ; 12/5; 5/2; 12/5; 23/10; ; 5/2; 68/25; 21/10; 11/5; ; 12/5; 49/20; ; 12/5; ; 
Draw; 13/5; 13/5; 5/2; 5/2; 5/2; 12/5; 13/5; 12/5; 12/5; 5/2; 9/4; 49/20; ; 12/5; 5/2; 5/2; 12/5; ; 28/11; 11/4; 28/11; 12/5; ; 5/2; 51/20; ; 5/2; ; 
META; english/non-league/national-league/afc-fylde-v-gateshead; 2017-10-02 18:22:31 GMT+3; 2017-10-03 19:45; Nothing; Xlenovo
AFC Fylde; 19/20; 21/20; 1; 1; 21/20; 19/20; 21/20; 10/11; 11/10; 1; 1; 21/20; ; 20/21; 1; 1; 19/20; 1; 11/10; 1; 11/10; ; 1; 1; ; 1; 1; 
Draw; 13/5; 13/5; 5/2; 5/2; 5/2; 12/5; 12/5; 12/5; 12/5; 5/2; 23/10; 49/20; ; 5/2; 5/2; 12/5; 12/5; 27/11; 131/50; 28/11; 12/5; ; 13/5; 51/20; ; 12/5; 9/4; 
Gateshead; 13/5; 12/5; 9/4; 13/5; 23/10; 23/10; 12/5; 23/10; 11/5; 9/4; 23/10; 9/4; ; 23/10; 5/2; 12/5; 23/10; 27/11; 133/50; 28/13; 11/5; ; 5/2; 49/20; ; 5/2; 23/10; 
META; english/non-league/national-league/afc-fylde-v-gateshead; 2017-10-02 22:22:54 GMT+3; 2017-10-03 19:45; Nothing; Xlenovo
AFC Fylde; 19/20; 21/20; 1; 1; 21/20; 19/20; 21/20; 10/11; 11/10; 1; 1; 21/20; ; 20/21; 1; 1; 19/20; 1; 11/10; 21/20; 11/10; ; 1; 1; ; 1; 1; 
Draw; 13/5; 13/5; 5/2; 5/2; 5/2; 12/5; 12/5; 12/5; 12/5; 5/2; 23/10; 49/20; ; 5/2; 5/2; 12/5; 12/5; 27/11; 131/50; 13/5; 12/5; ; 13/5; 51/20; ; 12/5; 9/4; 
Gateshead; 13/5; 12/5; 9/4; 13/5; 23/10; 23/10; 12/5; 23/10; 11/5; 9/4; 23/10; 9/4; ; 23/10; 5/2; 12/5; 23/10; 27/11; 133/50; 23/10; 11/5; ; 5/2; 49/20; ; 5/2; 23/10; 
META; english/non-league/national-league/afc-fylde-v-gateshead; 2017-10-03 02:22:37 GMT+3; 2017-10-03 19:45; Nothing; Xlenovo
AFC Fylde; 19/20; 21/20; 1; 1; 21/20; 19/20; 21/20; 10/11; 11/10; 1; 1; 21/20; ; 20/21; 1; 1; 19/20; 1; 11/10; 21/20; 11/10; ; 1; 1; ; 21/20; 1; 
Gateshead; 13/5; 12/5; 9/4; 13/5; 23/10; 23/10; 12/5; 23/10; 11/5; 9/4; 23/10; 9/4; ; 23/10; 5/2; 12/5; 23/10; 27/11; 66/25; 23/10; 11/5; ; 5/2; 49/20; ; 12/5; 23/10; 
Draw; 13/5; 13/5; 5/2; 5/2; 5/2; 12/5; 12/5; 12/5; 12/5; 5/2; 23/10; 49/20; ; 5/2; 5/2; 12/5; 12/5; 27/11; 53/20; 13/5; 12/5; ; 13/5; 51/20; ; 13/5; 9/4; 
META; english/non-league/national-league/afc-fylde-v-gateshead; 2017-10-03 10:22:59 GMT+3; 2017-10-03 19:45; Nothing; Xlenovo
