META; english/non-league/national-league/torquay-v-maidenhead-utd; 2017-09-30 22:22:11 GMT+3; 2017-10-03 19:45; Nothing; Xlenovo
Maidenhead Utd; 13/10; ; ; ; 5/4; ; 13/10; ; ; ; ; ; ; ; ; 13/10; ; ; 5/4; ; ; ; ; 13/10; 13/10; ; 4/6; ; 
Torquay; 15/8; ; ; ; 19/10; ; 19/10; ; ; ; ; ; ; ; ; 9/5; ; ; 24/13; ; ; ; ; 15/8; 19/10; ; 20/21; ; 
Draw; 5/2; ; ; ; 12/5; ; 5/2; ; ; ; ; ; ; ; ; 12/5; ; ; 5/2; ; ; ; ; 12/5; 5/2; ; 11/5; ; 
META; english/non-league/national-league/torquay-v-maidenhead-utd; 2017-10-01 02:22:58 GMT+3; 2017-10-03 19:45; Nothing; Xlenovo
Maidenhead Utd; 13/10; 11/8; ; ; 13/10; ; 13/10; 6/5; ; ; ; ; ; ; ; 13/10; ; ; 5/4; ; ; ; ; 13/10; 13/10; ; 4/6; ; 
Torquay; 15/8; 7/4; ; ; 15/8; ; 19/10; 9/5; ; ; ; ; ; ; ; 9/5; ; ; 24/13; ; ; ; ; 9/5; 19/10; ; 1; ; 
Draw; 5/2; 12/5; ; ; 12/5; ; 5/2; 23/10; ; ; ; ; ; ; ; 12/5; ; ; 5/2; ; ; ; ; 12/5; 5/2; ; 21/10; ; 
META; english/non-league/national-league/torquay-v-maidenhead-utd; 2017-10-01 10:22:56 GMT+3; 2017-10-03 19:45; Nothing; Xlenovo
Maidenhead Utd; 13/10; 11/8; ; ; 13/10; ; 13/10; 6/5; ; ; 5/4; ; ; ; ; 13/10; ; ; 5/4; ; ; ; 13/10; 13/10; 13/10; ; 10/9; ; 
Torquay; 15/8; 7/4; ; ; 15/8; ; 19/10; 9/5; ; ; 7/4; ; ; ; ; 9/5; ; ; 24/13; ; ; ; 15/8; 9/5; 19/10; ; 13/8; ; 
Draw; 5/2; 12/5; ; ; 12/5; ; 5/2; 23/10; ; ; 23/10; ; ; ; ; 12/5; ; ; 5/2; ; ; ; 5/2; 12/5; 5/2; ; 21/10; ; 
META; english/non-league/national-league/torquay-v-maidenhead-utd; 2017-10-01 14:23:09 GMT+3; 2017-10-03 19:45; Nothing; Xlenovo
Maidenhead Utd; 23/20; 11/8; ; 5/4; 5/4; 127/100; 5/4; 6/5; 23/18; ; 6/5; ; ; 6/5; ; 5/4; 5/4; ; 6/5; 13/10; ; 23/18; 6/5; 5/4; 6/5; ; 21/20; ; 
