META; english/non-league/national-league/leyton-orient-v-sutton; 2017-12-03 02:22:52 GMT+2; 2017-12-09 15:00; Nothing; Xlenovo
Sutton; ; 5/4; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Leyton Orient; ; 2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; ; 23/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/non-league/national-league/leyton-orient-v-sutton; 2017-12-03 10:23:03 GMT+2; 2017-12-09 15:00; Nothing; Xlenovo
Sutton; ; 5/4; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Leyton Orient; ; 2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; ; 23/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/non-league/national-league/leyton-orient-v-sutton; 2017-12-03 14:23:17 GMT+2; 2017-12-09 15:00; Nothing; Xlenovo
Sutton; 6/5; 5/4; ; ; ; ; 6/5; ; ; ; 6/5; ; ; ; ; ; ; ; ; ; ; 5/4; 6/5; ; ; ; ; ; 
Leyton Orient; 11/5; 2; ; ; ; ; 21/10; ; ; ; 21/10; ; ; ; ; ; ; ; ; ; ; 85/40; 11/5; ; ; ; ; ; 
Draw; 12/5; 23/10; ; ; ; ; 9/4; ; ; ; 23/10; ; ; ; ; ; ; ; ; ; ; 12/5; 12/5; ; ; ; ; ; 
META; english/non-league/national-league/leyton-orient-v-sutton; 2017-12-03 18:22:20 GMT+2; 2017-12-09 15:00; Nothing; Xlenovo
Sutton; ; 5/4; ; ; ; ; 6/5; ; ; ; 6/5; 23/20; ; ; ; ; ; ; ; ; ; 5/4; 5/4; ; ; ; ; ; 
Leyton Orient; ; 2; ; ; ; ; 21/10; ; ; ; 21/10; 21/10; ; ; ; ; ; ; ; ; ; 85/40; 85/40; ; ; ; ; ; 
Draw; ; 23/10; ; ; ; ; 9/4; ; ; ; 9/4; 21/10; ; ; ; ; ; ; ; ; ; 12/5; 12/5; ; ; ; ; ; 
META; english/non-league/national-league/leyton-orient-v-sutton; 2017-12-03 22:23:13 GMT+2; 2017-12-09 15:00; Nothing; Xlenovo
Sutton; ; 5/4; ; ; ; ; 6/5; ; ; ; 6/5; 23/20; ; ; ; 11/10; ; 11/10; ; ; ; 5/4; 6/5; ; 15/13; ; ; ; 
Leyton Orient; ; 2; ; ; ; ; 21/10; ; ; ; 21/10; 2; ; ; ; 2; ; 21/10; ; ; ; 85/40; 11/5; ; 21/10; ; ; ; 
Draw; ; 23/10; ; ; ; ; 9/4; ; ; ; 9/4; 11/5; ; ; ; 9/4; ; 23/10; ; ; ; 12/5; 12/5; ; 23/10; ; ; ; 
META; english/non-league/national-league/leyton-orient-v-sutton; 2017-12-04 02:22:56 GMT+2; 2017-12-09 15:00; Nothing; Xlenovo
Sutton; ; 5/4; ; ; ; ; 6/5; ; 13/11; ; 6/5; 23/20; ; ; ; 11/10; ; 11/10; ; ; ; 5/4; 5/4; ; 15/13; ; ; ; 
Leyton Orient; ; 2; ; ; ; ; 21/10; ; 21/10; ; 21/10; 2; ; ; ; 2; ; 21/10; ; ; ; 85/40; 11/5; ; 21/10; ; ; ; 
Draw; ; 23/10; ; ; ; ; 9/4; ; 9/4; ; 9/4; 11/5; ; ; ; 9/4; ; 23/10; ; ; ; 12/5; 23/10; ; 23/10; ; ; ; 
META; english/non-league/national-league/leyton-orient-v-sutton; 2017-12-04 10:22:59 GMT+2; 2017-12-09 15:00; Nothing; Xlenovo
Sutton; ; 5/4; ; ; 15/13; ; 6/5; ; 13/11; ; 6/5; 23/20; ; ; ; 6/5; 15/13; 15/13; ; ; 13/11; 5/4; 6/5; ; 15/13; ; ; ; 
Leyton Orient; ; 2; ; ; 2; ; 21/10; ; 21/10; ; 21/10; 2; ; ; ; 2; 2; 21/10; ; ; 21/10; 85/40; 11/5; ; 21/10; ; ; ; 
Draw; ; 23/10; ; ; 9/4; ; 9/4; ; 9/4; ; 9/4; 11/5; ; ; ; 9/4; 9/4; 9/4; ; ; 9/4; 12/5; 12/5; ; 9/4; ; ; ; 
META; english/non-league/national-league/leyton-orient-v-sutton; 2017-12-04 14:23:32 GMT+2; 2017-12-09 15:00; Nothing; Xlenovo
