META; english/non-league/national-league/guiseley-v-chester; 2017-12-27 18:24:29 GMT+2; 2018-01-01 15:00; Nothing; Xlenovo
Guiseley; 1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 19/20; ; ; ; ; 
Draw; 12/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 12/5; ; ; ; ; 
Chester; 11/4; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 11/4; ; ; ; ; 
META; english/non-league/national-league/guiseley-v-chester; 2017-12-27 22:24:53 GMT+2; 2018-01-01 15:00; Nothing; Xlenovo
Guiseley; 1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 19/20; ; ; ; 1; ; 19/20; 19/20; ; ; ; 
Draw; 12/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 23/10; ; ; ; 12/5; ; 12/5; 40/17; ; ; ; 
Chester; 11/4; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 45/17; ; ; ; 11/4; ; 11/4; 27/10; ; ; ; 
META; english/non-league/national-league/guiseley-v-chester; 2017-12-28 02:25:42 GMT+2; 2018-01-01 15:00; Nothing; Xlenovo
Guiseley; 1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 19/20; ; ; ; 1; ; 19/20; 19/20; ; ; ; 
Draw; 12/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 23/10; ; ; ; 12/5; ; 12/5; 40/17; ; ; ; 
Chester; 11/4; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 45/17; ; ; ; 11/4; ; 11/4; 27/10; ; ; ; 
META; english/non-league/national-league/guiseley-v-chester; 2017-12-28 10:24:31 GMT+2; 2018-01-01 15:00; Nothing; Xlenovo
Guiseley; 1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 19/20; ; ; ; 1; ; 19/20; 19/20; ; ; ; 
Draw; 12/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 23/10; ; ; ; 12/5; ; 12/5; 40/17; ; ; ; 
Chester; 11/4; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 45/17; ; ; ; 11/4; ; 11/4; 27/10; ; ; ; 
META; english/non-league/national-league/guiseley-v-chester; 2017-12-28 14:24:46 GMT+2; 2018-01-01 15:00; Nothing; Xlenovo
Guiseley; 1; ; ; ; ; ; ; ; 19/20; ; ; ; ; ; ; ; ; 19/20; ; ; 19/20; 1; ; 19/20; 19/20; ; ; ; 
Draw; 12/5; ; ; ; ; ; ; ; 23/10; ; ; ; ; ; ; ; ; 23/10; ; ; 23/10; 12/5; ; 12/5; 40/17; ; ; ; 
Chester; 11/4; ; ; ; ; ; ; ; 45/17; ; ; ; ; ; ; ; ; 45/17; ; ; 45/17; 11/4; ; 11/4; 27/10; ; ; ; 
META; english/non-league/national-league/guiseley-v-chester; 2017-12-28 18:24:41 GMT+2; 2018-01-01 15:00; Nothing; Xlenovo
Guiseley; 1; ; ; ; ; ; ; ; 19/20; ; ; ; ; ; ; ; ; 19/20; ; ; 19/20; 1; ; 19/20; 19/20; ; ; ; 
Draw; 12/5; ; ; ; ; ; ; ; 23/10; ; ; ; ; ; ; ; ; 23/10; ; ; 23/10; 12/5; ; 12/5; 40/17; ; ; ; 
Chester; 11/4; ; ; ; ; ; ; ; 45/17; ; ; ; ; ; ; ; ; 45/17; ; ; 45/17; 11/4; ; 11/4; 27/10; ; ; ; 
META; english/non-league/national-league/guiseley-v-chester; 2017-12-28 22:24:39 GMT+2; 2018-01-01 15:00; Nothing; Xlenovo
Guiseley; 1; ; ; ; ; ; ; ; 19/20; ; ; ; ; ; ; ; ; 19/20; ; ; 19/20; 1; 1; 19/20; 19/20; ; ; ; 
Draw; 12/5; ; ; ; ; ; ; ; 23/10; ; ; ; ; ; ; ; ; 23/10; ; ; 23/10; 12/5; 12/5; 12/5; 40/17; ; ; ; 
Chester; 11/4; ; ; ; ; ; ; ; 45/17; ; ; ; ; ; ; ; ; 45/17; ; ; 45/17; 11/4; 14/5; 11/4; 27/10; ; ; ; 
META; english/non-league/national-league/guiseley-v-chester; 2017-12-29 02:24:32 GMT+2; 2018-01-01 15:00; Nothing; Xlenovo
Guiseley; 1; ; ; ; ; ; ; ; 19/20; ; ; ; ; ; ; ; ; 19/20; ; ; 19/20; 1; 1; 19/20; 19/20; ; ; ; 
Draw; 12/5; ; ; ; ; ; ; ; 23/10; ; ; ; ; ; ; ; ; 23/10; ; ; 23/10; 12/5; 12/5; 12/5; 40/17; ; ; ; 
Chester; 11/4; ; ; ; ; ; ; ; 45/17; ; ; ; ; ; ; ; ; 45/17; ; ; 45/17; 11/4; 14/5; 11/4; 27/10; ; ; ; 
META; english/non-league/national-league/guiseley-v-chester; 2017-12-29 10:24:33 GMT+2; 2018-01-01 15:00; Nothing; Xlenovo
Guiseley; 1; ; ; ; ; ; 20/21; ; 19/20; ; 20/21; 10/11; ; 19/20; ; ; 19/20; 19/20; 19/20; ; 19/20; 1; 1; 19/20; 19/20; ; ; ; 
Draw; 12/5; ; ; ; ; ; 23/10; ; 23/10; ; 23/10; 23/10; ; 23/10; ; ; 23/10; 23/10; 23/10; ; 23/10; 12/5; 23/10; 12/5; 23/10; ; ; ; 
Chester; 11/4; ; ; ; ; ; 11/4; ; 45/17; ; 11/4; 5/2; ; 13/5; ; ; 12/5; 45/17; 12/5; ; 45/17; 11/4; 29/10; 11/4; 27/10; ; ; ; 
