META; english/non-league/national-league/halifax-v-sutton-utd; 2018-04-07 22:21:59 GMT+3; 2018-04-10 19:45; Nothing; Xlenovo
Sutton Utd; 10/11; 51/50; 10/11; 10/11; 19/20; 19/20; 19/20; 8/15; 1
Draw; 12/5; 53/20; 12/5; 12/5; 27/11; 12/5; 5/2; 13/10; 13/5
Halifax; 13/5; 29/10; 14/5; 13/5; 27/10; 3; 11/4; 6/4; 14/5
META; english/non-league/national-league/halifax-v-sutton-utd; 2018-04-08 02:21:37 GMT+3; 2018-04-10 19:45; Nothing; Xlenovo
Sutton Utd; 10/11; 51/50; 10/11; 10/11; 10/11; 19/20; 19/20; 19/20; 4/6; 1
Draw; 12/5; 53/20; 12/5; 9/4; 23/10; 27/11; 12/5; 5/2; 7/4; 13/5
Halifax; 13/5; 29/10; 29/10; 13/5; 13/5; 27/10; 3; 11/4; 19/10; 14/5
META; english/non-league/national-league/halifax-v-sutton-utd; 2018-04-08 10:22:58 GMT+3; 2018-04-10 19:45; Nothing; Xlenovo
Sutton Utd; 10/11; 10/11; 51/50; 9/10; 10/11; 10/11; 19/20; 9/10; 19/20; 19/20; 8/11; 1; 
Draw; 12/5; 23/10; 53/20; 12/5; 12/5; 12/5; 12/5; 27/11; 12/5; 12/5; 27/11; 7/4; 13/5
Halifax; 13/5; 14/5; 29/10; 27/10; 14/5; 5/2; 13/5; 11/4; 27/10; 3; 11/4; 19/10; 14/5
META; english/non-league/national-league/halifax-v-sutton-utd; 2018-04-08 14:24:23 GMT+3; 2018-04-10 19:45; Nothing; Xlenovo
Sutton Utd; 4/5; 10/11; 20/23; 8/11; 23/25; 9/10; 20/23; 17/20; 5/6; 17/20; 17/20; 5/6; 13/15; 9/10; 9/10; 10/11; 8/11; 9/10
Draw; 13/5; 23/10; 9/4; 11/4; 68/25; 12/5; 9/4; 12/5; 21/10; 9/4; 13/5; 12/5; 5/2; 12/5; 5/2; 5/2; 15/8; 13/5
Halifax; 16/5; 14/5; 3; 13/5; 13/4; 27/10; 3; 3; 31/10; 3; 14/5; 29/10; 27/10; 31/10; 29/10; 27/10; 3; 
META; english/non-league/national-league/halifax-v-sutton-utd; 2018-04-08 18:23:55 GMT+3; 2018-04-10 19:45; Nothing; Xlenovo
Sutton Utd; 4/5; 17/20; 20/23; 8/11; 9/10; 9/10; 20/23; 17/20; 5/6; 5/6; 17/20; 4/5; 13/15; 9/11; 9/10; 20/23; 10/11; 4/5; 5/6; 5/6
Draw; 13/5; 5/2; 9/4; 11/4; 68/25; 12/5; 9/4; 5/2; 21/10; 9/4; 13/5; 12/5; 5/2; 40/17; 12/5; 5/2; 5/2; 9/4; 9/4; 13/5
Halifax; 16/5; 10/3; 16/5; 13/5; 67/20; 27/10; 16/5; 3; 16/5; 3; 29/10; 29/10; 27/10; 16/5; 29/10; 14/5; 12/5; 3; ; 
META; english/non-league/national-league/halifax-v-sutton-utd; 2018-04-08 22:24:04 GMT+3; 2018-04-10 19:45; Nothing; Xlenovo
Sutton Utd; 4/5; 17/20; 20/23; 10/11; 10/11; 9/10; 20/23; 17/20; 5/6; 5/6; 17/20; 4/5; 5/6; 9/11; 9/10; 20/23; 13/15; 5/6; 5/6; 5/6
Draw; 13/5; 5/2; 9/4; 12/5; 13/5; 12/5; 9/4; 5/2; 21/10; 9/4; 13/5; 12/5; 27/11; 40/17; 12/5; 5/2; 27/11; 23/10; 23/10; 5/2
Halifax; 16/5; 10/3; 3; 16/5; 69/20; 27/10; 3; 3; 16/5; 3; 31/10; 29/10; 27/10; 16/5; 41/13; 3; 10/3; ; ; 
META; english/non-league/national-league/halifax-v-sutton-utd; 2018-04-09 02:23:57 GMT+3; 2018-04-10 19:45; Nothing; Xlenovo
Sutton Utd; 4/5; 17/20; 20/23; 10/11; 10/11; 9/10; 20/23; 17/20; 5/6; 5/6; 17/20; 5/6; 5/6; 7/9; 9/11; 9/10; 20/23; 13/15; 5/6; 5/6; 5/6
Draw; 13/5; 5/2; 9/4; 12/5; 13/5; 12/5; 9/4; 12/5; 21/10; 9/4; 13/5; 23/10; 27/11; 5/2; 40/17; 12/5; 5/2; 27/11; 9/4; 23/10; 5/2
Halifax; 16/5; 10/3; 3; 16/5; 69/20; 27/10; 3; 31/10; 3; 16/5; 3; 31/10; 31/10; 29/10; 27/10; 16/5; 41/13; 3; 10/3; ; 
META; english/non-league/national-league/halifax-v-sutton-utd; 2018-04-09 10:23:59 GMT+3; 2018-04-10 19:45; Nothing; Xlenovo
Sutton Utd; 4/5; 17/20; 20/23; 10/11; 10/11; 4/5; 9/10; 20/23; 17/20; 5/6; 5/6; 5/6; 5/6; 5/6; 7/9; 9/11; 9/10; 5/6; 13/15; 5/6; 5/6; 5/6
Draw; 13/5; 23/10; 9/4; 12/5; 13/5; 23/10; 12/5; 9/4; 12/5; 21/10; 9/4; 12/5; 23/10; 27/11; 5/2; 40/17; 12/5; 5/2; 27/11; 21/10; 23/10; 5/2
Halifax; 16/5; 16/5; 3; 16/5; 69/20; 29/10; 27/10; 3; 31/10; 3; 16/5; 13/5; 3; 31/10; 31/10; 29/10; 27/10; 10/3; 41/13; 14/5; 3; 10/3
META; english/non-league/national-league/halifax-v-sutton-utd; 2018-04-09 14:24:17 GMT+3; 2018-04-10 19:45; Nothing; Xlenovo
Sutton Utd; 4/5; 17/20; 20/23; 10/11; 10/11; 4/5; 9/10; 20/23; 5/6; 5/6; 5/6; 5/6; 5/6; 5/6; 7/9; 9/11; 9/10; 5/6; 13/15; 5/6; 5/6; 5/6; 5/6
Draw; 13/5; 23/10; 9/4; 12/5; 13/5; 12/5; 12/5; 9/4; 12/5; 21/10; 9/4; 12/5; 23/10; 27/11; 5/2; 40/17; 12/5; 5/2; 27/11; 12/5; 11/5; 23/10; 5/2
Halifax; 16/5; 16/5; 3; 16/5; 69/20; 31/10; 27/10; 3; 16/5; 3; 16/5; 13/5; 3; 31/10; 31/10; 29/10; 27/10; 10/3; 41/13; 3; 7/2; 3; 10/3
META; english/non-league/national-league/halifax-v-sutton-utd; 2018-04-09 18:24:09 GMT+3; 2018-04-10 19:45; Nothing; Xlenovo
Sutton Utd; 4/5; 4/5; 4/5; 5/6; 43/50; 3/4; 4/5; 4/5; 4/5; 4/5; 4/5; 5/6; 3/4; 4/5; 4/5; 7/9; 6/7; 4/5; 4/5; 4/5; 8/11; 4/5; 8/11; 5/6
Draw; 13/5; 12/5; 23/10; 5/2; 133/50; 23/10; 5/2; 23/10; 23/10; 12/5; 11/5; 23/10; 23/10; 23/10; 5/2; 5/2; 28/11; 23/10; 5/2; 5/2; 5/2; 12/5; 23/10; 13/5
Halifax; 16/5; 10/3; 10/3; 17/5; 73/20; 10/3; 10/3; 57/17; 10/3; 10/3; 16/5; 16/5; 3; 16/5; 33/10; 31/10; 3; 57/17; 7/2; 57/17; 7/2; 7/2; 3; 7/2
META; english/non-league/national-league/halifax-v-sutton-utd; 2018-04-09 22:24:10 GMT+3; 2018-04-10 19:45; Nothing; Xlenovo
Sutton Utd; 4/5; 17/20; 17/20; 5/6; 9/10; 3/4; 5/6; 4/5; 17/20; 4/5; 5/6; 5/6; 3/4; 4/5; 5/6; 7/9; 6/7; 4/5; 5/6; 5/6; 5/6; 5/6; 5/6; 5/6
Draw; 13/5; 23/10; 23/10; 5/2; 13/5; 23/10; 5/2; 23/10; 23/10; 12/5; 11/5; 9/4; 23/10; 23/10; 27/11; 5/2; 28/11; 23/10; 5/2; 27/11; 12/5; 12/5; 5/2; 5/2
Halifax; 16/5; 16/5; 16/5; 17/5; 7/2; 10/3; 10/3; 57/17; 16/5; 10/3; 3; 16/5; 3; 41/13; 31/10; 3; 57/17; 10/3; 16/5; 3; 7/2; 10/3; 3; 
META; english/non-league/national-league/halifax-v-sutton-utd; 2018-04-10 02:23:50 GMT+3; 2018-04-10 19:45; Nothing; Xlenovo
Sutton Utd; 4/5; 17/20; 17/20; 5/6; 9/10; 3/4; 5/6; 4/5; 17/20; 4/5; 5/6; 17/20; 3/4; 4/5; 5/6; 7/9; 11/13; 4/5; 17/20; 5/6; 5/6; 5/6; 5/6; 5/6
Draw; 13/5; 23/10; 9/4; 5/2; 13/5; 23/10; 5/2; 23/10; 9/4; 12/5; 11/5; 9/4; 23/10; 23/10; 27/11; 5/2; 28/11; 23/10; 5/2; 27/11; 12/5; 12/5; 5/2; 5/2
Halifax; 16/5; 16/5; 16/5; 17/5; 7/2; 10/3; 10/3; 57/17; 16/5; 10/3; 3; 31/10; 3; 41/13; 31/10; 58/19; 57/17; 33/10; 16/5; 3; 10/3; 10/3; ; 
META; english/non-league/national-league/halifax-v-sutton-utd; 2018-04-10 10:23:58 GMT+3; 2018-04-10 19:45; Nothing; Xlenovo
Sutton Utd; 17/20; 17/20; 17/20; 5/6; 47/50; 3/4; 17/20; 4/5; 17/20; 5/6; 5/6; 17/20; 5/6; 5/6; 5/6; 7/9; 8/9; 4/5; 17/20; 13/15; 5/6; 5/6; 5/6; 5/6
Draw; 5/2; 23/10; 9/4; 5/2; 64/25; 23/10; 12/5; 23/10; 9/4; 12/5; 21/10; 9/4; 11/5; 23/10; 27/11; 5/2; 40/17; 23/10; 5/2; 27/11; 12/5; 9/4; 23/10; 5/2
Halifax; 16/5; 16/5; 16/5; 17/5; 67/20; 10/3; 16/5; 57/17; 16/5; 16/5; 3; 31/10; 14/5; 3; 41/13; 31/10; 41/13; 57/17; 33/10; 41/13; 3; 7/2; 3; 
META; english/non-league/national-league/halifax-v-sutton-utd; 2018-04-10 14:24:27 GMT+3; 2018-04-10 19:45; Nothing; Xlenovo
Sutton Utd; 10/11; 17/20; 10/11; 17/20; 49/50; 17/20; 10/11; 4/5; 10/11; 10/11; 20/23; 10/11; 5/6; 17/20; 10/11; 7/9; 13/14; 4/5; 9/10; 10/11; 19/20; 10/11; 20/21; 4/5
Draw; 5/2; 12/5; 9/4; 23/10; 127/50; 23/10; 12/5; 23/10; 9/4; 23/10; 11/5; 9/4; 9/4; 23/10; 12/5; 5/2; 23/10; 23/10; 5/2; 12/5; 12/5; 12/5; 5/2; 5/2
Halifax; 29/10; 3; 3; 16/5; 3; 57/17; 3; 14/5; 29/10; 11/4; 14/5; 29/10; 31/10; 3; 57/17; 31/10; 56/19; 3; 3; ; ; ; ; 
META; english/non-league/national-league/halifax-v-sutton-utd; 2018-04-10 18:24:20 GMT+3; 2018-04-10 19:45; Nothing; Xlenovo
Sutton Utd; 10/11; 17/20; 20/23; 17/20; 24/25; 17/20; 10/11; 8/9; 20/23; 17/20; 20/23; 9/10; 5/6; 17/20; 10/11; 7/9; 11/12; 8/9; 20/23; 10/11; 19/20; 10/11; 20/21; 20/21
Draw; 5/2; 12/5; 9/4; 23/10; 13/5; 23/10; 12/5; 40/17; 12/5; 23/10; 9/4; 9/4; 12/5; 12/5; 5/2; 40/17; 40/17; 5/2; 27/11; 12/5; 23/10; 12/5; 5/2; 
Halifax; 29/10; 3; 3; 16/5; 3; 37/13; 3; 13/5; 3; 11/4; 14/5; 29/10; 31/10; 56/19; 37/13; 16/5; 29/10; 3; 3; ; ; ; ; 
META; english/non-league/national-league/halifax-v-sutton-utd; 2018-04-10 22:24:12 GMT+3; 2018-04-10 19:45; In Play; Xlenovo
Halifax; 8/11; 4/6; 8/11; 8/11; 4/5; 13/5; 3/4; 7/10; 8/11; 3/4; 7/10; 4/6; 13/17; 4/6; 14/19; 4/6; 13/17; 8/11
Draw; 13/5; 5/2; 12/5; 12/5; 53/20; 11/5; 23/10; 12/5; 5/2; 12/5; 12/5; 12/5; 5/2; 12/5; 40/17; 5/2; 28/11; 5/2
Sutton Utd; 4; 19/5; 18/5; 18/5; 1; 10/3; 4; 4; 7/2; 4; 16/5; 18/5; 17/5; 4; 13/4; 4; ; 
