META; english/non-league/national-league/ebbsfleet-united-v-afc-fylde; 2017-08-09 14:22:23 GMT+3; 2017-08-12 15:00; Nothing; Xlenovo
Ebbsfleet United; 5/4; 13/10; ; ; ; ; 13/10; ; ; ; ; ; 6/5; ; ; 13/10; ; ; ; 13/10; ; ; ; ; 5/4; ; ; ; 
AFC Fylde; 2; 7/4; ; ; ; ; 19/10; ; ; ; ; ; 2; ; ; 19/10; ; ; ; 57/25; ; ; ; ; 2; ; ; ; 
Draw; 5/2; 9/4; ; ; ; ; 5/2; ; ; ; ; ; 49/20; ; ; 12/5; ; ; ; 5/2; ; ; ; ; 12/5; ; ; ; 
META; english/non-league/national-league/ebbsfleet-united-v-afc-fylde; 2017-08-09 18:21:59 GMT+3; 2017-08-12 15:00; Nothing; Xlenovo
Ebbsfleet United; 5/4; 13/10; ; ; 5/4; 6/5; 13/10; ; ; ; ; ; 6/5; ; ; 13/10; ; ; ; 13/10; ; ; ; ; 5/4; ; ; ; 
AFC Fylde; 2; 7/4; ; ; 19/10; 7/4; 2; ; ; ; ; ; 2; ; ; 19/10; ; ; ; 57/25; ; ; ; ; 2; ; ; ; 
Draw; 5/2; 9/4; ; ; 12/5; 23/10; 5/2; ; ; ; ; ; 49/20; ; ; 12/5; ; ; ; 5/2; ; ; ; ; 12/5; ; ; ; 
META; english/non-league/national-league/ebbsfleet-united-v-afc-fylde; 2017-08-09 22:22:01 GMT+3; 2017-08-12 15:00; Nothing; Xlenovo
Ebbsfleet United; 5/4; 5/4; 5/4; ; 5/4; 6/5; 5/4; 6/5; ; ; ; 23/20; 6/5; ; ; 5/4; ; ; 6/5; 13/10; ; ; ; ; 5/4; ; ; ; 
AFC Fylde; 2; 21/10; 2; ; 19/10; 7/4; 2; 15/8; ; ; ; 15/8; 2; ; ; 2; ; ; 37/19; 57/25; ; ; ; ; 2; ; ; ; 
Draw; 5/2; 12/5; 9/4; ; 12/5; 23/10; 5/2; 12/5; ; ; ; 12/5; 49/20; ; ; 12/5; ; ; 27/11; 5/2; ; ; ; ; 12/5; ; ; ; 
META; english/non-league/national-league/ebbsfleet-united-v-afc-fylde; 2017-08-10 02:21:58 GMT+3; 2017-08-12 15:00; Nothing; Xlenovo
