META; english/non-league/national-league/ebbsfleet-united-v-wrexham; 2018-02-24 22:20:57 GMT+2; 2018-03-03 15:00; Nothing; Xlenovo
Ebbsfleet United; ; 11/8; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/50; ; 
Wrexham; ; 7/4; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/50; ; 
Draw; ; 12/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/100; ; 
META; english/non-league/national-league/ebbsfleet-united-v-wrexham; 2018-02-25 02:20:27 GMT+2; 2018-03-03 15:00; Nothing; Xlenovo
Ebbsfleet United; ; 11/8; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/33; ; 
Wrexham; ; 7/4; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/33; ; 
Draw; ; 12/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/100; ; 
META; english/non-league/national-league/ebbsfleet-united-v-wrexham; 2018-02-25 10:20:38 GMT+2; 2018-03-03 15:00; Nothing; Xlenovo
Ebbsfleet United; ; 11/8; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/33; ; 
Wrexham; ; 7/4; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/33; ; 
Draw; ; 12/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/100; ; 
META; english/non-league/national-league/ebbsfleet-united-v-wrexham; 2018-02-25 14:21:44 GMT+2; 2018-03-03 15:00; Nothing; Xlenovo
Ebbsfleet United; 13/10; 11/8; ; ; ; ; 13/10; ; ; ; 5/4; ; ; ; ; ; ; ; ; ; ; 13/10; ; ; ; 4/6; ; 
Wrexham; 2; 7/4; ; ; ; ; 15/8; ; ; ; 2; ; ; ; ; ; ; ; ; ; ; 2; ; ; ; 20/21; ; 
Draw; 12/5; 12/5; ; ; ; ; 23/10; ; ; ; 23/10; ; ; ; ; ; ; ; ; ; ; 12/5; ; ; ; 10/9; ; 
META; english/non-league/national-league/ebbsfleet-united-v-wrexham; 2018-02-25 18:21:36 GMT+2; 2018-03-03 15:00; Nothing; Xlenovo
Ebbsfleet United; 13/10; 11/8; ; ; ; ; 13/10; ; ; ; 5/4; ; ; ; ; ; ; ; ; ; 13/10; 13/10; ; ; ; 4/6; ; 
Wrexham; 2; 7/4; ; ; ; ; 15/8; ; ; ; 2; ; ; ; ; ; ; ; ; ; 2; 2; ; ; ; 20/21; ; 
Draw; 12/5; 12/5; ; ; ; ; 23/10; ; ; ; 23/10; ; ; ; ; ; ; ; ; ; 12/5; 12/5; ; ; ; 10/9; ; 
META; english/non-league/national-league/ebbsfleet-united-v-wrexham; 2018-02-25 22:21:37 GMT+2; 2018-03-03 15:00; Nothing; Xlenovo
Ebbsfleet United; 13/10; 11/8; ; ; ; ; 13/10; ; ; ; 5/4; ; ; ; ; ; ; ; ; ; 13/10; 13/10; ; ; ; 4/6; ; 
Wrexham; 2; 7/4; ; ; ; ; 15/8; ; ; ; 2; ; ; ; ; ; ; ; ; ; 2; 2; ; ; ; 1; ; 
Draw; 12/5; 12/5; ; ; ; ; 23/10; ; ; ; 23/10; ; ; ; ; ; ; ; ; ; 12/5; 12/5; ; ; ; 5/4; ; 
META; english/non-league/national-league/ebbsfleet-united-v-wrexham; 2018-02-26 02:21:08 GMT+2; 2018-03-03 15:00; Nothing; Xlenovo
Ebbsfleet United; 13/10; 11/8; ; ; ; ; 13/10; ; ; ; 5/4; ; ; ; ; 5/4; ; ; ; ; 13/10; 13/10; ; ; ; 4/6; ; 
Wrexham; 2; 7/4; ; ; ; ; 15/8; ; ; ; 2; ; ; ; ; 15/8; ; ; ; ; 2; 2; ; ; ; 1; ; 
Draw; 12/5; 12/5; ; ; ; ; 23/10; ; ; ; 23/10; ; ; ; ; 9/4; ; ; ; ; 12/5; 12/5; ; ; ; 5/4; ; 
META; english/non-league/national-league/ebbsfleet-united-v-wrexham; 2018-02-26 10:21:12 GMT+2; 2018-03-03 15:00; Nothing; Xlenovo
Ebbsfleet United; 13/10; 11/8; ; ; ; ; 13/10; ; 23/18; ; 5/4; 5/4; ; ; ; 5/4; 5/4; 5/4; ; 23/18; 13/10; 13/10; ; 5/4; ; 10/11; ; 
Wrexham; 2; 7/4; ; ; ; ; 19/10; ; 37/19; ; 2; 9/5; ; ; ; 15/8; 19/10; 19/10; ; 37/19; 2; 2; ; 37/19; ; 7/5; ; 
Draw; 12/5; 12/5; ; ; ; ; 23/10; ; 9/4; ; 23/10; 11/5; ; ; ; 9/4; 9/4; 23/10; ; 9/4; 12/5; 12/5; ; 9/4; ; 13/8; ; 
META; english/non-league/national-league/ebbsfleet-united-v-wrexham; 2018-02-26 14:21:52 GMT+2; 2018-03-03 15:00; Nothing; Xlenovo
Ebbsfleet United; 1; 11/8; 21/20; ; ; ; 11/10; ; 23/18; 21/20; 6/5; 5/4; ; 23/20; ; 11/10; 21/20; 5/4; ; 23/18; 5/4; 21/20; 21/20; ; 4/5; ; 
Draw; 5/2; 12/5; 9/4; ; ; ; 23/10; ; 9/4; 9/4; 11/5; 11/5; ; 11/5; ; 9/4; 23/10; 23/10; ; 9/4; 12/5; 12/5; 23/10; ; 19/10; ; 
Wrexham; 13/5; 7/4; 12/5; ; ; ; 21/10; ; 37/19; 12/5; 9/4; 9/5; ; 9/4; ; 2; 9/4; 19/10; ; 37/19; 21/10; 49/20; 9/4; ; 13/8; ; 
META; english/non-league/national-league/ebbsfleet-united-v-wrexham; 2018-02-26 18:21:46 GMT+2; 2018-03-03 15:00; Nothing; Xlenovo
Ebbsfleet United; 11/10; 5/4; 6/5; ; 5/4; ; 11/10; ; 1; 6/5; 23/20; 23/20; ; 6/5; ; 11/10; 21/20; 1; 22/19; 1; 6/5; 23/20; 21/20; ; 5/6; ; 
Wrexham; 12/5; 15/8; 23/10; ; 12/5; ; 11/5; ; 12/5; 23/10; 23/10; 9/4; ; 23/10; ; 21/10; 11/5; 12/5; 21/10; 12/5; 12/5; 47/20; 11/5; ; 2; ; 
Draw; 5/2; 12/5; 2; ; 62/25; ; 23/10; ; 12/5; 2; 9/4; 19/10; ; 2; ; 21/10; 23/10; 12/5; 28/13; 12/5; 11/5; 9/4; 40/17; ; 11/5; ; 
META; english/non-league/national-league/ebbsfleet-united-v-wrexham; 2018-02-26 22:21:44 GMT+2; 2018-03-03 15:00; Nothing; Xlenovo
Ebbsfleet United; 11/10; 5/4; 6/5; ; 5/4; 21/20; 11/10; ; 1; 6/5; 23/20; 23/20; ; 6/5; ; 11/10; 21/20; 1; 22/19; 1; 6/5; 23/20; 11/10; ; 5/6; ; 
Wrexham; 12/5; 15/8; 23/10; ; 12/5; 11/5; 11/5; ; 12/5; 23/10; 23/10; 9/4; ; 23/10; ; 21/10; 11/5; 12/5; 21/10; 12/5; 12/5; 47/20; 11/5; ; 2; ; 
Draw; 5/2; 12/5; 2; ; 62/25; 23/10; 23/10; ; 12/5; 2; 9/4; 19/10; ; 2; ; 21/10; 23/10; 12/5; 28/13; 12/5; 11/5; 9/4; 23/10; ; 11/5; ; 
META; english/non-league/national-league/ebbsfleet-united-v-wrexham; 2018-02-27 02:21:38 GMT+2; 2018-03-03 15:00; Nothing; Xlenovo
Ebbsfleet United; 11/10; 5/4; 6/5; ; 5/4; ; 11/10; ; 1; 6/5; 23/20; 23/20; ; 6/5; ; 11/10; 21/20; 1; 22/19; 1; 6/5; 23/20; 11/10; ; 5/6; ; 
Wrexham; 12/5; 15/8; 23/10; ; 12/5; ; 11/5; ; 12/5; 23/10; 23/10; 9/4; ; 23/10; ; 21/10; 11/5; 12/5; 21/10; 12/5; 12/5; 47/20; 11/5; ; 2; ; 
Draw; 5/2; 12/5; 2; ; 62/25; ; 23/10; ; 12/5; 2; 9/4; 19/10; ; 2; ; 21/10; 23/10; 12/5; 28/13; 12/5; 11/5; 9/4; 23/10; ; 11/5; ; 
META; english/non-league/national-league/ebbsfleet-united-v-wrexham; 2018-02-27 10:21:40 GMT+2; 2018-03-03 15:00; Nothing; Xlenovo
Ebbsfleet United; 11/10; 5/4; 6/5; ; 5/4; ; 11/10; ; 21/20; 6/5; 11/10; 23/20; ; 6/5; 23/20; 11/10; 21/20; 1; 22/19; 21/20; 6/5; 23/20; 11/10; ; 5/6; ; 
Wrexham; 12/5; 15/8; 23/10; ; 12/5; ; 11/5; ; 40/17; 23/10; 12/5; 9/4; ; 23/10; 23/10; 11/5; 11/5; 12/5; 21/10; 40/17; 12/5; 47/20; 11/5; ; 2; ; 
Draw; 5/2; 12/5; 2; ; 62/25; ; 23/10; ; 40/17; 2; 11/5; 19/10; ; 2; 23/10; 21/10; 23/10; 12/5; 28/13; 40/17; 11/5; 9/4; 23/10; ; 13/8; ; 
META; english/non-league/national-league/ebbsfleet-united-v-wrexham; 2018-02-27 14:23:02 GMT+2; 2018-03-03 15:00; Nothing; Xlenovo
Ebbsfleet United; 23/20; 5/4; 5/4; 5/4; 67/50; 11/10; 6/5; ; 21/20; 5/4; 23/20; 5/4; ; 5/4; 6/5; 6/5; 15/13; 1; 22/19; 21/20; 5/4; 5/4; 6/5; ; 5/6; ; 
Wrexham; 9/4; 15/8; 9/4; 11/5; 9/4; 11/5; 21/10; ; 40/17; 9/4; 23/10; 11/5; ; 9/4; 11/5; 21/10; 39/19; 12/5; 21/10; 40/17; 12/5; 23/10; 39/19; ; 2; ; 
Draw; 5/2; 12/5; 2; 2; 61/25; 21/10; 9/4; ; 40/17; 2; 11/5; 15/8; ; 39/20; 9/4; 21/10; 9/4; 12/5; 28/13; 40/17; 85/40; 21/10; 9/4; ; 13/8; ; 
META; english/non-league/national-league/ebbsfleet-united-v-wrexham; 2018-02-27 18:21:45 GMT+2; 2018-03-03 15:00; Nothing; Xlenovo
Ebbsfleet United; 23/20; 5/4; 5/4; 5/4; 139/100; ; 6/5; ; 21/20; 5/4; 6/5; 5/4; ; 5/4; 6/5; 6/5; 6/5; 1; 22/19; 21/20; 5/4; 5/4; 6/5; ; 5/6; 5/4; 
Wrexham; 9/4; 15/8; 9/4; 11/5; 111/50; ; 21/10; ; 40/17; 9/4; 23/10; 11/5; ; 9/4; 11/5; 21/10; 39/19; 12/5; 21/10; 40/17; 12/5; 23/10; 21/10; ; 2; 7/4; 
Draw; 5/2; 12/5; 2; 2; 59/25; ; 9/4; ; 40/17; 2; 21/10; 15/8; ; 39/20; 9/4; 21/10; 9/4; 12/5; 28/13; 40/17; 85/40; 21/10; 23/10; ; 13/8; 2; 
META; english/non-league/national-league/ebbsfleet-united-v-wrexham; 2018-03-02 17:45:59 GMT+2; 2018-03-03 15:00; Nothing; Xlenovo
Ebbsfleet United; 1; 5/4
Draw; 12/5; 2
Wrexham; 12/5; 12/5
META; english/non-league/national-league/ebbsfleet-united-v-wrexham; 2018-03-02 22:23:31 GMT+2; 2018-03-03 15:00; Nothing; Xlenovo
Ebbsfleet United; 1
Draw; 12/5
Wrexham; 12/5
META; english/non-league/national-league/ebbsfleet-united-v-wrexham; 2018-03-03 02:23:11 GMT+2; 2018-03-03 15:00; Nothing; Xlenovo
Ebbsfleet United; 1
Draw; 12/5
Wrexham; 12/5
META; english/non-league/national-league/ebbsfleet-united-v-wrexham; 2018-04-07 22:21:52 GMT+3; 2018-04-10 19:45; Nothing; Xlenovo
Ebbsfleet United; 11/8; 153/100; 7/5; 11/8; 7/5; 29/20; 7/5; 7/5
Wrexham; 7/4; 193/100; 15/8; 7/4; 9/5; 19/10; 9/5; 15/8
Draw; 9/4; 123/50; 11/5; 21/10; 23/10; 23/10; 23/10; 12/5
META; english/non-league/national-league/ebbsfleet-united-v-wrexham; 2018-04-08 02:21:30 GMT+3; 2018-04-10 19:45; Nothing; Xlenovo
Ebbsfleet United; 11/8; 153/100; 7/5; 13/10; 11/8; 7/5; 29/20; 7/5; 7/5
Wrexham; 7/4; 193/100; 15/8; 9/5; 9/5; 9/5; 19/10; 9/5; 15/8
Draw; 9/4; 123/50; 11/5; 21/10; 21/10; 23/10; 23/10; 23/10; 12/5
META; english/non-league/national-league/ebbsfleet-united-v-wrexham; 2018-04-08 10:22:52 GMT+3; 2018-04-10 19:45; Nothing; Xlenovo
Ebbsfleet United; 11/8; 11/8; 153/100; 11/8; 7/5; 11/8; 7/5; 11/8; 29/20; 7/5; 7/5; 
Wrexham; 7/4; 9/5; 193/100; 9/5; 19/10; 7/4; 7/4; 9/5; 9/5; 2; 24/13; 15/8
Draw; 9/4; 21/10; 123/50; 9/4; 21/10; 21/10; 21/10; 23/10; 9/4; 85/40; 23/10; 12/5
META; english/non-league/national-league/ebbsfleet-united-v-wrexham; 2018-04-08 14:24:16 GMT+3; 2018-04-10 19:45; Nothing; Xlenovo
Ebbsfleet United; 5/4; 11/8; 11/8; 13/10; 11/8; 4/3; 11/8; 7/5; 11/8; 27/20; 7/5; 13/10; 23/17; 4/3; 29/20; 23/17; 13/10
Wrexham; 21/10; 9/5; 2; 7/4; 107/50; 24/13; 2; 2; 41/20; 19/10; 19/10; 19/10; 24/13; 2; 19/10; 2; 
Draw; 12/5; 21/10; 2; 21/10; 5/2; 9/4; 2; 21/10; 15/8; 39/20; 11/5; 21/10; 9/4; 9/4; 23/10; 12/5; 
META; english/non-league/national-league/ebbsfleet-united-v-wrexham; 2018-04-08 18:23:49 GMT+3; 2018-04-10 19:45; Nothing; Xlenovo
Ebbsfleet United; 5/4; 11/8; 11/8; 13/10; 143/100; 4/3; 11/8; 7/5; 11/8; 11/8; 7/5; 13/10; 23/17; 25/19; 4/3; 7/5; 23/17; 27/20; 11/8
Wrexham; 21/10; 11/5; 2; 7/4; 52/25; 24/13; 2; 2; 19/10; 19/10; 19/10; 20/11; 24/13; 21/10; 19/10; 17/10; 2; ; 
Draw; 12/5; 21/10; 2; 21/10; 49/20; 9/4; 2; 21/10; 15/8; 39/20; 11/5; 21/10; 9/4; 28/13; 9/4; 85/40; 23/10; 19/10; 12/5
META; english/non-league/national-league/ebbsfleet-united-v-wrexham; 2018-04-08 22:23:58 GMT+3; 2018-04-10 19:45; Nothing; Xlenovo
Ebbsfleet United; 5/4; 11/8; 11/8; 13/10; 71/50; 4/3; 11/8; 7/5; 11/8; 11/8; 7/5; 13/10; 23/17; 25/19; 4/3; 7/5; 23/17; 11/8; 11/8
Wrexham; 21/10; 11/5; 2; 7/4; 9/4; 24/13; 2; 2; 19/10; 2; 20/11; 24/13; 21/10; 39/19; 2; 9/4; ; ; 
Draw; 12/5; 21/10; 2; 21/10; 57/25; 9/4; 2; 21/10; 15/8; 39/20; 11/5; 2; 11/5; 28/13; 9/4; 85/40; 11/5; 2; 11/5
META; english/non-league/national-league/ebbsfleet-united-v-wrexham; 2018-04-09 02:23:50 GMT+3; 2018-04-10 19:45; Nothing; Xlenovo
Ebbsfleet United; 5/4; 11/8; 11/8; 13/10; 71/50; 4/3; 11/8; 7/5; 11/8; 11/8; 7/5; 13/10; 23/17; 6/5; 25/19; 4/3; 11/8; 23/17; 27/20; 11/8
Wrexham; 21/10; 11/5; 2; 7/4; 9/4; 24/13; 2; 2; 19/10; 2; 2; 20/11; 24/13; 2; 39/19; 2; 9/4; ; ; 
Draw; 12/5; 21/10; 2; 21/10; 57/25; 9/4; 2; 21/10; 15/8; 39/20; 11/5; 2; 11/5; 23/10; 28/13; 9/4; 9/4; 11/5; 2; 11/5
META; english/non-league/national-league/ebbsfleet-united-v-wrexham; 2018-04-09 10:23:53 GMT+3; 2018-04-10 19:45; Nothing; Xlenovo
Ebbsfleet United; 5/4; 13/10; 11/8; 13/10; 71/50; 5/4; 4/3; 11/8; 7/5; 11/8; 11/8; 5/4; 13/10; 23/17; 6/5; 25/19; 4/3; 7/5; 23/17; 11/8; 11/8
Wrexham; 21/10; 21/10; 2; 7/4; 9/4; 19/10; 24/13; 2; 2; 9/5; 2; 2; 20/11; 24/13; 85/40; 39/19; 2; 9/4; ; ; 
Draw; 12/5; 21/10; 2; 21/10; 57/25; 2; 9/4; 2; 21/10; 15/8; 39/20; 21/10; 2; 11/5; 23/10; 28/13; 9/4; 85/40; 11/5; 2; 11/5
META; english/non-league/national-league/ebbsfleet-united-v-wrexham; 2018-04-09 14:24:10 GMT+3; 2018-04-10 19:45; Nothing; Xlenovo
Ebbsfleet United; 5/4; 13/10; 11/8; 7/5; 71/50; 5/4; 4/3; 11/8; 7/5; 11/8; 11/8; 5/4; 13/10; 23/17; 6/5; 25/19; 4/3; 7/5; 23/17; 13/10; 11/8; 11/8
Wrexham; 21/10; 21/10; 2; 21/10; 9/4; 19/10; 24/13; 2; 2; 9/5; 2; 2; 20/11; 24/13; 85/40; 39/19; 21/10; 2; 9/4; ; ; 
Draw; 12/5; 21/10; 2; 21/10; 57/25; 2; 9/4; 2; 21/10; 15/8; 39/20; 21/10; 2; 11/5; 23/10; 28/13; 9/4; 85/40; 11/5; 21/10; 2; 11/5
META; english/non-league/national-league/ebbsfleet-united-v-wrexham; 2018-04-09 18:24:02 GMT+3; 2018-04-10 19:45; Nothing; Xlenovo
Ebbsfleet United; 5/4; 13/10; 11/8; 7/5; 71/50; 5/4; 13/10; 4/3; 11/8; 7/5; 11/8; 11/8; 5/4; 13/10; 23/17; 6/5; 7/5; 4/3; 7/5; 23/17; 13/10; 11/8; 11/8
Wrexham; 21/10; 21/10; 2; 21/10; 9/4; 19/10; 2; 24/13; 2; 2; 9/5; 2; 2; 19/10; 24/13; 85/40; 39/19; 21/10; 2; 9/4; ; ; 
Draw; 12/5; 21/10; 2; 21/10; 57/25; 2; 21/10; 9/4; 2; 21/10; 15/8; 39/20; 21/10; 2; 11/5; 23/10; 9/4; 9/4; 85/40; 11/5; 21/10; 2; 11/5
META; english/non-league/national-league/ebbsfleet-united-v-wrexham; 2018-04-09 22:24:03 GMT+3; 2018-04-10 19:45; Nothing; Xlenovo
Ebbsfleet United; 5/4; 13/10; 11/8; 7/5; 71/50; 5/4; 11/8; 4/3; 11/8; 13/10; 11/8; 11/8; 5/4; 13/10; 23/17; 6/5; 7/5; 4/3; 7/5; 23/17; 13/10; 11/8; 11/8
Wrexham; 21/10; 21/10; 2; 21/10; 9/4; 19/10; 21/10; 24/13; 2; 2; 9/5; 2; 2; 19/10; 24/13; 85/40; 39/19; 21/10; 11/5; 9/4; ; ; 
Draw; 12/5; 21/10; 2; 21/10; 57/25; 2; 21/10; 9/4; 2; 11/5; 15/8; 39/20; 21/10; 2; 11/5; 23/10; 9/4; 9/4; 85/40; 11/5; 21/10; 2; 11/5
META; english/non-league/national-league/ebbsfleet-united-v-wrexham; 2018-04-10 02:23:44 GMT+3; 2018-04-10 19:45; Nothing; Xlenovo
