META; english/non-league/national-league/tranmere-v-dagenham-redbridge; 2017-11-05 02:23:33 GMT+2; 2017-11-11 15:00; Nothing; Xlenovo
META; english/non-league/national-league/tranmere-v-dagenham-redbridge; 2017-11-08 10:22:58 GMT+2; 2017-11-11 15:00; Nothing; Xlenovo
Tranmere; 1; 21/20; ; 21/20; 39/40; ; 1; 10/11; 1; ; 21/20; 1; ; 21/20; 21/20; 1; 19/20; 1; 111/ 100; 42/41; 1; 21/20; 1; 1; 1; ; 1; ; 
Draw; 23/10; 5/2; ; 5/2; 11/5; ; 23/10; 23/10; 9/4; ; 12/5; 21/10; ; 9/4; 9/4; 23/10; 11/5; 23/10; 61/25; 12/5; 9/4; 12/5; 5/2; 47/20; 40/17; ; 23/10; 19/10; 
Dagenham & Redbridge; 11/4; 5/2; ; 5/2; 5/2; ; 5/2; 12/5; 45/17; ; 12/5; 12/5; ; 12/5; 13/5; 5/2; 5/2; 5/2; 71/25; 11/5; 45/17; 13/5; 13/5; 53/20; 28/11; ; 5/2; 21/10; 
META; english/non-league/national-league/tranmere-v-dagenham-redbridge; 2017-11-08 14:24:09 GMT+2; 2017-11-11 15:00; Nothing; Xlenovo
Tranmere; 1; 21/20; 21/20; 21/20; 39/40; ; 1; 10/11; 1; 21/20; 1; 1; ; 21/20; 21/20; 1; 19/20; 1; 111/ 100; 42/41; 1; 21/20; 1; 1; 1; ; 1; ; 
Draw; 23/10; 5/2; 9/4; 5/2; 11/5; ; 23/10; 23/10; 9/4; 9/4; 23/10; 21/10; ; 9/4; 9/4; 23/10; 11/5; 23/10; 61/25; 12/5; 9/4; 12/5; 5/2; 47/20; 40/17; ; 23/10; 21/10; 
Dagenham & Redbridge; 11/4; 5/2; 12/5; 5/2; 5/2; ; 5/2; 5/2; 45/17; 12/5; 13/5; 12/5; ; 12/5; 13/5; 5/2; 5/2; 5/2; 71/25; 11/5; 45/17; 13/5; 13/5; 53/20; 28/11; ; 5/2; 12/5; 
META; english/non-league/national-league/tranmere-v-dagenham-redbridge; 2017-11-08 18:23:25 GMT+2; 2017-11-11 15:00; Nothing; Xlenovo
Tranmere; 1; 21/20; 21/20; 21/20; 39/40; ; 21/20; 10/11; 1; 21/20; 1; 1; ; 21/20; 21/20; 1; 19/20; 1; 111/ 100; 42/41; 1; 21/20; 1; 1; 1; ; 1; ; 
Draw; 23/10; 5/2; 9/4; 5/2; 11/5; ; 23/10; 23/10; 9/4; 9/4; 23/10; 21/10; ; 9/4; 9/4; 9/4; 11/5; 40/17; 61/25; 12/5; 9/4; 12/5; 5/2; 47/20; 40/17; ; 23/10; ; 
Dagenham & Redbridge; 11/4; 5/2; 12/5; 5/2; 5/2; ; 5/2; 5/2; 45/17; 12/5; 13/5; 12/5; ; 12/5; 13/5; 5/2; 5/2; 28/11; 71/25; 5/2; 45/17; 13/5; 13/5; 53/20; 13/5; ; 5/2; ; 
META; english/non-league/national-league/tranmere-v-dagenham-redbridge; 2017-11-08 22:23:30 GMT+2; 2017-11-11 15:00; Nothing; Xlenovo
Tranmere; 1; 21/20; 21/20; 21/20; 39/40; ; 21/20; 10/11; 1; 21/20; 21/20; 1; ; 21/20; 21/20; 1; 19/20; 1; 11/10; 42/41; 1; 21/20; 1; 1; 1; ; 1; ; 
Draw; 23/10; 5/2; 9/4; 5/2; 11/5; ; 23/10; 23/10; 9/4; 9/4; 23/10; 21/10; ; 9/4; 9/4; 23/10; 11/5; 40/17; 129/ 50; 12/5; 9/4; 12/5; 5/2; 47/20; 40/17; ; 23/10; ; 
Dagenham & Redbridge; 11/4; 5/2; 12/5; 5/2; 5/2; ; 5/2; 5/2; 45/17; 12/5; 5/2; 12/5; ; 49/20; 13/5; 5/2; 5/2; 28/11; 27/10; 5/2; 45/17; 13/5; 13/5; 53/20; 13/5; ; 5/2; ; 
META; english/non-league/national-league/tranmere-v-dagenham-redbridge; 2017-11-09 02:22:52 GMT+2; 2017-11-11 15:00; Nothing; Xlenovo
Tranmere; 1; 21/20; 21/20; 21/20; ; ; 21/20; 10/11; 1; 21/20; 21/20; 1; ; 21/20; 21/20; 1; 19/20; 1; 11/10; 42/41; 1; 21/20; 1; 1; 1; ; 1; ; 
