META; english/non-league/national-league/dagenham-redbridge-v-halifax; 2017-09-10 18:24:44 GMT+3; 2017-09-16 15:00; Nothing; Xlenovo
Dagenham & Redbridge; ; ; ; ; 4/5; ; 4/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 4/5; ; ; ; 
Draw; ; ; ; ; 12/5; ; 5/2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 12/5; ; ; ; 
Halifax; ; ; ; ; 7/2; ; 18/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 7/2; ; ; ; 
META; english/non-league/national-league/dagenham-redbridge-v-halifax; 2017-09-10 22:24:42 GMT+3; 2017-09-16 15:00; Nothing; Xlenovo
Dagenham & Redbridge; 4/5; ; ; ; 4/5; ; 4/5; ; ; ; ; 3/4; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; 5/2; ; ; ; 12/5; ; 12/5; ; ; ; ; 23/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Halifax; 7/2; ; ; ; 7/2; ; 15/4; ; ; ; ; 10/3; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/non-league/national-league/dagenham-redbridge-v-halifax; 2017-09-11 02:24:37 GMT+3; 2017-09-16 15:00; Nothing; Xlenovo
Dagenham & Redbridge; 4/5; ; ; ; 4/5; ; 4/5; ; ; ; ; 3/4; ; ; ; 4/5; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; 5/2; ; ; ; 12/5; ; 5/2; ; ; ; ; 23/10; ; ; ; 12/5; ; ; ; ; ; ; ; ; ; ; ; ; 
Halifax; 7/2; ; ; ; 7/2; ; 18/5; ; ; ; ; 10/3; ; ; ; 10/3; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/non-league/national-league/dagenham-redbridge-v-halifax; 2017-09-11 10:24:34 GMT+3; 2017-09-16 15:00; Nothing; Xlenovo
Dagenham & Redbridge; 4/5; ; ; ; 4/5; ; 4/5; ; ; ; ; 3/4; ; ; ; 4/5; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; 5/2; ; ; ; 12/5; ; 5/2; ; ; ; ; 23/10; ; ; ; 12/5; ; ; ; ; ; ; ; ; ; ; ; ; 
Halifax; 7/2; ; ; ; 7/2; ; 18/5; ; ; ; ; 10/3; ; ; ; 10/3; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/non-league/national-league/dagenham-redbridge-v-halifax; 2017-09-11 14:24:41 GMT+3; 2017-09-16 15:00; Nothing; Xlenovo
Dagenham & Redbridge; 4/5; ; ; ; 4/5; ; 4/5; ; 4/5; ; ; 3/4; 4/5; ; ; 4/5; ; 4/5; 10/13; ; ; 4/5; ; ; 4/5; ; ; ; 
Draw; 5/2; ; ; ; 5/2; ; 5/2; ; 23/10; ; ; 12/5; 5/2; ; ; 12/5; ; 23/10; 40/17; ; ; 23/10; ; ; 12/5; ; ; ; 
Halifax; 7/2; ; ; ; 10/3; ; 18/5; ; 57/17; ; ; 3; 7/2; ; ; 10/3; ; 57/17; 57/17; ; ; 57/17; ; ; 7/2; ; ; ; 
META; english/non-league/national-league/dagenham-redbridge-v-halifax; 2017-09-11 18:25:06 GMT+3; 2017-09-16 15:00; Nothing; Xlenovo
Dagenham & Redbridge; 4/5; ; ; ; 4/5; ; 4/5; ; 4/5; ; ; 3/4; 4/5; ; ; 4/5; ; 4/5; 10/13; ; ; 4/5; ; 4/5; ; ; ; ; 
Draw; 5/2; ; ; ; 5/2; ; 5/2; ; 23/10; ; ; 12/5; 5/2; ; ; 12/5; ; 23/10; 40/17; ; ; 23/10; ; 5/2; ; ; ; ; 
Halifax; 7/2; ; ; ; 10/3; ; 18/5; ; 57/17; ; ; 3; 7/2; ; ; 10/3; ; 57/17; 57/17; ; ; 57/17; ; 7/2; ; ; ; ; 
