META; english/non-league/national-league/halifax-v-dover; 2017-08-12 22:23:12 GMT+3; 2017-08-15 19:45; Nothing; Xlenovo
Halifax; 5/4; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Dover; 2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; 5/2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/non-league/national-league/halifax-v-dover; 2017-08-13 02:22:28 GMT+3; 2017-08-15 19:45; Nothing; Xlenovo
Halifax; 5/4; 6/5; ; 11/8; 13/10; ; 5/4; ; ; ; ; ; 5/4; ; ; 13/10; ; ; 6/5; ; ; ; ; ; 11/8; ; ; ; 
Dover; 2; 21/10; ; 6/4; 15/8; ; 2; ; ; ; ; ; 39/20; ; ; 19/10; ; ; 37/19; ; ; ; ; ; 15/8; ; ; ; 
Draw; 5/2; 23/10; ; 23/10; 23/10; ; 5/2; ; ; ; ; ; 5/2; ; ; 5/2; ; ; 27/11; ; ; ; ; ; 12/5; ; ; ; 
META; english/non-league/national-league/halifax-v-dover; 2017-08-13 10:22:32 GMT+3; 2017-08-15 19:45; Nothing; Xlenovo
Halifax; 5/4; 6/5; ; 11/8; 13/10; ; 5/4; 13/10; 5/4; ; ; 5/4; 5/4; ; ; 13/10; ; ; 5/4; ; ; 5/4; ; 13/10; 11/8; ; ; ; 
Dover; 2; 21/10; ; 6/4; 15/8; ; 2; 9/5; 15/8; ; ; 15/8; 39/20; ; ; 19/10; ; ; 19/10; ; ; 15/8; ; 15/8; 15/8; ; ; ; 
Draw; 5/2; 23/10; ; 23/10; 23/10; ; 5/2; 23/10; 27/11; ; ; 11/5; 5/2; ; ; 12/5; ; ; 27/11; ; ; 27/11; ; 5/2; 12/5; ; ; ; 
META; english/non-league/national-league/halifax-v-dover; 2017-08-13 14:23:34 GMT+3; 2017-08-15 19:45; Nothing; Xlenovo
Halifax; 11/8; 6/5; 27/20; 11/8; 13/10; ; 7/5; 13/10; 5/4; 26/19; 7/5; 5/4; 27/20; ; ; 11/8; ; ; 13/10; 69/50; ; 5/4; ; 13/10; 11/8; ; ; ; 
Dover; 9/5; 21/10; 9/5; 6/4; 9/5; ; 9/5; 9/5; 15/8; 7/4; 7/4; 15/8; 37/20; ; ; 9/5; ; ; 9/5; 85/40; ; 15/8; ; 15/8; 15/8; ; ; ; 
Draw; 5/2; 23/10; 23/10; 23/10; 12/5; ; 5/2; 23/10; 27/11; 9/4; 9/4; 11/5; 49/20; ; ; 12/5; ; ; 27/11; 5/2; ; 27/11; ; 5/2; 12/5; ; ; ; 
META; english/non-league/national-league/halifax-v-dover; 2017-08-13 18:22:39 GMT+3; 2017-08-15 19:45; Nothing; Xlenovo
Halifax; 23/20; 23/20; 6/5; 6/5; 6/5; 5/4; 6/5; 5/4; 5/4; 6/5; 6/5; 23/20; 6/5; ; 5/4; 6/5; ; ; ; 27/20; ; 5/4; ; 5/4; 5/4; ; ; ; 
Dover; 11/5; 21/10; 21/10; 21/10; 21/10; 17/10; 85/40; 2; 15/8; 21/10; 21/10; 21/10; 21/10; ; 21/10; 21/10; ; ; ; 111/50; ; 15/8; ; 2; 2; ; ; ; 
Draw; 5/2; 12/5; 23/10; 23/10; 23/10; 23/10; 5/2; 23/10; 27/11; 23/10; 23/10; 21/10; 49/20; ; 23/10; 12/5; ; ; ; 123/50; ; 27/11; ; 12/5; 12/5; ; ; ; 
META; english/non-league/national-league/halifax-v-dover; 2017-08-13 22:22:29 GMT+3; 2017-08-15 19:45; Nothing; Xlenovo
Halifax; 23/20; 23/20; 6/5; 6/5; 6/5; 5/4; 6/5; 5/4; 5/4; 6/5; 6/5; 23/20; 6/5; ; 5/4; 6/5; ; ; 6/5; 27/20; 19/16; 5/4; ; 5/4; 6/5; ; ; ; 
Dover; 11/5; 21/10; 21/10; 21/10; 21/10; 17/10; 85/40; 2; 15/8; 21/10; 21/10; 21/10; 21/10; ; 21/10; 21/10; ; ; 21/10; 111/50; 13/7; 15/8; ; 2; 2; ; ; ; 
Draw; 5/2; 23/10; 23/10; 23/10; 23/10; 23/10; 5/2; 23/10; 27/11; 23/10; 23/10; 21/10; 49/20; ; 23/10; 12/5; ; ; 40/17; 123/50; 12/5; 27/11; ; 12/5; 12/5; ; ; ; 
META; english/non-league/national-league/halifax-v-dover; 2017-08-14 02:22:12 GMT+3; 2017-08-15 19:45; Nothing; Xlenovo
Halifax; 23/20; 23/20; 6/5; 6/5; 6/5; 11/10; 6/5; 5/4; 5/4; 6/5; 6/5; 23/20; 6/5; ; 5/4; 6/5; ; ; 15/13; 27/20; 19/16; 5/4; ; 5/4; 6/5; ; ; 6/5; 
