META; english/non-league/national-league/hartlepool-v-barrow; 2017-09-30 22:22:01 GMT+3; 2017-10-03 19:45; Nothing; Xlenovo
Hartlepool; 6/5; ; ; ; 23/20; ; 6/5; ; ; ; ; ; ; ; ; 6/5; ; ; 15/13; ; ; ; ; 6/5; 23/20; ; 8/13; ; 
Barrow; 11/5; ; ; ; 21/10; ; 11/5; ; ; ; ; ; ; ; ; 21/10; ; ; 28/13; ; ; ; ; 21/10; 11/5; ; 21/20; ; 
Draw; 12/5; ; ; ; 12/5; ; 12/5; ; ; ; ; ; ; ; ; 9/4; ; ; 40/17; ; ; ; ; 23/10; 12/5; ; 21/10; ; 
META; english/non-league/national-league/hartlepool-v-barrow; 2017-10-01 02:22:49 GMT+3; 2017-10-03 19:45; Nothing; Xlenovo
Hartlepool; 6/5; 6/5; ; ; 23/20; ; 6/5; 11/10; ; ; ; ; ; ; ; 11/10; ; ; 15/13; ; ; ; ; 6/5; 23/20; ; 4/6; ; 
Barrow; 11/5; 2; ; ; 21/10; ; 11/5; 21/10; ; ; ; ; ; ; ; 2; ; ; 28/13; ; ; ; ; 21/10; 11/5; ; 23/20; ; 
Draw; 12/5; 12/5; ; ; 12/5; ; 12/5; 11/5; ; ; ; ; ; ; ; 12/5; ; ; 40/17; ; ; ; ; 23/10; 12/5; ; 21/10; ; 
META; english/non-league/national-league/hartlepool-v-barrow; 2017-10-01 10:22:46 GMT+3; 2017-10-03 19:45; Nothing; Xlenovo
Hartlepool; 6/5; 6/5; ; ; 23/20; ; 6/5; 11/10; ; ; 11/10; ; ; ; ; 11/10; ; ; 15/13; ; ; ; 6/5; 6/5; 23/20; ; 5/6; ; 
Barrow; 11/5; 2; ; ; 11/5; ; 11/5; 21/10; ; ; 2; ; ; ; ; 21/10; ; ; 28/13; ; ; ; 11/5; 21/10; 11/5; ; 23/20; ; 
Draw; 12/5; 12/5; ; ; 23/10; ; 12/5; 11/5; ; ; 23/10; ; ; ; ; 23/10; ; ; 40/17; ; ; ; 12/5; 23/10; 12/5; ; 21/10; ; 
META; english/non-league/national-league/hartlepool-v-barrow; 2017-10-01 14:22:58 GMT+3; 2017-10-03 19:45; Nothing; Xlenovo
