META; english/non-league/national-league/guiseley-v-afc-fylde; 2018-02-17 22:21:09 GMT+2; 2018-02-20 19:45; Nothing; Xlenovo
AFC Fylde; 1; ; ; 10/11; 109/100; ; 20/21; ; ; ; 20/21; ; ; ; ; 19/20; ; ; ; ; ; 1; 19/20; ; ; 8/11; ; 
Guiseley; 5/2; ; ; 23/10; 129/50; ; 12/5; ; ; ; 5/2; ; ; ; ; 12/5; ; ; ; ; ; 13/5; 51/20; ; ; 13/8; ; 
Draw; 13/5; ; ; 12/5; 137/50; ; 5/2; ; ; ; 5/2; ; ; ; ; 12/5; ; ; ; ; ; 13/5; 13/5; ; ; 7/4; ; 
META; english/non-league/national-league/guiseley-v-afc-fylde; 2018-02-18 02:21:30 GMT+2; 2018-02-20 19:45; Nothing; Xlenovo
AFC Fylde; 1; 1; ; 10/11; 109/100; ; 1; ; ; ; 20/21; ; ; ; ; 19/20; ; ; ; ; ; 1; 19/20; ; ; 4/5; ; 
Guiseley; 5/2; 13/5; ; 23/10; 129/50; ; 5/2; ; ; ; 5/2; ; ; ; ; 12/5; ; ; ; ; ; 13/5; 51/20; ; ; 11/5; ; 
Draw; 13/5; 5/2; ; 12/5; 137/50; ; 5/2; ; ; ; 5/2; ; ; ; ; 12/5; ; ; ; ; ; 13/5; 13/5; ; ; 9/4; ; 
META; english/non-league/national-league/guiseley-v-afc-fylde; 2018-02-18 10:21:59 GMT+2; 2018-02-20 19:45; Nothing; Xlenovo
AFC Fylde; 1; 1; ; 10/11; 109/100; ; 1; ; 19/20; ; 20/21; 20/21; ; ; ; 19/20; 1; ; ; 19/20; ; 1; 19/20; 1; ; 10/11; ; 
Guiseley; 5/2; 13/5; ; 23/10; 129/50; ; 12/5; ; 12/5; ; 5/2; 12/5; ; ; ; 12/5; 27/11; ; ; 12/5; ; 13/5; 51/20; 27/11; ; 23/10; ; 
Draw; 13/5; 5/2; ; 12/5; 137/50; ; 5/2; ; 5/2; ; 5/2; 23/10; ; ; ; 12/5; 28/11; ; ; 5/2; ; 13/5; 13/5; 13/5; ; 12/5; ; 
META; english/non-league/national-league/guiseley-v-afc-fylde; 2018-02-18 14:22:39 GMT+2; 2018-02-20 19:45; Nothing; Xlenovo
AFC Fylde; 1; 1; ; 10/11; 109/100; ; 1; ; 19/20; ; 20/21; 20/21; ; ; ; 19/20; 1; ; ; 19/20; ; 1; 19/20; 1; ; 5/6; ; 
Guiseley; 5/2; 13/5; ; 23/10; 129/50; ; 5/2; ; 12/5; ; 5/2; 12/5; ; ; ; 12/5; 27/11; ; ; 12/5; ; 13/5; 51/20; 27/11; ; 23/10; ; 
Draw; 13/5; 5/2; ; 12/5; 137/50; ; 5/2; ; 5/2; ; 5/2; 23/10; ; ; ; 12/5; 28/11; ; ; 5/2; ; 5/2; 13/5; 13/5; ; 12/5; ; 
META; english/non-league/national-league/guiseley-v-afc-fylde; 2018-02-18 18:22:20 GMT+2; 2018-02-20 19:45; Nothing; Xlenovo
AFC Fylde; 3/4; 10/11; 3/4; 10/11; 79/100; ; 4/5; ; 9/10; 3/4; 4/5; 3/4; ; 4/5; 4/5; 4/5; 4/5; ; 10/13; 9/10; ; 4/5; 4/5; 4/5; ; 4/6; ; 
Draw; 11/4; 5/2; 5/2; 12/5; 147/50; ; 13/5; ; 27/11; 5/2; 5/2; 9/4; ; 49/20; 13/5; 5/2; 13/5; ; 28/11; 27/11; ; 27/10; 53/20; 45/17; ; 12/5; ; 
Guiseley; 10/3; 14/5; 13/4; 23/10; 37/10; ; 16/5; ; 45/17; 13/4; 16/5; 10/3; ; 16/5; 16/5; 3; 31/10; ; 56/19; 45/17; ; 17/5; 16/5; 31/10; ; 14/5; ; 
META; english/non-league/national-league/guiseley-v-afc-fylde; 2018-02-18 22:21:59 GMT+2; 2018-02-20 19:45; Nothing; Xlenovo
AFC Fylde; 4/5; 17/20; 4/5; 10/11; 17/20; ; 5/6; ; 4/5; 4/5; 5/6; 4/5; ; 4/5; 4/5; 4/5; 13/15; ; 10/13; 4/5; ; 4/5; 4/5; 13/15; ; 4/6; 8/11; 
Draw; 11/4; 13/5; 12/5; 12/5; 71/25; ; 13/5; ; 13/5; 12/5; 5/2; 23/10; ; 49/20; 13/5; 5/2; 13/5; ; 28/11; 13/5; ; 27/10; 53/20; 13/5; ; 5/2; 23/10; 
Guiseley; 31/10; 3; 16/5; 23/10; 69/20; ; 3; ; 29/10; 16/5; 31/10; 3; ; 16/5; 16/5; 14/5; 29/10; ; 56/19; 29/10; ; 10/3; 16/5; 29/10; ; 14/5; 13/5; 
META; english/non-league/national-league/guiseley-v-afc-fylde; 2018-02-19 02:21:58 GMT+2; 2018-02-20 19:45; Nothing; Xlenovo
AFC Fylde; 4/5; 17/20; 4/5; 10/11; 87/100; ; 5/6; ; 4/5; 4/5; 5/6; 4/5; ; 4/5; 4/5; 4/5; 5/6; 7/9; 10/13; 4/5; ; 4/5; 4/5; 5/6; ; 4/5; 4/5; 
Draw; 11/4; 13/5; 5/2; 12/5; 72/25; ; 13/5; ; 13/5; 5/2; 12/5; 12/5; ; 5/2; 13/5; 5/2; 45/17; 27/10; 28/11; 13/5; ; 27/10; 53/20; 45/17; ; 23/10; 12/5; 
Guiseley; 31/10; 3; 3; 23/10; 33/10; ; 29/10; ; 29/10; 3; 31/10; 14/5; ; 31/10; 16/5; 14/5; 29/10; 29/10; 56/19; 29/10; ; 33/10; 16/5; 56/19; ; 14/5; 14/5; 
META; english/non-league/national-league/guiseley-v-afc-fylde; 2018-02-19 10:21:56 GMT+2; 2018-02-20 19:45; Nothing; Xlenovo
AFC Fylde; 4/5; 17/20; 4/5; 4/5; 87/100; ; 4/5; ; 4/5; 4/5; 4/5; 4/5; ; 4/5; 4/5; 4/5; 4/5; 7/9; 10/13; 4/5; ; 4/5; 4/5; 4/5; ; 4/5; 4/5; 
Draw; 11/4; 13/5; 5/2; 5/2; 71/25; ; 13/5; ; 45/17; 5/2; 13/5; 12/5; ; 5/2; 13/5; 5/2; 45/17; 27/10; 28/11; 45/17; ; 27/10; 53/20; 27/10; ; 5/2; 12/5; 
Guiseley; 31/10; 3; 3; 16/5; 67/20; ; 3; ; 29/10; 3; 31/10; 14/5; ; 31/10; 16/5; 14/5; 58/19; 29/10; 56/19; 29/10; ; 33/10; 16/5; 31/10; ; 3; 14/5; 
META; english/non-league/national-league/guiseley-v-afc-fylde; 2018-02-19 14:22:31 GMT+2; 2018-02-20 19:45; Nothing; Xlenovo
AFC Fylde; 4/5; 17/20; 4/5; 4/5; 87/100; ; 4/5; ; 4/5; 4/5; 4/5; 4/5; ; 4/5; 4/5; 4/5; 4/5; 7/9; 10/13; 4/5; ; 4/5; 4/5; 4/5; ; 4/5; ; 
Draw; 11/4; 13/5; 5/2; 5/2; 71/25; ; 13/5; ; 45/17; 5/2; 13/5; 12/5; ; 5/2; 13/5; 5/2; 45/17; 27/10; 28/11; 45/17; ; 27/10; 53/20; 27/10; ; 5/2; ; 
Guiseley; 31/10; 16/5; 3; 7/2; 67/20; ; 3; ; 29/10; 3; 31/10; 14/5; ; 31/10; 16/5; 3; 31/10; 29/10; 56/19; 29/10; ; 33/10; 16/5; 41/13; ; 14/5; ; 
META; english/non-league/national-league/guiseley-v-afc-fylde; 2018-02-19 18:22:31 GMT+2; 2018-02-20 19:45; Nothing; Xlenovo
AFC Fylde; 4/5; 3/4; 8/11; 4/5; 3/4; ; 4/5; ; 4/5; 8/11; 8/11; 8/11; ; 3/4; 8/11; 8/11; 5/7; 7/9; 13/17; 4/5; ; 3/4; 8/11; 5/7; ; 4/6; ; 
Draw; 11/4; 11/4; 13/5; 5/2; 74/25; ; 13/5; ; 45/17; 13/5; 13/5; 12/5; ; 5/2; 11/4; 5/2; 11/4; 27/10; 14/5; 45/17; ; 14/5; 11/4; 14/5; ; 13/5; ; 
Guiseley; 31/10; 7/2; 17/5; 7/2; 79/20; ; 16/5; ; 29/10; 17/5; 10/3; 10/3; ; 10/3; 7/2; 16/5; 7/2; 29/10; 41/13; 29/10; ; 7/2; 7/2; 39/11; ; 7/2; ; 
META; english/non-league/national-league/guiseley-v-afc-fylde; 2018-02-19 22:22:32 GMT+2; 2018-02-20 19:45; Nothing; Xlenovo
AFC Fylde; 4/5; 3/4; 3/4; 4/5; 81/100; ; 3/4; ; 13/15; 3/4; 8/11; 3/4; ; 3/4; 8/11; 8/11; 14/19; 7/9; 13/17; 13/15; ; 3/4; 3/4; 10/13; ; 4/6; ; 
Draw; 11/4; 11/4; 13/5; 5/2; 59/20; ; 11/4; ; 13/5; 13/5; 11/4; 12/5; ; 5/2; 11/4; 5/2; 27/10; 27/10; 14/5; 13/5; ; 14/5; 11/4; 11/4; ; 13/5; 5/2; 
Guiseley; 31/10; 7/2; 16/5; 7/2; 71/20; ; 10/3; ; 13/5; 16/5; 16/5; 16/5; ; 10/3; 7/2; 16/5; 13/4; 29/10; 41/13; 13/5; ; 7/2; 10/3; 33/10; ; 3; 3; 
META; english/non-league/national-league/guiseley-v-afc-fylde; 2018-02-20 02:22:14 GMT+2; 2018-02-20 19:45; Nothing; Xlenovo
AFC Fylde; 4/5; 3/4; 8/11; 4/5; 19/25; ; 8/11; ; 8/11; 8/11; 8/11; 7/10; ; 8/11; 8/11; 8/11; 14/19; 3/4; 13/17; 8/11; ; 7/10; 8/11; 14/19; ; 8/11; 4/6; 
Draw; 11/4; 11/4; 13/5; 5/2; 149/50; ; 11/4; ; 27/10; 13/5; 11/4; 5/2; ; 5/2; 11/4; 5/2; 11/4; 13/5; 14/5; 27/10; ; 14/5; 11/4; 11/4; ; 13/5; 5/2; 
Guiseley; 31/10; 7/2; 10/3; 7/2; 77/20; ; 7/2; ; 16/5; 10/3; 10/3; 16/5; ; 10/3; 7/2; 16/5; 57/17; 31/10; 41/13; 16/5; ; 15/4; 7/2; 57/17; ; 7/2; 3; 
META; english/non-league/national-league/guiseley-v-afc-fylde; 2018-02-20 10:22:26 GMT+2; 2018-02-20 19:45; Nothing; Xlenovo
AFC Fylde; 3/4; 5/6; 4/5; 4/5; 89/100; ; 8/11; ; 4/5; 4/5; 4/5; 4/5; ; 4/5; 4/5; 4/5; 4/5; 3/4; 5/6; 4/5; ; 4/5; 5/6; 5/6; ; 5/6; ; 
Draw; 14/5; 13/5; 5/2; 5/2; 143/50; ; 11/4; ; 45/17; 5/2; 13/5; 23/10; ; 49/20; 13/5; 5/2; 45/17; 13/5; 11/4; 45/17; ; 11/4; 27/10; 27/10; ; 13/5; 12/5; 
Guiseley; 10/3; 16/5; 3; 7/2; 16/5; ; 7/2; ; 29/10; 3; 31/10; 3; ; 31/10; 16/5; 3; 56/19; 31/10; 29/10; 29/10; ; 16/5; 3; 3; ; 3; ; 
META; english/non-league/national-league/guiseley-v-afc-fylde; 2018-02-20 14:22:42 GMT+2; 2018-02-20 19:45; Nothing; Xlenovo
