META; english/non-league/national-league/dover-v-chester; 2017-09-10 18:24:46 GMT+3; 2017-09-16 15:00; Nothing; Xlenovo
Dover; 8/13; ; ; ; 4/7; ; 3/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 8/13; ; ; ; 
Draw; 11/4; ; ; ; 11/4; ; 11/4; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 11/4; ; ; ; 
Chester; 9/2; ; ; ; 9/2; ; 5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 9/2; ; ; ; 
META; english/non-league/national-league/dover-v-chester; 2017-09-10 22:24:44 GMT+3; 2017-09-16 15:00; Nothing; Xlenovo
Dover; 8/13; ; ; ; 4/7; ; 3/5; ; ; ; ; 11/20; ; ; ; ; ; ; ; ; ; ; ; ; 8/13; ; ; ; 
Draw; 11/4; ; ; ; 11/4; ; 11/4; ; ; ; ; 14/5; ; ; ; ; ; ; ; ; ; ; ; ; 11/4; ; ; ; 
Chester; 9/2; ; ; ; 9/2; ; 5; ; ; ; ; 4; ; ; ; ; ; ; ; ; ; ; ; ; 9/2; ; ; ; 
META; english/non-league/national-league/dover-v-chester; 2017-09-11 02:24:39 GMT+3; 2017-09-16 15:00; Nothing; Xlenovo
Dover; 8/13; ; ; ; 4/7; ; 3/5; ; ; ; ; 11/20; ; ; ; 4/7; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; 11/4; ; ; ; 14/5; ; 14/5; ; ; ; ; 14/5; ; ; ; 11/4; ; ; ; ; ; ; ; ; ; ; ; ; 
Chester; 9/2; ; ; ; 9/2; ; 5; ; ; ; ; 4; ; ; ; 9/2; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/non-league/national-league/dover-v-chester; 2017-09-11 10:24:36 GMT+3; 2017-09-16 15:00; Nothing; Xlenovo
Dover; 8/13; ; ; ; 4/7; ; 3/5; ; ; ; ; 11/20; ; ; ; 4/7; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; 11/4; ; ; ; 14/5; ; 14/5; ; ; ; ; 14/5; ; ; ; 11/4; ; ; ; ; ; ; ; ; ; ; ; ; 
Chester; 9/2; ; ; ; 9/2; ; 5; ; ; ; ; 4; ; ; ; 9/2; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/non-league/national-league/dover-v-chester; 2017-09-11 14:24:44 GMT+3; 2017-09-16 15:00; Nothing; Xlenovo
Dover; 8/13; ; ; ; 4/7; ; 3/5; ; 8/13; ; ; 4/7; ; ; ; 4/7; ; 8/13; 10/17; ; ; 8/13; ; ; 8/13; ; ; ; 
Draw; 11/4; ; ; ; 29/10; ; 29/10; ; 13/5; ; ; 13/5; ; ; ; 27/10; ; 13/5; 13/5; ; ; 13/5; ; ; 11/4; ; ; ; 
Chester; 9/2; ; ; ; 21/5; ; 19/4; ; 21/5; ; ; 4; ; ; ; 9/2; ; 21/5; 17/4; ; ; 21/5; ; ; 9/2; ; ; ; 
META; english/non-league/national-league/dover-v-chester; 2017-09-11 18:25:09 GMT+3; 2017-09-16 15:00; Nothing; Xlenovo
Dover; 8/13; ; ; ; 4/7; ; 3/5; ; 8/13; ; ; 4/7; 8/13; ; ; 4/7; ; 8/13; 10/17; ; ; 8/13; ; 8/13; 8/13; ; ; ; 
Draw; 11/4; ; ; ; 29/10; ; 29/10; ; 13/5; ; ; 13/5; 11/4; ; ; 27/10; ; 13/5; 13/5; ; ; 13/5; ; 14/5; 11/4; ; ; ; 
Chester; 9/2; ; ; ; 21/5; ; 19/4; ; 21/5; ; ; 4; 9/2; ; ; 9/2; ; 21/5; 17/4; ; ; 21/5; ; 9/2; 9/2; ; ; ; 
META; english/non-league/national-league/dover-v-chester; 2017-09-11 22:24:49 GMT+3; 2017-09-16 15:00; Nothing; Xlenovo
Dover; 8/13; ; ; ; 4/7; ; 3/5; ; 8/13; ; ; 4/7; 8/13; ; ; 4/7; ; 8/13; 11/18; ; ; 8/13; ; 8/13; ; ; ; ; 
Draw; 11/4; ; ; ; 29/10; ; 29/10; ; 13/5; ; ; 13/5; 11/4; ; ; 27/10; ; 13/5; 45/17; ; ; 13/5; ; 14/5; ; ; ; ; 
Chester; 9/2; ; ; ; 21/5; ; 19/4; ; 21/5; ; ; 4; 9/2; ; ; 9/2; ; 21/5; 74/17; ; ; 21/5; ; 9/2; ; ; ; ; 
META; english/non-league/national-league/dover-v-chester; 2017-09-12 02:24:41 GMT+3; 2017-09-16 15:00; Nothing; Xlenovo
Dover; 8/13; ; ; ; 4/7; ; 3/5; ; 8/13; ; ; 4/7; 8/13; ; ; 4/7; ; 8/13; 11/18; ; ; 8/13; ; 8/13; 8/13; ; 4/9; ; 
Draw; 11/4; ; ; ; 29/10; ; 29/10; ; 13/5; ; ; 13/5; 11/4; ; ; 27/10; ; 13/5; 27/10; ; ; 13/5; ; 14/5; 11/4; ; 21/10; ; 
Chester; 9/2; ; ; ; 21/5; ; 19/4; ; 21/5; ; ; 4; 9/2; ; ; 9/2; ; 21/5; 43/10; ; ; 21/5; ; 9/2; 9/2; ; 3; ; 
META; english/non-league/national-league/dover-v-chester; 2017-09-12 10:24:41 GMT+3; 2017-09-16 15:00; Nothing; Xlenovo
Dover; 8/13; ; ; ; 4/7; 3/5; 3/5; 8/15; 8/13; ; ; 4/7; 3/5; ; ; 4/7; 4/7; 8/13; 11/18; ; ; 8/13; ; 8/13; 8/13; ; 4/9; ; 
Draw; 11/4; ; ; ; 29/10; 13/5; 29/10; 11/4; 13/5; ; ; 13/5; 11/4; ; ; 27/10; 13/5; 13/5; 27/10; ; ; 13/5; ; 14/5; 11/4; ; 23/10; ; 
Chester; 9/2; ; ; ; 21/5; 4; 19/4; 4; 21/5; ; ; 4; 19/4; ; ; 9/2; 4; 21/5; 43/10; ; ; 21/5; ; 9/2; 9/2; ; 5/2; ; 
META; english/non-league/national-league/dover-v-chester; 2017-09-12 14:24:55 GMT+3; 2017-09-16 15:00; Nothing; Xlenovo
Dover; 8/13; ; ; ; 4/7; 3/5; 3/5; 8/15; 8/13; ; ; 4/7; 3/5; ; ; 4/7; 4/7; 8/13; 10/17; ; ; 8/13; ; 8/13; 8/13; ; 4/9; ; 
Draw; 11/4; ; ; ; 29/10; 13/5; 29/10; 11/4; 13/5; ; ; 13/5; 11/4; ; ; 27/10; 13/5; 13/5; 27/10; ; ; 13/5; ; 14/5; 11/4; ; 23/10; ; 
Chester; 9/2; ; ; ; 21/5; 4; 19/4; 4; 21/5; ; ; 4; 19/4; ; ; 9/2; 4; 21/5; 43/10; ; ; 21/5; ; 9/2; 9/2; ; 5/2; ; 
META; english/non-league/national-league/dover-v-chester; 2017-09-12 18:25:02 GMT+3; 2017-09-16 15:00; Nothing; Xlenovo
Dover; 8/13; ; ; ; 4/7; 3/5; 3/5; 8/15; 8/13; ; ; 4/7; 3/5; ; ; 4/7; 4/7; 8/13; 10/17; ; ; 8/13; ; 8/13; 8/13; ; 4/9; ; 
Draw; 11/4; ; ; ; 29/10; 13/5; 29/10; 11/4; 13/5; ; ; 13/5; 11/4; ; ; 27/10; 13/5; 13/5; 27/10; ; ; 13/5; ; 14/5; 11/4; ; 23/10; ; 
Chester; 9/2; ; ; ; 21/5; 4; 19/4; 4; 21/5; ; ; 4; 19/4; ; ; 9/2; 4; 21/5; 43/10; ; ; 21/5; ; 9/2; 9/2; ; 5/2; ; 
META; english/non-league/national-league/dover-v-chester; 2017-09-12 22:24:53 GMT+3; 2017-09-16 15:00; Nothing; Xlenovo
Dover; 8/13; ; 4/7; ; 4/7; 3/5; 3/5; 8/15; 8/13; ; ; 4/7; 3/5; ; ; 4/7; 4/7; 8/13; 10/17; ; ; 8/13; ; 8/13; 8/13; ; 4/9; ; 
Draw; 11/4; ; 29/10; ; 29/10; 13/5; 29/10; 11/4; 13/5; ; ; 13/5; 11/4; ; ; 27/10; 13/5; 13/5; 27/10; ; ; 13/5; ; 14/5; 11/4; ; 23/10; ; 
Chester; 9/2; ; 17/4; ; 21/5; 4; 19/4; 4; 21/5; ; ; 4; 19/4; ; ; 9/2; 4; 21/5; 43/10; ; ; 21/5; ; 9/2; 9/2; ; 3; ; 
META; english/non-league/national-league/dover-v-chester; 2017-09-13 02:22:33 GMT+3; 2017-09-16 15:00; Nothing; Xlenovo
Dover; 8/13; 8/15; 11/20; ; 4/7; 3/5; 4/7; 8/15; 8/13; ; ; 4/7; 3/5; ; ; 4/7; 4/7; 8/13; 10/17; ; ; 8/13; ; 8/13; ; ; 4/9; ; 
Draw; 11/4; 3; 29/10; ; 29/10; 13/5; 3; 11/4; 13/5; ; ; 13/5; 11/4; ; ; 11/4; 13/5; 13/5; 27/10; ; ; 13/5; ; 14/5; ; ; 23/10; ; 
Chester; 9/2; 9/2; 9/2; ; 21/5; 4; 19/4; 4; 21/5; ; ; 4; 19/4; ; ; 9/2; 4; 21/5; 43/10; ; ; 21/5; ; 9/2; ; ; 3; ; 
META; english/non-league/national-league/dover-v-chester; 2017-09-13 10:22:59 GMT+3; 2017-09-16 15:00; Nothing; Xlenovo
Dover; 8/13; 8/15; 11/20; ; 4/7; 3/5; 4/7; 8/15; 8/13; ; ; 4/7; 3/5; ; ; 4/7; 4/7; 8/13; 10/17; ; ; 8/13; ; 8/13; 8/13; ; 4/9; ; 
Draw; 11/4; 3; 29/10; ; 29/10; 13/5; 3; 11/4; 13/5; ; ; 13/5; 11/4; ; ; 11/4; 13/5; 13/5; 27/10; ; ; 13/5; ; 14/5; 11/4; ; 12/5; ; 
Chester; 9/2; 9/2; 9/2; ; 21/5; 4; 19/4; 4; 21/5; ; ; 4; 19/4; ; ; 9/2; 4; 21/5; 43/10; ; ; 21/5; ; 9/2; 9/2; ; 13/5; ; 
META; english/non-league/national-league/dover-v-chester; 2017-09-13 14:23:46 GMT+3; 2017-09-16 15:00; Nothing; Xlenovo
Dover; 8/13; 8/15; 11/20; ; 4/7; 3/5; 4/7; 8/15; 8/13; ; ; 4/7; 3/5; ; ; 4/7; 4/7; 8/13; 10/17; 67/100; ; 8/13; ; 8/13; 8/13; ; 4/9; ; 
Draw; 11/4; 3; 29/10; ; 29/10; 13/5; 3; 11/4; 13/5; ; ; 13/5; 11/4; ; ; 11/4; 13/5; 13/5; 27/10; 147/50; ; 13/5; ; 14/5; 11/4; ; 12/5; ; 
Chester; 9/2; 9/2; 9/2; ; 21/5; 4; 19/4; 4; 21/5; ; ; 4; 19/4; ; ; 9/2; 4; 21/5; 43/10; 24/5; ; 21/5; ; 9/2; 9/2; ; 13/5; ; 
META; english/non-league/national-league/dover-v-chester; 2017-09-13 18:23:08 GMT+3; 2017-09-16 15:00; Nothing; Xlenovo
Dover; 8/13; 8/15; 11/20; 6/10; 4/7; 3/5; 4/7; 8/15; 8/13; ; ; 4/7; 3/5; ; ; 4/7; 4/7; 8/13; 10/17; 67/100; ; 8/13; ; 8/13; 8/13; ; 4/9; ; 
Draw; 11/4; 16/5; 29/10; 11/4; 29/10; 13/5; 3; 11/4; 13/5; ; ; 13/5; 11/4; ; ; 11/4; 13/5; 13/5; 27/10; 147/50; ; 13/5; ; 14/5; 11/4; ; 12/5; ; 
Chester; 9/2; 5; 9/2; 4; 21/5; 4; 19/4; 4; 21/5; ; ; 4; 19/4; ; ; 9/2; 4; 21/5; 43/10; 24/5; ; 21/5; ; 9/2; 9/2; ; 13/5; ; 
META; english/non-league/national-league/dover-v-chester; 2017-09-13 22:23:09 GMT+3; 2017-09-16 15:00; Nothing; Xlenovo
Dover; 8/13; 8/15; 11/20; 6/10; 4/7; 3/5; 11/20; 8/15; 8/13; ; ; 4/7; 3/5; ; 3/5; 4/7; 4/7; 8/13; 11/18; 67/100; ; 8/13; ; 8/13; 8/13; ; 4/9; ; 
