META; english/non-league/national-league/maidstone-v-aldershot; 2017-08-12 18:23:04 GMT+3; 2017-08-15 19:45; Nothing; Xlenovo
Draw; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/100; ; 
Maidstone; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/50; ; 
Aldershot; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 2/15; ; 
META; english/non-league/national-league/maidstone-v-aldershot; 2017-08-12 22:23:17 GMT+3; 2017-08-15 19:45; Nothing; Xlenovo
Aldershot; 19/20; 1; 1; 1; 20/21; 9/10; 1; 10/11; 9/10; 19/20; 19/20; 20/21; 1; ; 1; 19/20; 1; 9/10; 1; 107/100; 68/67; 9/10; ; 1; 1; ; 20/21; 20/21; 
Maidstone; 5/2; 5/2; 5/2; 12/5; 13/5; 23/10; 13/5; 5/2; 40/17; 13/5; 5/2; 23/10; 51/20; ; 13/5; 5/2; 5/2; 40/17; 27/11; 67/25; 11/5; 40/17; ; 5/2; 5/2; ; 13/5; 5/2; 
Draw; 11/4; 12/5; 47/20; 5/2; 12/5; 5/2; 5/2; 13/5; 27/10; 12/5; 12/5; 23/10; 51/20; ; 12/5; 13/5; 21/10; 27/10; 28/11; 27/10; 27/11; 27/10; ; 5/2; 5/2; ; 5/2; 23/10; 
META; english/non-league/national-league/maidstone-v-aldershot; 2017-08-14 18:22:56 GMT+3; 2017-08-15 19:45; Nothing; Xlenovo
Aldershot; 19/20; 1; 1; 1; 19/20; 9/10; 20/21; 10/11; 9/10; 19/20; 19/20; 20/21; 1; 19/20; 1; 19/20; 1; 9/10; 1; 101/100; 1; 9/10; ; 1; 1; ; 1; 20/21; 
Draw; 11/4; 12/5; 47/20; 5/2; 5/2; 5/2; 13/5; 13/5; 27/10; 12/5; 12/5; 11/5; 51/20; 9/4; 12/5; 13/5; 21/10; 27/10; 28/11; 133/50; 45/17; 27/10; ; 5/2; 5/2; ; 5/2; 23/10; 
Maidstone; 5/2; 5/2; 5/2; 12/5; 13/5; 23/10; 27/10; 5/2; 40/17; 13/5; 5/2; 5/2; 51/20; 5/2; 13/5; 5/2; 5/2; 40/17; 27/11; 73/25; 40/17; 40/17; ; 5/2; 5/2; ; 13/5; 5/2; 
META; english/non-league/national-league/maidstone-v-aldershot; 2017-08-14 22:23:03 GMT+3; 2017-08-15 19:45; Nothing; Xlenovo
Aldershot; 19/20; 19/20; 19/20; 1; 19/20; 9/10; 19/20; 10/11; 9/10; 19/20; 19/20; 20/21; 19/20; 19/20; ; 19/20; 1; 9/10; ; 101/100; 1; 9/10; ; 10/11; 1; ; 10/11; 10/11; 
Draw; 11/4; 5/2; 12/5; 5/2; 5/2; 5/2; 13/5; 13/5; 27/10; 12/5; 12/5; 11/5; 51/20; 12/5; ; 5/2; 21/10; 27/10; ; 133/50; 45/17; 27/10; ; 5/2; 5/2; ; 5/2; 23/10; 
Maidstone; 5/2; 13/5; 13/5; 12/5; 13/5; 23/10; 27/10; 5/2; 40/17; 13/5; 5/2; 5/2; 27/10; 14/5; ; 12/5; 5/2; 40/17; ; 73/25; 40/17; 40/17; ; 13/5; 5/2; ; 11/4; 5/2; 
META; english/non-league/national-league/maidstone-v-aldershot; 2017-08-15 02:22:48 GMT+3; 2017-08-15 19:45; Nothing; Xlenovo
Aldershot; 19/20; 19/20; 19/20; 1; 19/20; 9/10; 19/20; 10/11; 9/10; 19/20; 19/20; 20/21; 19/20; 19/20; 1; 19/20; 1; 9/10; 19/20; 101/100; 1; 9/10; ; 10/11; 1; ; 20/21; 10/11; 
Draw; 11/4; 5/2; 12/5; 5/2; 5/2; 5/2; 13/5; 13/5; 27/10; 12/5; 12/5; 11/5; 51/20; 5/2; 12/5; 5/2; 21/10; 27/10; 28/11; 133/50; 45/17; 27/10; ; 5/2; 5/2; ; 5/2; 23/10; 
Maidstone; 5/2; 13/5; 13/5; 12/5; 13/5; 23/10; 27/10; 5/2; 40/17; 13/5; 5/2; 5/2; 27/10; 11/4; 13/5; 12/5; 5/2; 40/17; 5/2; 73/25; 40/17; 40/17; ; 13/5; 5/2; ; 13/5; 5/2; 
META; english/non-league/national-league/maidstone-v-aldershot; 2017-08-15 10:22:58 GMT+3; 2017-08-15 19:45; Nothing; Xlenovo
Aldershot; 19/20; 19/20; 19/20; 19/20; 10/11; 9/10; 37/40; 10/11; 9/10; 10/11; 19/20; 10/11; 19/20; 10/11; 19/20; 10/11; 1; 9/10; 19/20; 49/50; 1; 9/10; ; 10/11; 10/11; ; 10/11; 20/21; 
Draw; 11/4; 5/2; 12/5; 5/2; 5/2; 5/2; 13/5; 13/5; 27/10; 12/5; 12/5; 23/10; 51/20; 5/2; 13/5; 5/2; 21/10; 27/10; 28/11; 68/25; 45/17; 27/10; ; 5/2; 5/2; ; 5/2; 12/5; 
Maidstone; 5/2; 13/5; 27/10; 13/5; 11/4; 23/10; 14/5; 5/2; 40/17; 27/10; 5/2; 5/2; 27/10; 14/5; 13/5; 5/2; 5/2; 40/17; 28/11; 149/50; 40/17; 40/17; ; 13/5; 11/4; ; 14/5; 11/4; 
META; english/non-league/national-league/maidstone-v-aldershot; 2017-08-15 14:23:01 GMT+3; 2017-08-15 19:45; Nothing; Xlenovo
Aldershot; 3/4; 5/6; 5/6; 4/5; 5/6; 9/10; 4/5; 5/6; 11/13; 4/5; 19/20; 4/5; 4/5; 5/6; 4/5; 4/5; 3/4; 11/13; 5/6; 21/25; 11/13; 11/13; ; 4/5; 5/6; ; 5/6; 5/6; 
Draw; 3; 5/2; 5/2; 5/2; 5/2; 5/2; 27/10; 5/2; 45/17; 5/2; 12/5; 23/10; 53/20; 13/5; 13/5; 13/5; 11/5; 45/17; 27/10; 57/20; 11/4; 45/17; ; 13/5; 11/4; ; 27/10; 11/4; 
Maidstone; 31/10; 3; 3; 16/5; 3; 23/10; 16/5; 11/4; 28/11; 3; 5/2; 3; 16/5; 3; 16/5; 29/10; 17/5; 28/11; 56/19; 7/2; 14/5; 28/11; ; 3; 3; ; 3; 3; 
META; english/non-league/national-league/maidstone-v-aldershot; 2017-08-15 18:22:58 GMT+3; 2017-08-15 19:45; Nothing; Xlenovo
Aldershot; 1; 21/20; 21/20; 1; 21/20; 9/10; 11/10; 1; 9/10; 11/10; 19/20; 21/20; 21/20; 11/10; 11/10; 1; 19/20; 9/10; 1; 29/25; 13/12; 9/10; ; 11/10; 1; ; 10/9; 10/9; 
Maidstone; 23/10; 12/5; 47/20; 5/2; 23/10; 23/10; 12/5; 12/5; 40/17; 9/4; 5/2; 11/5; 49/20; 23/10; 23/10; 12/5; 23/10; 40/17; 40/17; 63/25; 28/13; 40/17; ; 23/10; 12/5; ; 12/5; 12/5; 
Draw; 11/4; 12/5; 47/20; 12/5; 5/2; 5/2; 5/2; 12/5; 27/10; 23/10; 12/5; 11/5; 5/2; 5/2; 12/5; 12/5; 12/5; 27/10; 28/11; 129/50; 45/17; 27/10; ; 5/2; 5/2; ; 5/2; 5/2; 
META; english/non-league/national-league/maidstone-v-aldershot; 2017-08-15 22:22:59 GMT+3; 2017-08-15 19:45; In Play; Xlenovo
Aldershot; 13/10; 5/4; ; 5/4; 6/5; ; 13/10; 7/5; 7/6; ; ; 13/10; 27/20; ; ; ; 13/10; 8/7; ; ; ; 16/13; ; ; 6/5; ; ; 5/4; 
Draw; 15/8; 7/4; ; 15/8; 5/2; ; 17/10; 6/4; 12/5; ; ; 7/4; 7/4; ; ; ; 28/17; 21/10; ; ; ; 9/4; ; ; 2; ; ; 23/10; 
Maidstone; 13/5; 5/2; ; 12/5; 11/5; ; 13/5; 9/4; 39/19; ; ; 9/4; 27/10; ; ; ; 12/5; 27/11; ; ; ; 21/10; ; ; 21/10; ; ; 23/10; 
