META; english/non-league/national-league/barrow-v-ebbsfleet-united; 2018-04-08 14:24:47 GMT+3; 2018-04-14 15:00; Nothing; Xlenovo
Barrow; 8/5; 13/8; 1/33
Ebbsfleet United; 13/8; 17/10; 1/33
Draw; 21/10; 9/4; 1/33
META; english/non-league/national-league/barrow-v-ebbsfleet-united; 2018-04-08 18:24:19 GMT+3; 2018-04-14 15:00; Nothing; Xlenovo
Barrow; 8/5; 8/5; 8/5; 13/8; 1/33; 7/4
Ebbsfleet United; 17/10; 13/8; 13/8; 17/10; 1/33; 7/4
Draw; 9/4; 21/10; 11/5; 9/4; 1/33; 7/4
META; english/non-league/national-league/barrow-v-ebbsfleet-united; 2018-04-08 22:24:27 GMT+3; 2018-04-14 15:00; Nothing; Xlenovo
Barrow; 8/5; 8/5; 8/5; 6/4; 13/8; 1/50; 7/4
Ebbsfleet United; 17/10; 13/8; 13/8; 8/5; 17/10; 1/50; 7/4
Draw; 9/4; 21/10; 11/5; 21/10; 9/4; 1/50; 7/4
META; english/non-league/national-league/barrow-v-ebbsfleet-united; 2018-04-09 02:24:20 GMT+3; 2018-04-14 15:00; Nothing; Xlenovo
Barrow; 8/5; 8/5; 8/5; 6/4; 13/8; 1/50; 7/4
Ebbsfleet United; 17/10; 13/8; 13/8; 8/5; 17/10; 1/50; 7/4
Draw; 9/4; 21/10; 11/5; 21/10; 9/4; 1/50; 7/4
META; english/non-league/national-league/barrow-v-ebbsfleet-united; 2018-04-09 10:24:22 GMT+3; 2018-04-14 15:00; Nothing; Xlenovo
Barrow; 8/5; 8/5; 17/11; 8/5; 31/20; 6/4; 6/4; 17/11; 17/11; 13/8; 17/11; 1/33; 7/4
Ebbsfleet United; 17/10; 13/8; 17/10; 13/8; 8/5; 8/5; 28/17; 28/17; 17/10; 7/4; 28/17; 1/33; 7/4
Draw; 9/4; 21/10; 39/19; 11/5; 2; 21/10; 21/10; 21/10; 39/19; 11/5; 21/10; 1/33; 7/4
META; english/non-league/national-league/barrow-v-ebbsfleet-united; 2018-04-09 14:24:41 GMT+3; 2018-04-14 15:00; Nothing; Xlenovo
Barrow; 8/5; 8/5; 17/11; 8/5; 31/20; 6/4; 6/4; 17/11; 17/11; 13/8; 17/11; 23/20; 7/4
Ebbsfleet United; 17/10; 13/8; 17/10; 13/8; 8/5; 8/5; 28/17; 28/17; 17/10; 17/10; 28/17; 5/4; 7/4
Draw; 9/4; 21/10; 39/19; 11/5; 2; 21/10; 21/10; 21/10; 39/19; 9/4; 21/10; 13/8; 7/4
META; english/non-league/national-league/barrow-v-ebbsfleet-united; 2018-04-09 18:24:33 GMT+3; 2018-04-14 15:00; Nothing; Xlenovo
Barrow; 8/5; 8/5; 17/11; 8/5; 6/4; 6/4; 6/4; 17/11; 17/11; 13/8; 17/11; 1/33; 7/4
