META; english/non-league/national-league/halifax-v-wrexham; 2017-09-30 22:21:58 GMT+3; 2017-10-03 19:45; Nothing; Xlenovo
Halifax; 6/5; ; ; ; 23/20; ; 23/20; ; ; ; ; ; ; ; ; 11/10; ; ; 15/13; ; ; ; ; 6/5; ; ; ; ; 
Wrexham; 11/5; ; ; ; 9/4; ; 23/10; ; ; ; ; ; ; ; ; 21/10; ; ; 28/13; ; ; ; ; 11/5; ; ; ; ; 
Draw; 12/5; ; ; ; 23/10; ; 12/5; ; ; ; ; ; ; ; ; 9/4; ; ; 40/17; ; ; ; ; 23/10; ; ; ; ; 
META; english/non-league/national-league/halifax-v-wrexham; 2017-10-01 02:22:46 GMT+3; 2017-10-03 19:45; Nothing; Xlenovo
Halifax; 6/5; 6/5; ; ; 23/20; ; 6/5; 11/10; ; ; ; ; ; ; ; 11/10; ; ; 15/13; ; ; ; ; 6/5; 23/20; ; ; ; 
Wrexham; 11/5; 2; ; ; 9/4; ; 9/4; 11/5; ; ; ; ; ; ; ; 21/10; ; ; 28/13; ; ; ; ; 21/10; 9/4; ; ; ; 
Draw; 12/5; 12/5; ; ; 9/4; ; 12/5; 11/5; ; ; ; ; ; ; ; 23/10; ; ; 40/17; ; ; ; ; 23/10; 47/20; ; ; ; 
META; english/non-league/national-league/halifax-v-wrexham; 2017-10-01 10:22:44 GMT+3; 2017-10-03 19:45; Nothing; Xlenovo
Halifax; 6/5; 6/5; ; ; 23/20; ; 6/5; 11/10; ; ; 11/10; ; ; ; ; 11/10; ; ; 15/13; ; ; ; 6/5; 6/5; 23/20; ; ; ; 
Wrexham; 11/5; 2; ; ; 23/10; ; 9/4; 11/5; ; ; 11/5; ; ; ; ; 21/10; ; ; 28/13; ; ; ; 9/4; 21/10; 9/4; ; ; ; 
Draw; 12/5; 12/5; ; ; 9/4; ; 12/5; 11/5; ; ; 21/10; ; ; ; ; 9/4; ; ; 40/17; ; ; ; 12/5; 23/10; 47/20; ; ; ; 
META; english/non-league/national-league/halifax-v-wrexham; 2017-10-01 14:22:53 GMT+3; 2017-10-03 19:45; Nothing; Xlenovo
Halifax; 6/5; 6/5; ; 5/4; 6/5; 117/100; 6/5; 11/10; 13/11; ; 23/20; ; ; 11/10; ; 5/4; 15/13; ; 6/5; 11/8; ; 13/11; 5/4; 6/5; 5/4; ; ; ; 
Wrexham; 11/5; 2; ; 13/8; 21/10; 2; 11/5; 11/5; 11/5; ; 2; ; ; 21/10; ; 2; 2; ; 28/13; 113/50; ; 11/5; 11/5; 21/10; 21/10; ; ; ; 
Draw; 12/5; 12/5; ; 23/10; 9/4; 11/5; 12/5; 11/5; 11/5; ; 21/10; ; ; 9/4; ; 9/4; 11/5; ; 23/10; 59/25; ; 11/5; 23/10; 23/10; 23/10; ; ; ; 
META; english/non-league/national-league/halifax-v-wrexham; 2017-10-01 18:22:18 GMT+3; 2017-10-03 19:45; Nothing; Xlenovo
Halifax; 6/5; 13/10; 5/4; 5/4; 5/4; 117/100; 5/4; 11/10; 13/11; 5/4; 6/5; 5/4; ; 11/10; 5/4; 5/4; 15/13; ; 6/5; 11/8; 5/4; 13/11; 5/4; 5/4; 5/4; ; ; ; 
Wrexham; 11/5; 21/10; 21/10; 13/8; 21/10; 2; 9/4; 21/10; 11/5; 21/10; 2; 21/10; ; 21/10; 21/10; 2; 2; ; 28/13; 113/50; 15/8; 11/5; 11/5; 21/10; 21/10; ; ; ; 
Draw; 12/5; 9/4; 21/10; 23/10; 11/5; 11/5; 9/4; 11/5; 11/5; 21/10; 21/10; 21/10; ; 9/4; 9/4; 11/5; 11/5; ; 9/4; 59/25; 9/4; 11/5; 23/10; 11/5; 23/10; ; ; ; 
META; english/non-league/national-league/halifax-v-wrexham; 2017-10-01 22:22:07 GMT+3; 2017-10-03 19:45; Nothing; Xlenovo
Halifax; 6/5; 13/10; 13/10; 5/4; 5/4; 117/100; 13/10; 11/10; 13/11; 13/10; 5/4; 13/10; ; 6/5; 5/4; 5/4; 15/13; ; 5/4; 11/8; 17/14; 13/11; 13/10; 13/10; 5/4; ; ; ; 
Wrexham; 11/5; 21/10; 2; 13/8; 21/10; 2; 85/40; 2; 11/5; 2; 2; 41/20; ; 21/10; 21/10; 2; 2; ; 21/10; 113/50; 19/10; 11/5; 85/40; 21/10; 21/10; ; ; ; 
Draw; 12/5; 9/4; 21/10; 23/10; 11/5; 11/5; 23/10; 21/10; 11/5; 21/10; 2; 41/20; ; 11/5; 9/4; 11/5; 11/5; ; 11/5; 59/25; 23/10; 11/5; 23/10; 11/5; 23/10; ; ; ; 
META; english/non-league/national-league/halifax-v-wrexham; 2017-10-02 02:21:57 GMT+3; 2017-10-03 19:45; Nothing; Xlenovo
Halifax; 6/5; 13/10; 13/10; 5/4; 5/4; 117/100; 13/10; 11/10; 13/11; 13/10; 5/4; 13/10; ; 6/5; 5/4; 5/4; 15/13; ; 5/4; 11/8; 17/14; 13/11; 13/10; 13/10; 5/4; ; ; ; 
Wrexham; 11/5; 21/10; 2; 13/8; 21/10; 2; 85/40; 2; 11/5; 2; 2; 41/20; ; 21/10; 21/10; 2; 2; ; 21/10; 113/50; 19/10; 11/5; 85/40; 21/10; 21/10; ; ; ; 
Draw; 12/5; 9/4; 21/10; 23/10; 11/5; 11/5; 23/10; 21/10; 11/5; 21/10; 2; 41/20; ; 11/5; 9/4; 11/5; 11/5; ; 11/5; 59/25; 23/10; 11/5; 23/10; 11/5; 23/10; ; ; ; 
META; english/non-league/national-league/halifax-v-wrexham; 2017-10-02 10:22:26 GMT+3; 2017-10-03 19:45; Nothing; Xlenovo
Halifax; 6/5; 13/10; 13/10; 5/4; 5/4; 117/100; 13/10; 6/5; 13/11; 13/10; 5/4; 13/10; ; 5/4; 5/4; 5/4; 15/13; ; 5/4; 11/8; 17/14; 13/11; 13/10; 13/10; 5/4; ; ; ; 
Wrexham; 11/5; 21/10; 2; 2; 21/10; 2; 85/40; 15/8; 11/5; 2; 2; 41/20; ; 2; 21/10; 2; 2; ; 21/10; 113/50; 19/10; 11/5; 85/40; 21/10; 21/10; ; ; ; 
Draw; 12/5; 9/4; 21/10; 11/5; 11/5; 11/5; 23/10; 21/10; 11/5; 21/10; 2; 41/20; ; 11/5; 9/4; 21/10; 11/5; ; 11/5; 59/25; 23/10; 11/5; 23/10; 11/5; 23/10; ; ; ; 
META; english/non-league/national-league/halifax-v-wrexham; 2017-10-02 18:22:43 GMT+3; 2017-10-03 19:45; Nothing; Xlenovo
Halifax; 13/10; 11/8; 23/17; 13/10; 13/10; 13/10; 13/10; 6/5; 13/11; 27/20; 13/10; 27/20; ; 5/4; 13/10; 13/10; 13/10; 5/4; 11/8; 13/10; 13/11; 13/10; 11/8; 11/8; ; ; 13/10; 
Wrexham; 2; 21/10; 21/10; 11/5; 21/10; 37/20; 21/10; 2; 11/5; 21/10; 21/10; 41/20; ; 2; 11/5; 2; 24/13; 28/13; 113/50; 9/5; 11/5; 2; 85/40; 21/10; ; ; 2; 
Draw; 12/5; 21/10; 2; 11/5; 21/10; 21/10; 21/10; 21/10; 11/5; 2; 15/8; 2; ; 21/10; 21/10; 2; 21/10; 28/13; 59/25; 11/5; 11/5; 11/5; 85/40; 9/4; ; ; 19/10; 
META; english/non-league/national-league/halifax-v-wrexham; 2017-10-02 22:23:06 GMT+3; 2017-10-03 19:45; Nothing; Xlenovo
Halifax; 13/10; 11/8; 23/17; 13/10; 13/10; 13/10; 11/8; 6/5; 13/11; 27/20; 13/10; 13/10; ; 5/4; 13/10; 13/10; 13/10; 5/4; 11/8; 13/10; 13/11; 13/10; 11/8; 11/8; ; ; 13/10; 
Wrexham; 2; 21/10; 21/10; 11/5; 21/10; 37/20; 21/10; 2; 11/5; 21/10; 21/10; 21/10; ; 2; 11/5; 2; 24/13; 28/13; 113/50; 2; 11/5; 2; 85/40; 21/10; ; ; 2; 
Draw; 12/5; 21/10; 2; 11/5; 21/10; 21/10; 21/10; 21/10; 11/5; 2; 15/8; 2; ; 21/10; 21/10; 2; 21/10; 28/13; 59/25; 23/10; 11/5; 11/5; 85/40; 9/4; ; ; 19/10; 
META; english/non-league/national-league/halifax-v-wrexham; 2017-10-03 02:22:49 GMT+3; 2017-10-03 19:45; Nothing; Xlenovo
Halifax; 13/10; 7/5; 23/17; 13/10; 13/10; 13/10; 11/8; 6/5; 13/11; 27/20; 13/10; 13/10; ; 5/4; 13/10; 13/10; 13/10; 5/4; 11/8; 13/10; 13/11; 13/10; 11/8; 11/8; ; ; 27/20; 
Wrexham; 2; 21/10; 21/10; 11/5; 21/10; 37/20; 21/10; 2; 11/5; 21/10; 21/10; 21/10; ; 2; 11/5; 2; 24/13; 28/13; 113/50; 2; 11/5; 2; 85/40; 21/10; ; ; 2; 
