META; english/non-league/national-league/sutton-utd-v-afc-fylde; 2017-10-01 14:23:18 GMT+3; 2017-10-07 15:00; Nothing; Xlenovo
Sutton Utd; 8/11; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; 11/4; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
AFC Fylde; 7/2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/non-league/national-league/sutton-utd-v-afc-fylde; 2017-10-01 18:22:53 GMT+3; 2017-10-07 15:00; Nothing; Xlenovo
Sutton Utd; 8/11; ; ; ; 8/11; ; 8/11; 4/6; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 7/10; 8/11; ; ; ; 
Draw; 11/4; ; ; ; 13/5; ; 11/4; 13/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 11/4; 27/10; ; ; ; 
AFC Fylde; 7/2; ; ; ; 7/2; ; 18/5; 10/3; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 10/3; 7/2; ; ; ; 
META; english/non-league/national-league/sutton-utd-v-afc-fylde; 2017-10-01 22:22:42 GMT+3; 2017-10-07 15:00; Nothing; Xlenovo
Sutton Utd; 8/11; ; ; ; 8/11; 4/6; ; 4/6; ; ; ; ; ; ; ; ; 4/6; ; ; ; ; ; ; 7/10; 8/11; ; ; ; 
Draw; 11/4; ; ; ; 13/5; 13/5; ; 13/5; ; ; ; ; ; ; ; ; 13/5; ; ; ; ; ; ; 11/4; 27/10; ; ; ; 
AFC Fylde; 7/2; ; ; ; 18/5; 16/5; ; 10/3; ; ; ; ; ; ; ; ; 10/3; ; ; ; ; ; ; 10/3; 7/2; ; ; ; 
META; english/non-league/national-league/sutton-utd-v-afc-fylde; 2017-10-02 02:22:31 GMT+3; 2017-10-07 15:00; Nothing; Xlenovo
Sutton Utd; 8/11; ; ; ; 8/11; 4/6; ; 4/6; ; ; ; ; ; ; ; 8/11; 4/6; ; ; ; ; ; ; 7/10; 8/11; ; ; ; 
Draw; 11/4; ; ; ; 13/5; 13/5; ; 13/5; ; ; ; ; ; ; ; 13/5; 13/5; ; ; ; ; ; ; 11/4; 27/10; ; ; ; 
AFC Fylde; 7/2; ; ; ; 7/2; 16/5; ; 10/3; ; ; ; ; ; ; ; 10/3; 10/3; ; ; ; ; ; ; 10/3; 7/2; ; ; ; 
META; english/non-league/national-league/sutton-utd-v-afc-fylde; 2017-10-02 10:23:00 GMT+3; 2017-10-07 15:00; Nothing; Xlenovo
Sutton Utd; 8/11; ; ; ; 8/11; 4/6; 3/4; 4/6; 13/18; ; 8/11; ; ; ; ; 8/11; 4/6; ; 9/13; ; ; 13/18; ; 7/10; 8/11; ; ; ; 
Draw; 11/4; ; ; ; 13/5; 13/5; 13/5; 13/5; 13/5; ; 5/2; ; ; ; ; 13/5; 13/5; ; 13/5; ; ; 13/5; ; 13/5; 27/10; ; ; ; 
AFC Fylde; 7/2; ; ; ; 18/5; 16/5; 19/5; 10/3; 57/17; ; 16/5; ; ; ; ; 10/3; 10/3; ; 57/17; ; ; 57/17; ; 10/3; 7/2; ; ; ; 
META; english/non-league/national-league/sutton-utd-v-afc-fylde; 2017-10-02 14:35:24 GMT+3; 2017-10-07 15:00; Nothing; Xlenovo
Sutton Utd; 8/11; ; ; ; 8/11; 4/6; 7/10; 4/6; 13/18; ; 8/11; ; ; ; 8/11; 8/11; 4/6; 9/13; ; ; 13/18; ; 8/11; 8/11; ; ; ; 
Draw; 11/4; ; ; ; 13/5; 13/5; 13/5; 13/5; 13/5; ; 5/2; ; ; ; 12/5; 13/5; 13/5; 13/5; ; ; 13/5; ; 11/4; 27/10; ; ; ; 
AFC Fylde; 7/2; ; ; ; 18/5; 16/5; 10/3; 10/3; 57/17; ; 16/5; ; ; ; 4; 10/3; 10/3; 57/17; ; ; 57/17; ; 15/4; 7/2; ; ; ; 
META; english/non-league/national-league/sutton-utd-v-afc-fylde; 2017-10-02 18:23:18 GMT+3; 2017-10-07 15:00; Nothing; Xlenovo
Sutton Utd; 8/11; ; ; ; 8/11; 4/6; 7/10; 4/6; 13/18; ; 8/11; ; ; ; 8/11; 8/11; 4/6; 5/7; ; ; 13/18; ; 8/11; 8/11; ; ; ; 
Draw; 11/4; ; ; ; 13/5; 13/5; 13/5; 13/5; 13/5; ; 5/2; ; ; ; 12/5; 13/5; 13/5; 45/17; ; ; 13/5; ; 11/4; 27/10; ; ; ; 
AFC Fylde; 7/2; ; ; ; 18/5; 16/5; 10/3; 10/3; 57/17; ; 16/5; ; ; ; 4; 10/3; 10/3; 17/5; ; ; 57/17; ; 15/4; 7/2; ; ; ; 
META; english/non-league/national-league/sutton-utd-v-afc-fylde; 2017-10-02 22:23:40 GMT+3; 2017-10-07 15:00; Nothing; Xlenovo
Sutton Utd; 8/11; ; ; ; 8/11; 4/6; 7/10; 4/6; 13/18; ; 7/10; ; ; ; 8/11; 8/11; 4/6; 5/7; ; ; 13/18; ; 8/11; 8/11; ; 4/7; ; 
Draw; 11/4; ; ; ; 13/5; 13/5; 13/5; 13/5; 13/5; ; 9/4; ; ; ; 12/5; 5/2; 13/5; 45/17; ; ; 13/5; ; 11/4; 27/10; ; 9/4; ; 
AFC Fylde; 7/2; ; ; ; 18/5; 16/5; 10/3; 10/3; 57/17; ; 15/4; ; ; ; 4; 7/2; 10/3; 17/5; ; ; 57/17; ; 15/4; 7/2; ; 2; ; 
META; english/non-league/national-league/sutton-utd-v-afc-fylde; 2017-10-03 02:23:24 GMT+3; 2017-10-07 15:00; Nothing; Xlenovo
Sutton Utd; 8/11; ; ; ; 8/11; 4/6; 7/10; 4/6; 13/18; ; 7/10; ; ; 4/6; 8/11; 8/11; 4/6; 5/7; ; ; 13/18; ; 8/11; 8/11; ; 4/7; ; 
Draw; 11/4; ; ; ; 13/5; 13/5; 13/5; 13/5; 13/5; ; 9/4; ; ; 13/5; 12/5; 5/2; 13/5; 45/17; ; ; 13/5; ; 11/4; 27/10; ; 5/2; ; 
AFC Fylde; 7/2; ; ; ; 18/5; 16/5; 10/3; 10/3; 57/17; ; 15/4; ; ; 10/3; 4; 7/2; 10/3; 17/5; ; ; 57/17; ; 15/4; 7/2; ; 3; ; 
META; english/non-league/national-league/sutton-utd-v-afc-fylde; 2017-10-03 10:23:47 GMT+3; 2017-10-07 15:00; Nothing; Xlenovo
Sutton Utd; 8/11; ; ; ; 8/11; 4/6; 7/10; 4/6; 13/18; ; 7/10; ; ; 4/6; 8/11; 8/11; 4/6; 5/7; ; ; ; ; 8/11; 8/11; ; 4/7; ; 
Draw; 11/4; ; ; ; 13/5; 13/5; 13/5; 13/5; 13/5; ; 9/4; ; ; 13/5; 12/5; 5/2; 13/5; 45/17; ; ; ; ; 11/4; 27/10; ; 23/10; ; 
AFC Fylde; 7/2; ; ; ; 18/5; 16/5; 10/3; 10/3; 57/17; ; 15/4; ; ; 10/3; 4; 7/2; 10/3; 17/5; ; ; ; ; 15/4; 7/2; ; 14/5; ; 
META; english/non-league/national-league/sutton-utd-v-afc-fylde; 2017-10-03 14:23:57 GMT+3; 2017-10-07 15:00; Nothing; Xlenovo
Sutton Utd; 8/11; ; ; ; 8/11; 4/6; 7/10; 4/6; 13/18; ; 7/10; ; ; 4/6; 8/11; 8/11; 4/6; 5/7; ; ; 13/18; ; 3/4; 8/11; ; 4/7; ; 
Draw; 11/4; ; ; ; 13/5; 13/5; 13/5; 13/5; 13/5; ; 9/4; ; ; 13/5; 12/5; 5/2; 13/5; 45/17; ; ; 13/5; ; 13/5; 27/10; ; 23/10; ; 
AFC Fylde; 7/2; ; ; ; 18/5; 16/5; 10/3; 10/3; 57/17; ; 15/4; ; ; 10/3; 4; 7/2; 10/3; 17/5; ; ; 57/17; ; 19/5; 7/2; ; 14/5; ; 
META; english/non-league/national-league/sutton-utd-v-afc-fylde; 2017-10-03 18:23:40 GMT+3; 2017-10-07 15:00; Nothing; Xlenovo
Sutton Utd; 8/11; ; ; ; 8/11; 4/6; 7/10; 4/6; 13/18; ; 7/10; ; ; 4/6; 8/11; 8/11; 4/6; 9/13; ; ; 13/18; ; 8/11; 8/11; ; 4/7; ; 
Draw; 11/4; ; ; ; 13/5; 13/5; 13/5; 13/5; 13/5; ; 9/4; ; ; 13/5; 12/5; 5/2; 13/5; 45/17; ; ; 13/5; ; 11/4; 27/10; ; 23/10; ; 
AFC Fylde; 7/2; ; ; ; 18/5; 16/5; 10/3; 10/3; 57/17; ; 15/4; ; ; 10/3; 4; 7/2; 10/3; 17/5; ; ; 57/17; ; 15/4; 7/2; ; 14/5; ; 
META; english/non-league/national-league/sutton-utd-v-afc-fylde; 2017-10-03 22:23:38 GMT+3; 2017-10-07 15:00; Nothing; Xlenovo
Sutton Utd; 8/11; ; ; ; 8/11; 4/6; 7/10; 4/6; 13/18; ; 7/10; ; ; 4/6; 8/11; 8/11; 4/6; 5/7; ; ; 13/18; ; 3/4; 8/11; ; 4/7; ; 
