META; english/non-league/national-league/aldershot-v-chester; 2017-08-20 02:21:46 GMT+3; 2017-08-26 15:00; Nothing; Xlenovo
Aldershot; ; 1/2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; ; 3; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Chester; ; 9/2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/non-league/national-league/aldershot-v-chester; 2017-08-20 10:21:50 GMT+3; 2017-08-26 15:00; Nothing; Xlenovo
Aldershot; ; 1/2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; ; 3; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Chester; ; 9/2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/non-league/national-league/aldershot-v-chester; 2017-08-20 14:21:58 GMT+3; 2017-08-26 15:00; Nothing; Xlenovo
Aldershot; 8/15; 1/2; ; ; 1/2; 4/9; 8/15; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 11/21; ; ; 8/15; ; ; ; 
Draw; 3; 3; ; ; 3; 3; 3; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 37/13; ; ; 3; ; ; ; 
Chester; 5; 9/2; ; ; 5; 9/2; 11/2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 23/5; ; ; 5; ; ; ; 
META; english/non-league/national-league/aldershot-v-chester; 2017-08-20 18:22:38 GMT+3; 2017-08-26 15:00; Nothing; Xlenovo
Aldershot; 8/15; 1/2; ; ; 1/2; 4/9; 8/15; ; 11/21; ; ; 1/2; 1/2; ; ; ; ; ; 1/2; ; ; 11/21; ; 8/15; 8/15; ; ; ; 
Draw; 3; 3; ; ; 3; 3; 3; ; 37/13; ; ; 14/5; 3; ; ; ; ; ; 29/10; ; ; 37/13; ; 3; 3; ; ; ; 
Chester; 5; 9/2; ; ; 5; 9/2; 11/2; ; 23/5; ; ; 9/2; 11/2; ; ; ; ; ; 47/10; ; ; 23/5; ; 5; 5; ; ; ; 
META; english/non-league/national-league/aldershot-v-chester; 2017-08-20 22:21:58 GMT+3; 2017-08-26 15:00; Nothing; Xlenovo
Aldershot; 8/15; 1/2; ; ; 1/2; 4/9; 8/15; ; 11/21; ; ; 1/2; 1/2; ; ; ; ; ; 1/2; ; ; 11/21; ; 8/15; 8/15; ; ; ; 
Draw; 3; 3; ; ; 3; 3; 3; ; 37/13; ; ; 14/5; 3; ; ; ; ; ; 29/10; ; ; 37/13; ; 3; 3; ; ; ; 
Chester; 5; 9/2; ; ; 5; 9/2; 11/2; ; 23/5; ; ; 9/2; 11/2; ; ; ; ; ; 47/10; ; ; 23/5; ; 5; 5; ; ; ; 
META; english/non-league/national-league/aldershot-v-chester; 2017-08-21 02:21:36 GMT+3; 2017-08-26 15:00; Nothing; Xlenovo
Aldershot; 8/15; 1/2; ; ; 1/2; 4/9; 8/15; ; 11/21; ; ; 1/2; 1/2; ; ; 1/2; ; ; 1/2; ; ; 11/21; ; 8/15; 8/15; ; 1/50; ; 
Draw; 3; 3; ; ; 3; 3; 3; ; 37/13; ; ; 14/5; 3; ; ; 29/10; ; ; 29/10; ; ; 37/13; ; 3; 3; ; 21/10; ; 
Chester; 5; 9/2; ; ; 5; 9/2; 11/2; ; 23/5; ; ; 9/2; 11/2; ; ; 5; ; ; 47/10; ; ; 23/5; ; 5; 5; ; 1/50; ; 
META; english/non-league/national-league/aldershot-v-chester; 2017-08-21 10:21:32 GMT+3; 2017-08-26 15:00; Nothing; Xlenovo
Aldershot; 8/15; 1/2; ; ; 1/2; 4/9; 8/15; ; 11/21; ; ; 1/2; 1/2; ; ; 1/2; ; ; 1/2; ; ; 11/21; ; 8/15; 8/15; ; 1/100; ; 
Draw; 3; 3; ; ; 3; 3; 3; ; 37/13; ; ; 14/5; 3; ; ; 29/10; ; ; 29/10; ; ; 37/13; ; 3; 3; ; 21/10; ; 
Chester; 5; 9/2; ; ; 5; 9/2; 11/2; ; 23/5; ; ; 9/2; 11/2; ; ; 5; ; ; 47/10; ; ; 23/5; ; 5; 5; ; 1/100; ; 
META; english/non-league/national-league/aldershot-v-chester; 2017-08-21 14:21:58 GMT+3; 2017-08-26 15:00; Nothing; Xlenovo
Aldershot; 8/15; 1/2; ; ; 1/2; 4/9; 8/15; ; 11/21; ; ; ; 1/2; ; ; 1/2; ; ; 1/2; 3/5; ; 11/21; ; 8/15; 8/15; ; 1/100; ; 
Draw; 3; 3; ; ; 3; 3; 3; ; 37/13; ; ; ; 3; ; ; 29/10; ; ; 37/13; 16/5; ; 37/13; ; 3; 3; ; 21/10; ; 
Chester; 5; 9/2; ; ; 5; 9/2; 21/4; ; 23/5; ; ; ; 11/2; ; ; 5; ; ; 47/10; 26/5; ; 23/5; ; 5; 5; ; 1/100; ; 
META; english/non-league/national-league/aldershot-v-chester; 2017-08-21 18:21:43 GMT+3; 2017-08-26 15:00; Nothing; Xlenovo
Aldershot; 8/15; 1/2; ; ; 1/2; 4/9; 8/15; ; 11/21; ; ; 1/2; 1/2; ; ; 1/2; ; ; 18/35; 3/5; ; 11/21; ; 8/15; 8/15; ; 1/50; ; 
Draw; 3; 3; ; ; 3; 3; 3; ; 37/13; ; ; 14/5; 3; ; ; 29/10; ; ; 56/19; 16/5; ; 37/13; ; 3; 3; ; 11/5; ; 
Chester; 5; 9/2; ; ; 5; 9/2; 11/2; ; 23/5; ; ; 9/2; 11/2; ; ; 5; ; ; 24/5; 26/5; ; 23/5; ; 5; 5; ; 4/11; ; 
META; english/non-league/national-league/aldershot-v-chester; 2017-08-21 22:21:46 GMT+3; 2017-08-26 15:00; Nothing; Xlenovo
Aldershot; 8/15; 1/2; ; ; 1/2; 4/9; 8/15; ; 11/21; ; ; 1/2; 1/2; ; ; 1/2; ; ; 18/35; 3/5; ; 11/21; ; 8/15; 8/15; ; 1/50; ; 
Draw; 3; 3; ; ; 3; 3; 3; ; 37/13; ; ; 14/5; 3; ; ; 29/10; ; ; 56/19; 16/5; ; 37/13; ; 3; 3; ; 11/5; ; 
Chester; 5; 9/2; ; ; 5; 9/2; 11/2; ; 23/5; ; ; 9/2; 11/2; ; ; 5; ; ; 24/5; 26/5; ; 23/5; ; 5; 5; ; 4/11; ; 
META; english/non-league/national-league/aldershot-v-chester; 2017-08-22 02:21:34 GMT+3; 2017-08-26 15:00; Nothing; Xlenovo
Aldershot; 8/15; 1/2; ; ; 1/2; 4/9; 8/15; ; 11/21; ; ; 1/2; 1/2; ; ; 1/2; ; ; 18/35; 3/5; ; 11/21; ; 8/15; 8/15; ; 1/50; ; 
Draw; 3; 3; ; ; 3; 3; 3; ; 37/13; ; ; 14/5; 3; ; ; 29/10; ; ; 56/19; 16/5; ; 37/13; ; 3; 3; ; 11/5; ; 
Chester; 5; 9/2; ; ; 5; 9/2; 11/2; ; 23/5; ; ; 9/2; 11/2; ; ; 5; ; ; 24/5; 26/5; ; 23/5; ; 5; 5; ; 4/11; ; 
META; english/non-league/national-league/aldershot-v-chester; 2017-08-22 10:21:36 GMT+3; 2017-08-26 15:00; Nothing; Xlenovo
Aldershot; 8/15; 1/2; ; ; 1/2; 4/9; 8/15; 4/9; 11/21; ; ; 1/2; ; ; ; 1/2; ; ; 18/35; 59/100; ; 11/21; ; 8/15; 8/15; ; 1/100; ; 
Draw; 3; 3; ; ; 29/10; 3; 3; 3; 37/13; ; ; 14/5; ; ; ; 29/10; ; ; 56/19; 16/5; ; 37/13; ; 3; 3; ; 23/10; ; 
Chester; 5; 9/2; ; ; 11/2; 9/2; 11/2; 5; 23/5; ; ; 9/2; ; ; ; 5; ; ; 24/5; 53/10; ; 23/5; ; 5; 5; ; 7/2; ; 
META; english/non-league/national-league/aldershot-v-chester; 2017-08-22 14:21:46 GMT+3; 2017-08-26 15:00; Nothing; Xlenovo
Aldershot; 8/15; 1/2; ; ; 1/2; 4/9; 8/15; 4/9; 11/21; ; ; 1/2; ; ; ; 1/2; 1/2; 1/2; 18/35; 59/100; ; 11/21; ; 8/15; 8/15; ; 1/100; ; 
Draw; 3; 3; ; ; 3; 3; 3; 3; 37/13; ; ; 14/5; ; ; ; 29/10; 29/10; 14/5; 56/19; 16/5; ; 37/13; ; 3; 3; ; 23/10; ; 
Chester; 5; 9/2; ; ; 5; 9/2; 11/2; 5; 23/5; ; ; 9/2; ; ; ; 5; 17/4; 23/5; 24/5; 53/10; ; 23/5; ; 5; 5; ; 7/2; ; 
META; english/non-league/national-league/aldershot-v-chester; 2017-08-22 18:25:14 GMT+3; 2017-08-26 15:00; Nothing; Xlenovo
Aldershot; 8/15; 1/2; 1/2; ; 1/2; 1/2; 8/15; 4/9; 11/21; ; ; 1/2; 1/2; ; ; 1/2; 1/2; ; 18/35; 59/100; ; 11/21; ; 8/15; 8/15; ; 1/100; ; 
Draw; 3; 3; 29/10; ; 29/10; 3; 3; 3; 37/13; ; ; 14/5; 3; ; ; 29/10; 29/10; ; 56/19; 16/5; ; 37/13; ; 3; 3; ; 23/10; ; 
