META; english/non-league/national-league/halifax-v-barrow; 2017-11-25 22:21:41 GMT+2; 2017-12-02 15:00; Nothing; Xlenovo
Barrow; 23/10; 9/5; 9/4; ; 9/5; 21/10; 21/10; ; ; 9/4; 21/10; 21/10; ; ; ; 2; 9/5; 28/13; 58/25; ; ; 23/10; 12/5; 9/4; 11/5; ; 1/10; ; 
Draw; 5/2; 23/10; 9/4; ; 9/4; 23/10; 23/10; ; ; 9/4; 9/4; 11/5; ; ; ; 23/10; 9/4; 12/5; 131/50; ; ; 12/5; 12/5; 47/20; 12/5; ; 21/10; ; 
META; english/non-league/national-league/halifax-v-barrow; 2017-11-27 18:22:25 GMT+2; 2017-12-02 15:00; Nothing; Xlenovo
Halifax; 11/10; 6/5; 15/13; 23/20; 5/4; 23/20; 11/10; ; 11/10; 23/20; 6/5; 11/10; ; ; ; 11/10; 5/4; 15/13; 129/100; 22/19; 11/10; 11/10; 6/5; 23/20; 15/13; ; 8/15; 23/20; 
Barrow; 23/10; 9/4; 21/10; 11/5; 9/5; 21/10; 11/5; ; 11/5; 21/10; 21/10; 21/10; ; ; ; 21/10; 9/5; 21/10; 23/10; 11/5; 11/5; 23/10; 9/4; 9/4; 28/13; ; 1/5; 9/5; 
Draw; 5/2; 12/5; 9/4; 11/5; 9/4; 11/5; 23/10; ; 12/5; 9/4; 9/4; 11/5; ; ; ; 9/4; 9/4; 23/10; 5/2; 12/5; 12/5; 12/5; 12/5; 47/20; 23/10; ; 21/10; 2; 
META; english/non-league/national-league/halifax-v-barrow; 2017-11-27 22:22:23 GMT+2; 2017-12-02 15:00; Nothing; Xlenovo
Halifax; 11/10; 6/5; 15/13; 6/5; 5/4; 11/10; 11/10; ; 11/10; 23/20; 6/5; 11/10; ; ; ; 11/10; 5/4; 15/13; 5/4; 22/19; 11/10; 11/10; 6/5; 23/20; 15/13; ; 1/2; 23/20; 
Barrow; 23/10; 9/4; 21/10; 21/10; 9/5; 21/10; 21/10; ; 11/5; 21/10; 21/10; 21/10; ; ; ; 21/10; 9/5; 28/13; 47/20; 11/5; 11/5; 23/10; 9/4; 9/4; 28/13; ; 2/11; 9/5; 
Draw; 5/2; 12/5; 9/4; 23/10; 9/4; 23/10; 23/10; ; 12/5; 9/4; 23/10; 11/5; ; ; ; 9/4; 9/4; 23/10; 127/50; 12/5; 12/5; 12/5; 12/5; 47/20; 40/17; ; 21/10; 2; 
META; english/non-league/national-league/halifax-v-barrow; 2017-11-28 02:22:10 GMT+2; 2017-12-02 15:00; Nothing; Xlenovo
Halifax; 11/10; 6/5; 15/13; 6/5; 5/4; 11/10; 11/10; ; 11/10; 23/20; 6/5; 11/10; ; ; ; 11/10; 5/4; 15/13; 63/50; 22/19; 11/10; 11/10; 6/5; 23/20; 15/13; ; 10/9; 23/20; 
Barrow; 23/10; 9/4; 21/10; 21/10; 9/5; 21/10; 21/10; ; 11/5; 21/10; 21/10; 21/10; ; ; ; 21/10; 9/5; 28/13; 58/25; 11/5; 11/5; 23/10; 9/4; 9/4; 28/13; ; 2; 9/5; 
Draw; 5/2; 12/5; 9/4; 23/10; 9/4; 23/10; 23/10; ; 12/5; 9/4; 23/10; 11/5; ; ; ; 9/4; 9/4; 23/10; 127/50; 12/5; 12/5; 12/5; 12/5; 47/20; 40/17; ; 21/10; 2; 
META; english/non-league/national-league/halifax-v-barrow; 2017-11-28 10:22:17 GMT+2; 2017-12-02 15:00; Nothing; Xlenovo
Halifax; 11/10; 6/5; 15/13; 6/5; 61/50; 11/10; 11/10; ; 11/10; 23/20; 23/20; 11/10; ; ; 6/5; 11/10; 6/5; 15/13; 5/4; 22/19; 11/10; 11/10; 6/5; 23/20; 15/13; ; 10/11; 23/20; 
Barrow; 23/10; 9/4; 21/10; 21/10; 19/10; 21/10; 21/10; ; 11/5; 21/10; 11/5; 21/10; ; ; 11/5; 21/10; 19/10; 28/13; 47/20; 11/5; 11/5; 23/10; 9/4; 9/4; 28/13; ; 13/8; 9/5; 
Draw; 5/2; 12/5; 9/4; 23/10; 11/5; 23/10; 23/10; ; 12/5; 9/4; 23/10; 11/5; ; ; 23/10; 9/4; 11/5; 23/10; 127/50; 12/5; 12/5; 12/5; 12/5; 47/20; 40/17; ; 21/10; 2; 
META; english/non-league/national-league/halifax-v-barrow; 2017-11-28 14:22:10 GMT+2; 2017-12-02 15:00; Nothing; Xlenovo
Halifax; 11/10; 6/5; 15/13; 6/5; ; 11/10; 11/10; ; 11/10; 23/20; 6/5; 11/10; ; ; 6/5; 11/10; 6/5; 15/13; 63/50; 22/19; 11/10; 11/10; 6/5; 23/20; 15/13; ; 10/9; 23/20; 
