META; english/non-league/national-league/afc-fylde-v-hartlepool; 2018-03-11 02:22:02 GMT+2; 2018-03-17 15:00; Nothing; Xlenovo
AFC Fylde; 4/7
Draw; 14/5
Hartlepool; 9/2
META; english/non-league/national-league/afc-fylde-v-hartlepool; 2018-03-11 10:22:06 GMT+2; 2018-03-17 15:00; Nothing; Xlenovo
AFC Fylde; 4/7
Draw; 14/5
Hartlepool; 9/2
META; english/non-league/national-league/afc-fylde-v-hartlepool; 2018-03-11 14:23:29 GMT+2; 2018-03-17 15:00; Nothing; Xlenovo
AFC Fylde; 4/6; 4/7; 8/13; 13/20
Draw; 11/4; 14/5; 11/4; 14/5
Hartlepool; 10/3; 9/2; 4; 22/5
META; english/non-league/national-league/afc-fylde-v-hartlepool; 2018-03-11 18:22:55 GMT+2; 2018-03-17 15:00; Nothing; Xlenovo
AFC Fylde; 4/6; 4/7; 8/13; 13/20; 7/10; 4/5
Draw; 11/4; 14/5; 11/4; 14/5; 29/10; 13/5
Hartlepool; 10/3; 9/2; 4; 22/5; 7/2; 13/5
META; english/non-league/national-league/afc-fylde-v-hartlepool; 2018-03-11 22:22:44 GMT+2; 2018-03-17 15:00; Nothing; Xlenovo
AFC Fylde; 4/6; 8/13; 39/50; 13/20; 4/6; 13/20; 7/10; 8/11
Draw; 11/4; 14/5; 61/20; 11/4; 13/5; 14/5; 29/10; 14/5
Hartlepool; 10/3; 4; 73/20; 15/4; 4; 21/5; 7/2; 7/2
META; english/non-league/national-league/afc-fylde-v-hartlepool; 2018-03-12 02:23:04 GMT+2; 2018-03-17 15:00; Nothing; Xlenovo
AFC Fylde; 4/6; 8/13; 39/50; 13/20; 4/6; 4/6; 13/20; 7/10; 8/11
Draw; 11/4; 14/5; 61/20; 11/4; 13/5; 13/5; 14/5; 29/10; 14/5
Hartlepool; 10/3; 4; 73/20; 15/4; 4; 7/2; 21/5; 7/2; 7/2
META; english/non-league/national-league/afc-fylde-v-hartlepool; 2018-03-12 10:22:58 GMT+2; 2018-03-17 15:00; Nothing; Xlenovo
AFC Fylde; 4/6; 8/13; 39/50; 13/20; 4/6; 4/6; 4/6; 13/20; 7/10; 8/11
Draw; 11/4; 14/5; 61/20; 11/4; 13/5; 13/5; 14/5; 14/5; 29/10; 14/5
Hartlepool; 10/3; 4; 73/20; 15/4; 4; 7/2; 17/5; 21/5; 7/2; 7/2
META; english/non-league/national-league/afc-fylde-v-hartlepool; 2018-03-12 14:23:35 GMT+2; 2018-03-17 15:00; Nothing; Xlenovo
AFC Fylde; 4/6; 8/13; 39/50; 13/20; 4/6; 8/13; 8/11; 4/6; 4/6; 4/6; 4/6; 7/10; 4/6; 8/11
Draw; 11/4; 14/5; 61/20; 14/5; 11/4; 5/2; 11/4; 13/5; 11/4; 14/5; 29/10; 11/4; 14/5; 
Hartlepool; 10/3; 4; 73/20; 15/4; 19/5; 7/2; 7/2; 7/2; 57/17; 17/5; 4; 7/2; 17/5; 7/2
META; english/non-league/national-league/afc-fylde-v-hartlepool; 2018-03-12 18:23:37 GMT+2; 2018-03-17 15:00; Nothing; Xlenovo
AFC Fylde; 11/20; 4/6; 4/7; 8/15; 31/50; 5/9; 4/7; 4/7; 8/13; 3/5; 4/7; 5/9; 3/5; 8/15; 4/7; 4/7; 5/9; 2/9; 4/7
Draw; 3; 11/4; 14/5; 3; 33/10; 29/10; 14/5; 14/5; 5/2; 14/5; 14/5; 29/10; 14/5; 56/19; 3; 56/19; 21/10; 14/5; 
Hartlepool; 4; 17/4; 9/2; 7/2; 47/10; 17/4; 9/2; 9/2; 7/2; 9/2; 4; 77/19; 4; 19/4; 9/2; 41/10; 5/2; 23/5; 
META; english/non-league/national-league/afc-fylde-v-hartlepool; 2018-03-12 22:23:38 GMT+2; 2018-03-17 15:00; Nothing; Xlenovo
AFC Fylde; 11/20; 4/6; 4/7; 8/15; 31/50; 5/9; 4/7; 4/7; 8/13; 3/5; 4/7; 5/9; 3/5; 8/15; 4/7; 4/7; 5/9; 4/9; 4/7
Draw; 3; 11/4; 14/5; 3; 33/10; 29/10; 14/5; 14/5; 5/2; 14/5; 14/5; 29/10; 14/5; 56/19; 3; 56/19; 12/5; 14/5; 
Hartlepool; 4; 17/4; 9/2; 7/2; 47/10; 17/4; 9/2; 9/2; 7/2; 9/2; 4; 77/19; 4; 19/4; 9/2; 41/10; 7/2; 23/5; 
META; english/non-league/national-league/afc-fylde-v-hartlepool; 2018-03-13 02:23:28 GMT+2; 2018-03-17 15:00; Nothing; Xlenovo
AFC Fylde; 11/20; 4/6; 4/7; 8/15; 31/50; 5/9; 4/7; 4/7; 8/13; 3/5; 4/7; 5/9; 3/5; 8/15; 4/7; 4/7; 5/9; 8/15; 4/7
Draw; 3; 11/4; 14/5; 3; 33/10; 29/10; 14/5; 14/5; 5/2; 14/5; 14/5; 56/19; 14/5; 56/19; 3; 56/19; 13/5; 14/5; 
Hartlepool; 4; 17/4; 9/2; 7/2; 47/10; 17/4; 9/2; 9/2; 7/2; 9/2; 4; 4; 19/4; 9/2; 77/19; 7/2; 23/5; ; 
META; english/non-league/national-league/afc-fylde-v-hartlepool; 2018-03-13 10:23:43 GMT+2; 2018-03-17 15:00; Nothing; Xlenovo
