META; english/non-league/national-league/macclesfield-v-dover; 2017-08-20 02:21:41 GMT+3; 2017-08-25 19:45; Nothing; Xlenovo
Macclesfield; ; 11/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Dover; ; 11/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; ; 23/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/non-league/national-league/macclesfield-v-dover; 2017-08-20 10:21:45 GMT+3; 2017-08-25 19:45; Nothing; Xlenovo
Macclesfield; ; 11/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Dover; ; 11/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; ; 23/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/non-league/national-league/macclesfield-v-dover; 2017-08-20 14:21:53 GMT+3; 2017-08-25 19:45; Nothing; Xlenovo
Macclesfield; 11/10; 11/10; ; ; 21/20; 19/20; 11/10; ; ; ; ; ; 11/10; ; ; 11/10; ; ; ; ; ; 11/10; ; ; 11/10; ; ; ; 
Draw; 9/4; 23/10; ; ; 23/10; 12/5; 23/10; ; 11/5; ; ; 11/5; 9/4; ; ; 9/4; ; ; 11/5; ; ; 11/5; ; 23/10; 12/5; ; 21/10; ; 
Dover; 5/2; 11/5; ; ; 12/5; 11/5; 13/5; ; 12/5; ; ; 23/10; 51/20; ; ; 23/10; ; ; 12/5; ; ; 12/5; ; 5/2; 12/5; ; 9/5; ; 
META; english/non-league/national-league/macclesfield-v-dover; 2017-08-21 10:21:27 GMT+3; 2017-08-25 19:45; Nothing; Xlenovo
Macclesfield; 11/10; 11/10; ; ; 21/20; 19/20; 11/10; ; 11/10; ; ; 21/20; 11/10; ; ; 11/10; ; ; 21/20; ; ; 11/10; ; 11/10; 11/10; ; 5/6; ; 
Draw; 9/4; 23/10; ; ; 12/5; 12/5; 12/5; ; 11/5; ; ; 11/5; 9/4; ; ; 9/4; ; ; 11/5; ; ; 11/5; ; 23/10; 12/5; ; 21/10; ; 
Dover; 5/2; 11/5; ; ; 12/5; 11/5; 5/2; ; 12/5; ; ; 23/10; 51/20; ; ; 23/10; ; ; 12/5; ; ; 12/5; ; 5/2; 12/5; ; 15/8; ; 
META; english/non-league/national-league/macclesfield-v-dover; 2017-08-21 14:21:53 GMT+3; 2017-08-25 19:45; Nothing; Xlenovo
Macclesfield; 11/10; 11/10; ; ; 21/20; 19/20; 11/10; ; 11/10; ; ; ; 11/10; ; ; 11/10; ; ; 21/20; 119/100; ; 11/10; ; 11/10; 11/10; ; 5/6; ; 
Draw; 9/4; 23/10; ; ; 12/5; 12/5; 23/10; ; 11/5; ; ; ; 9/4; ; ; 9/4; ; ; 11/5; 119/50; ; 11/5; ; 23/10; 12/5; ; 21/10; ; 
Dover; 5/2; 11/5; ; ; 12/5; 11/5; 13/5; ; 12/5; ; ; ; 51/20; ; ; 23/10; ; ; 12/5; 133/50; ; 12/5; ; 5/2; 12/5; ; 6/4; ; 
META; english/non-league/national-league/macclesfield-v-dover; 2017-08-21 18:21:38 GMT+3; 2017-08-25 19:45; Nothing; Xlenovo
Macclesfield; 11/10; 11/10; ; ; 21/20; 19/20; 11/10; ; 11/10; ; ; ; 11/10; ; ; 11/10; ; ; 21/20; 119/100; ; 11/10; ; 11/10; 11/10; ; 5/6; ; 
Draw; 9/4; 23/10; ; ; 23/10; 12/5; 23/10; ; 11/5; ; ; ; 9/4; ; ; 9/4; ; ; 11/5; 119/50; ; 11/5; ; 23/10; 12/5; ; 21/10; ; 
Dover; 5/2; 11/5; ; ; 12/5; 11/5; 13/5; ; 12/5; ; ; ; 51/20; ; ; 23/10; ; ; 12/5; 133/50; ; 12/5; ; 5/2; 12/5; ; 15/8; ; 
META; english/non-league/national-league/macclesfield-v-dover; 2017-08-21 22:21:41 GMT+3; 2017-08-25 19:45; Nothing; Xlenovo
Macclesfield; 11/10; 11/10; ; ; 21/20; 19/20; 11/10; ; 11/10; ; ; 21/20; 11/10; ; ; 11/10; ; ; 21/20; 119/100; ; 11/10; ; 11/10; 11/10; ; 5/6; ; 
Draw; 9/4; 23/10; ; ; 23/10; 12/5; 23/10; ; 11/5; ; ; 11/5; 9/4; ; ; 9/4; ; ; 11/5; 119/50; ; 11/5; ; 23/10; 12/5; ; 21/10; ; 
Dover; 5/2; 11/5; ; ; 12/5; 11/5; 13/5; ; 12/5; ; ; 23/10; 51/20; ; ; 23/10; ; ; 12/5; 133/50; ; 12/5; ; 5/2; 12/5; ; 2; ; 
META; english/non-league/national-league/macclesfield-v-dover; 2017-08-22 02:21:29 GMT+3; 2017-08-25 19:45; Nothing; Xlenovo
Macclesfield; 11/10; 11/10; ; ; 21/20; 19/20; 11/10; ; 11/10; ; ; 21/20; 11/10; ; ; 11/10; ; ; 21/20; 119/100; ; 11/10; ; 11/10; 11/10; ; 5/6; ; 
Draw; 9/4; 23/10; ; ; 23/10; 12/5; 23/10; ; 11/5; ; ; 11/5; 9/4; ; ; 9/4; ; ; 11/5; 119/50; ; 11/5; ; 23/10; 12/5; ; 21/10; ; 
Dover; 5/2; 11/5; ; ; 12/5; 11/5; 13/5; ; 12/5; ; ; 23/10; 51/20; ; ; 23/10; ; ; 12/5; 133/50; ; 12/5; ; 5/2; 12/5; ; 2; ; 
META; english/non-league/national-league/macclesfield-v-dover; 2017-08-22 10:21:31 GMT+3; 2017-08-25 19:45; Nothing; Xlenovo
Macclesfield; 11/10; 11/10; ; ; 21/20; 19/20; 11/10; ; 11/10; ; ; 21/20; ; ; ; 11/10; ; ; 21/20; 119/100; ; 11/10; ; 11/10; 11/10; ; 5/6; ; 
Draw; 9/4; 23/10; ; ; 23/10; 12/5; 23/10; ; 11/5; ; ; 11/5; ; ; ; 9/4; ; ; 11/5; 119/50; ; 11/5; ; 23/10; 9/4; ; 21/10; ; 
Dover; 5/2; 11/5; ; ; 12/5; 11/5; 13/5; ; 12/5; ; ; 23/10; ; ; ; 23/10; ; ; 12/5; 133/50; ; 12/5; ; 5/2; 5/2; ; 2; ; 
META; english/non-league/national-league/macclesfield-v-dover; 2017-08-22 14:21:41 GMT+3; 2017-08-25 19:45; Nothing; Xlenovo
Macclesfield; 11/10; 11/10; ; ; 21/20; 19/20; 11/10; 1; 11/10; ; ; 21/20; ; ; ; 11/10; ; 11/10; 21/20; 119/100; ; 11/10; ; 11/10; 11/10; ; 5/6; ; 
Draw; 9/4; 23/10; ; ; 23/10; 12/5; 23/10; 23/10; 11/5; ; ; 11/5; ; ; ; 9/4; ; 11/5; 11/5; 119/50; ; 11/5; ; 23/10; 12/5; ; 21/10; ; 
Dover; 5/2; 11/5; ; ; 12/5; 11/5; 13/5; 12/5; 12/5; ; ; 23/10; ; ; ; 23/10; ; 12/5; 12/5; 133/50; ; 12/5; ; 5/2; 12/5; ; 2; ; 
META; english/non-league/national-league/macclesfield-v-dover; 2017-08-22 18:25:08 GMT+3; 2017-08-25 19:45; Nothing; Xlenovo
Macclesfield; 11/10; 11/10; 21/20; ; 11/10; 21/20; 11/10; 1; 11/10; ; ; 21/20; 11/10; ; ; 11/10; 21/20; ; 21/20; 119/100; ; 11/10; ; 11/10; 11/10; ; 20/21; ; 
Draw; 9/4; 23/10; 9/4; ; 9/4; 21/10; 23/10; 23/10; 11/5; ; ; 11/5; 9/4; ; ; 9/4; 21/10; ; 11/5; 119/50; ; 11/5; ; 23/10; 9/4; ; 21/10; ; 
Dover; 5/2; 11/5; 49/20; ; 12/5; 23/10; 13/5; 12/5; 12/5; ; ; 23/10; 51/20; ; ; 23/10; 23/10; ; 12/5; 133/50; ; 12/5; ; 5/2; 5/2; ; 13/8; ; 
META; english/non-league/national-league/macclesfield-v-dover; 2017-08-22 22:26:08 GMT+3; 2017-08-25 19:45; Nothing; Xlenovo
Macclesfield; 11/10; 11/10; 21/20; 1; 11/10; 21/20; 11/10; 1; 11/10; ; ; 21/20; 11/10; ; ; 21/20; 21/20; ; 11/10; 119/100; ; 11/10; ; 11/10; 11/10; ; 1; ; 
Draw; 9/4; 23/10; 9/4; 21/10; 9/4; 21/10; 23/10; 23/10; 11/5; ; ; 11/5; 9/4; ; ; 11/5; 21/10; ; 9/4; 119/50; ; 11/5; ; 23/10; 9/4; ; 21/10; ; 
Dover; 5/2; 11/5; 49/20; 23/10; 12/5; 23/10; 13/5; 12/5; 12/5; ; ; 23/10; 51/20; ; ; 12/5; 23/10; ; 27/11; 133/50; ; 12/5; ; 5/2; 5/2; ; 8/5; ; 
META; english/non-league/national-league/macclesfield-v-dover; 2017-08-23 02:24:20 GMT+3; 2017-08-25 19:45; Nothing; Xlenovo
Macclesfield; 11/10; 11/10; 21/20; 1; 11/10; 21/20; 11/10; 1; 11/10; ; ; 21/20; 11/10; ; ; 21/20; 21/20; ; 11/10; 119/100; ; 11/10; ; 11/10; 11/10; ; 10/11; ; 
Draw; 9/4; 23/10; 9/4; 21/10; 11/5; 21/10; 23/10; 23/10; 11/5; ; ; 11/5; 9/4; ; ; 11/5; 21/10; ; 9/4; 119/50; ; 11/5; ; 23/10; 9/4; ; 21/10; ; 
Dover; 5/2; 11/5; 49/20; 23/10; 5/2; 23/10; 13/5; 12/5; 12/5; ; ; 23/10; 51/20; ; ; 12/5; 23/10; ; 27/11; 133/50; ; 12/5; ; 5/2; 5/2; ; 23/10; ; 
META; english/non-league/national-league/macclesfield-v-dover; 2017-08-23 10:24:00 GMT+3; 2017-08-25 19:45; Nothing; Xlenovo
Macclesfield; 11/10; 11/10; 21/20; 1; 11/10; 21/20; 11/10; 1; 11/10; ; ; 21/20; 11/10; ; ; 21/20; 21/20; ; 11/10; 119/100; ; 11/10; ; 11/10; 11/10; ; 20/21; ; 
Draw; 9/4; 23/10; 23/10; 21/10; 9/4; 21/10; 23/10; 23/10; 11/5; ; ; 11/5; 9/4; ; ; 11/5; 21/10; ; 9/4; 119/50; ; 11/5; ; 23/10; 9/4; ; 21/10; ; 
Dover; 5/2; 11/5; 49/20; 23/10; 12/5; 23/10; 13/5; 12/5; 12/5; ; ; 23/10; 51/20; ; ; 12/5; 23/10; ; 27/11; 133/50; ; 12/5; ; 5/2; 5/2; ; 13/8; ; 
META; english/non-league/national-league/macclesfield-v-dover; 2017-08-23 14:25:20 GMT+3; 2017-08-25 19:45; Nothing; Xlenovo
Macclesfield; 6/5; 11/10; 6/5; 6/5; 11/10; 21/20; 6/5; 1; 11/10; 15/13; 21/20; 23/20; 1; 6/5; ; 11/10; 21/20; ; 15/13; 123/100; ; 11/10; ; 11/10; 11/10; ; 10/9; ; 
Draw; 11/5; 23/10; 43/20; 11/5; 11/5; 21/10; 23/10; 23/10; 11/5; 21/10; 21/10; 21/10; 23/10; 21/10; ; 11/5; 21/10; ; 9/4; 117/50; ; 11/5; ; 9/4; 9/4; ; 9/4; ; 
Dover; 12/5; 11/5; 9/4; 11/5; 12/5; 23/10; 23/10; 12/5; 12/5; 12/5; 13/5; 21/10; 11/4; 2; ; 23/10; 23/10; ; 23/10; 13/5; ; 12/5; ; 12/5; 12/5; ; 5/2; ; 
META; english/non-league/national-league/macclesfield-v-dover; 2017-08-23 18:25:32 GMT+3; 2017-08-25 19:45; Nothing; Xlenovo
Macclesfield; 6/5; 23/20; 5/4; 6/5; 6/5; 21/20; 5/4; 11/10; 11/10; 15/13; 5/4; 5/4; 6/5; 6/5; 5/4; 6/5; 21/20; ; 6/5; 34/25; 5/4; 11/10; ; 5/4; 6/5; ; 6/5; 23/20; 
Dover; 12/5; 11/5; 21/10; 11/5; 11/5; 23/10; 11/5; 12/5; 12/5; 12/5; 2; 19/10; 9/4; 2; 21/10; 28/13; 23/10; ; 28/13; 11/5; 35/19; 12/5; ; 9/4; 9/4; ; 19/10; 19/10; 
Draw; 11/5; 11/5; 43/20; 11/5; 11/5; 21/10; 23/10; 11/5; 11/5; 21/10; 11/5; 21/10; 9/4; 21/10; 23/10; 28/13; 21/10; ; 9/4; 123/50; 23/10; 11/5; ; 23/10; 9/4; ; 21/10; 2; 
META; english/non-league/national-league/macclesfield-v-dover; 2017-08-23 22:25:33 GMT+3; 2017-08-25 19:45; Nothing; Xlenovo
Macclesfield; 6/5; 23/20; 13/10; 6/5; 5/4; 21/20; 13/10; 6/5; 23/18; 5/4; 5/4; 5/4; 6/5; 13/10; 5/4; 6/5; 21/20; 5/4; 5/4; 34/25; 5/4; 23/18; ; 5/4; 5/4; ; 6/5; 5/4; 
Dover; 12/5; 11/5; 41/20; 11/5; 21/10; 23/10; 85/40; 21/10; 2; 2; 2; 19/10; 9/4; 21/10; 21/10; 21/10; 23/10; 2; 39/19; 11/5; 35/19; 2; ; 9/4; 9/4; ; 19/10; 2; 
Draw; 11/5; 11/5; 43/20; 11/5; 11/5; 21/10; 9/4; 11/5; 11/5; 11/5; 11/5; 21/10; 9/4; 9/4; 23/10; 11/5; 21/10; ; 9/4; 123/50; 23/10; 11/5; ; 23/10; 9/4; ; 9/4; 21/10; 
META; english/non-league/national-league/macclesfield-v-dover; 2017-08-24 02:24:53 GMT+3; 2017-08-25 19:45; Nothing; Xlenovo
Macclesfield; 13/10; 23/20; 11/8; 6/5; 5/4; 11/10; 11/8; 6/5; 23/18; 23/17; 27/20; 5/4; 27/20; 11/8; 5/4; 5/4; 11/10; 5/4; 23/17; 29/20; 23/17; 23/18; ; 13/10; 11/8; ; 27/20; 13/10; 
Dover; 21/10; 11/5; 19/10; 11/5; 21/10; 11/5; 2; 21/10; 2; 28/15; 15/8; 15/8; 2; 19/10; 21/10; 2; 11/5; 2; 19/10; 52/25; 17/10; 2; ; 2; 2; ; 19/10; 19/10; 
Draw; 23/10; 11/5; 43/20; 11/5; 11/5; 21/10; 23/10; 11/5; 11/5; 11/5; 11/5; 11/5; 9/4; 11/5; 23/10; 11/5; 21/10; ; 9/4; 121/50; 23/10; 11/5; ; 23/10; 9/4; ; 11/5; 2; 
